"id","Nombre abreviado","Nombre Completo","Web","Total de afiliados"
62,"ASOCIACION ESPAÑOLA","Asociacion Española Primera De Socorros Mutuos","www.asesp.com.uy",186634
264,"HOSPITAL EVANGELICO","Mutualista Hospital Evangelico","www.hospitalevangelico.com.uy",60179
567,"CASA DE GALICIA","Casa De Galicia","www.casadegalicia.org.uy",58557
769,"CASMU","Institucion De Asistenia Medica Privada De Profesionales Sin Fines De Lucro","www.casmu.com.uy",211713
1062,"CIRCULO CATOLICO ","Circulo Catolico De Obreros Del Uruguay","www.circulocatolico.com.uy",79738
1163,"CUDAM","Centro Uruguayo De Asistencia Medica","www.cudam.com.uy",52406
1210,"COSEM","Cosem","www.cosem.com.uy",76796
2315,"GREMCA","Gremial Medica Centro Asistencial","www.gremca.com.uy",35998
3567,"MEDICA URUGUAYA","Medica Uruguaya Corporacion De Asistencia Medica","www.medicauruguaya.com.uy",298303
4315,"SMI","Servicio Medico Integral","www.serviciomedicointegral.com.uy",128681
4810,"UNIVERSAL","Universal Sociedad De Produccion Sanitaria","www.sociedadmedicauniversal.com",62992
5012,"GREMEDA","Gremial Medica De Artigas","www.gremeda.com.uy",25321
5163,"CAAMEPA","Centro De Asistencia De La Agrupacion Medica De Pando","www.caamepa.com.uy",35666
5315,"CRAMI","Crami","www.crami.com.uy",39133
5517,"COMECA","Corporacion Medica De Canelones","www.comeca.com.uy",49725
5810,"CAMCEL","Cooperativa Asistencial Medica De Cerro Largo","www.camcel.com.uy",43613
5961,"ORAMECO","Organización Asistencial Medica Cooperativa De Colonia","www.orameco.com.uy",12008
6012,"CAMEC","Centro Asistencial Medico Del Este De Colonia","www.camec.com.uy",33868
6062,"CAMOC","Centro De Asistencia Medica Del Oeste De Colonia","www.camoc.com.uy",21141
6416,"CAMEDUR","Centro De Asistencia Medica De Durazno","www.camedur.com.uy",31389
6517,"COMEFLO","Comeflo","www.comeflo.com.uy",13319
6618,"COMEF","Cooperativa Medica De Florida","www.comef.com.uy",32220
6769,"CAMDEL","Centro De Asistencia Medica De Lavalleja","www.camdel.com.uy",31126
6860,"AMDM","Asistencial Medica Departamental De Maldonado","www.asistencial.com.uy",79365
6985,"CRAME","Cooperativa Regional De Asistencia Medica Del Este","www.semm-mautone.com.uy",40977
