id,Conformidad con disponibilidad de agenda (consulta médica) (2014),Conformidad con disponibilidad de agenda (consulta médica) (2010),Evaluación de tiempo de espera en sala (2014),Evaluación de tiempo de espera en sala (2010),Facilidad para realizar trámites y gestiones (2014),Facilidad para realizar trámites y gestiones (2010),Disponibilidad de medicamentos en farmacia (2014),Disponibilidad de medicamentos en farmacia (2010),Información sobre Derechos (2014),Información sobre Derechos (2010),Si hoy tuviese una queja o sugerencia sabe a dónde dirigirse (2014),Si hoy tuviese una queja o sugerencia sabe a dónde dirigirse (2010),Satisfacción con Primer Nivel de Atención (2014),Satisfacción con Primer Nivel de Atención (2010),Satisfacción con Internación Hospitalaria (2012)
62,43.00,60.00,79.50,75.00,70.90,75.00,66.70,75.00,24.80,17.00,47.30,44.00,7.60,7.80,7.90
264,48.00,45.00,74.00,76.00,64.00,75.00,83.00,62.00,25.00,22.00,67.00,61.00,8.00,8.20,8.70
567,,60.00,,73.00,,73.00,,64.00,,18.00,,37.00,,7.90,8.10
769,51.00,52.90,77.00,67.90,75.00,62.90,56.00,51.70,19.00,8.30,43.00,36.90,7.90,7.60,8.10
1062,79.30,84.00,77.90,75.00,85.40,,87.50,74.00,42.90,9.00,43.50,46.00,8.30,8.30,8.70
1163,,50.50,,63.90,,60.90,,68.60,,6.30,,27.10,,7.90,8.00
1210,60.60,61.00,84.70,85.00,83.40,75.00,80.90,67.00,41.70,10.00,44.30,42.00,8.30,8.10,8.70
2315,70.00,51.00,80.60,71.00,78.00,72.00,76.90,81.00,16.60,8.00,36.60,34.00,8.10,8.00,8.20
3567,63.00,53.00,77.00,65.00,74.00,68.00,83.00,70.00,42.00,12.00,35.00,30.00,8.20,7.90,8.30
4315,55.40,60.00,75.10,75.00,68.30,75.00,73.10,78.00,18.60,19.00,53.10,46.00,7.90,7.90,8.20
4810,62.00,70.00,75.80,71.00,79.60,75.00,92.40,85.00,16.10,15.00,41.40,37.00,8.30,8.30,8.70
5012,75.70,58.00,78.60,79.00,78.60,72.00,91.40,90.00,25.10,14.00,57.70,58.00,8.10,8.20,8.60
5163,55.00,53.00,81.00,71.00,72.00,79.00,82.00,85.00,26.00,20.00,54.00,50.00,8.30,8.10,8.40
5315,29.70,59.00,67.60,78.00,73.90,86.00,91.80,60.00,51.60,20.00,58.20,42.00,7.90,6.00,8.50
5517,63.00,45.10,72.00,72.00,82.00,67.20,87.00,85.20,35.00,10.60,49.00,52.30,8.20,7.90,8.60
5810,51.30,60.00,75.50,73.00,82.40,78.00,92.20,94.00,40.90,15.00,62.50,46.00,8.10,8.20,8.20
5961,66.00,53.70,89.00,70.90,72.00,64.60,91.00,88.30,27.00,10.60,58.00,49.10,8.10,8.10,8.60
6012,70.00,63.00,73.00,68.00,77.00,80.00,91.10,96.00,32.00,12.00,52.00,48.00,8.30,8.30,8.70
6062,78.60,61.00,82.60,77.00,84.80,84.00,89.70,84.00,32.20,17.00,41.90,52.00,8.30,8.40,8.50
6416,66.30,63.00,76.60,72.00,82.60,83.00,94.30,87.00,34.00,17.00,41.70,40.00,8.30,8.40,8.70
6517,71.10,70.00,80.60,86.00,89.70,86.00,90.30,88.00,22.60,19.00,64.00,63.00,8.30,8.30,8.70
6618,40.00,47.00,72.00,68.00,75.00,73.00,88.00,73.00,30.00,7.00,60.00,59.00,7.50,7.20,8.60
6769,58.20,57.00,71.10,62.00,81.70,78.00,88.60,80.00,24.70,14.00,39.80,46.00,8.00,8.10,8.70
6860,38.90,45.00,74.90,70.00,68.90,66.00,82.70,69.00,40.30,10.00,41.80,35.00,7.80,7.90,8.40
6985,53.00,46.50,85.00,75.20,84.00,70.00,82.00,82.00,49.00,6.60,48.00,39.40,8.30,8.10,8.70
7062,51.20,37.00,79.70,69.00,70.80,60.00,87.70,72.00,36.90,19.00,50.50,56.00,8.10,7.70,8.50
7214,71.00,55.00,73.00,70.00,89.00,62.00,78.00,73.00,13.00,10.00,66.00,62.00,7.90,7.70,8.60
7264,69.00,52.00,74.00,66.00,86.00,66.00,83.00,78.00,21.00,19.00,60.00,57.00,8.20,7.80,8.80
7466,68.30,55.00,83.00,72.00,82.70,76.00,91.30,90.00,43.00,18.00,55.70,55.00,8.30,8.50,8.70
7553,69.00,59.70,81.00,69.20,82.00,84.60,88.00,91.40,19.00,10.60,47.00,47.40,8.40,8.40,9.00
7618,68.60,65.00,83.30,79.00,83.50,81.00,87.40,79.00,58.20,22.00,55.60,46.00,8.20,8.30,8.60
7719,46.80,40.00,68.10,55.00,88.70,62.00,96.30,91.00,39.50,19.00,48.80,58.00,8.00,7.40,8.20
7810,63.00,60.00,83.00,68.00,72.00,83.00,89.00,78.00,13.00,13.00,35.00,45.00,8.20,8.30,8.40
8012,78.00,45.70,84.00,74.30,85.00,70.50,89.00,83.20,32.00,10.00,45.00,46.60,8.40,8.00,8.50
8163,55.10,44.00,75.60,77.00,61.30,50.00,82.30,70.00,24.30,24.00,67.70,67.00,7.80,7.60,8.30
8220,,86.00,,84.00,,85.00,,84.00,,28.00,,53.00,,8.70,9.10
8264,64.00,63.10,81.00,62.80,85.00,82.30,87.00,82.90,27.00,13.70,45.00,44.00,8.20,8.20,8.80
9502,82.90,85.00,95.70,81.00,92.90,82.00,,,47.10,36.00,68.60,63.00,8.50,8.60,8.70
9508,93.70,84.00,96.30,86.00,96.30,92.00,70.30,,49.30,40.00,56.80,57.00,9.00,9.10,9.30
9516,83.00,87.00,81.00,85.00,82.00,82.00,,,28.00,25.00,64.00,73.00,9.00,9.10,9.20
9518,88.30,75.00,84.60,80.00,95.40,92.00,85.70,,29.10,35.00,36.60,47.00,8.90,8.80,9.20
9526,,92.00,,91.00,,89.00,,,,39.00,,65.00,,9.00,8.60
9532,77.00,80.00,79.00,82.00,91.00,88.00,,,36.00,30.00,57.00,55.00,8.90,9.10,9.30
90001,63.00,,73.00,,61.00,,60.00,,15.00,,37.00,,8.20,,
90002,76.00,,74.00,,67.00,,65.00,,17.00,,33.00,,8.30,,
90003,80.00,,84.00,,80.00,,60.00,,26.00,,49.00,,8.80,,
90004,72.00,,82.00,,76.00,,67.00,,13.00,,45.00,,8.40,,
90005,72.00,,82.00,,76.00,,67.00,,13.00,,45.00,,8.40,,
90006,72.00,,82.00,,76.00,,67.00,,13.00,,45.00,,8.40,,
90007,72.00,,82.00,,76.00,,67.00,,13.00,,45.00,,8.40,,
90008,80.00,,84.00,,80.00,,60.00,,26.00,,49.00,,8.80,,
90009,80.00,,84.00,,80.00,,60.00,,26.00,,49.00,,8.80,,8.50
90010,76.00,,74.00,,67.00,,65.00,,17.00,,33.00,,8.30,,9.10
90011,63.00,,73.00,,61.00,,60.00,,15.00,,37.00,,8.20,,
90012,72.00,,82.00,,76.00,,67.00,,13.00,,45.00,,8.40,,
90013,63.00,,73.00,,61.00,,60.00,,15.00,,37.00,,8.20,,
90014,80.00,,84.00,,80.00,,60.00,,26.00,,49.00,,8.80,,
90015,63.00,,73.00,,61.00,,60.00,,15.00,,37.00,,8.20,,8.40
90016,72.00,,82.00,,76.00,,67.00,,13.00,,45.00,,8.40,,
90017,72.00,,82.00,,76.00,,67.00,,13.00,,45.00,,8.40,,
90018,63.00,,73.00,,61.00,,60.00,,15.00,,37.00,,8.20,,
90019,80.00,,84.00,,80.00,,60.00,,26.00,,49.00,,8.80,,
