ID,RESERVA PRESENCIAL,RESERVA TELEFONICA,RESERVA WEB,RESERVA EN CONSULTA MEDICA,REALIZA RECORDATORIO DE CITA ,REALIZA CAÍDA DE RESERVA DETERMINADO TIEMPO ANTES/DESPUÉS DEL INICIO DE LA CONSULTA SI NO ES CONFIRMADA,COMUNICACIÓN CON EL USUARIO POR SUSPENSIÓN O MODIFICACIÓN DE LA CONSULTA
62,SI,SI,SI,NO,SI,NO,"SI, telefónica "
6860,SI,SI,NO,NO,NO,"Si,48 hs antes.","SI, telefónica "
7214,SI,SI,NO,NO,SI,"Si,48 hs antes.","SI, telefónica "
7810,SI,SI,NO,NO,NO,"Si,72 hs antes.","SI, telefónica "
90001,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90002,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90003,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90004,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90005,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90006,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90007,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90008,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90009,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90010,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90011,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90012,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90013,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90014,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90015,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90016,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90017,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90018,SI,SI,NO,NO,NO,NO,"SI, telefónica "
90019,SI,SI,NO,NO,NO,NO,"SI, telefónica "
9516,SI,SI,SI,NO,"SI por SMS, 2 por cada consulta",NO,"SI, telefónica "
5163,SI,SI,,NO,"SI, por SMS",NO,"Si, telefonica."
5810,SI,SI,,NO,SI ,"Si,48 hs antes.","SI, telefónica "
6769,SI,SI,,NO,NO,"Si,48 hs antes. Excepto población de zona rural.","SI, telefónica "
6012,SI,SI,,NO,SI ,"Si,48 hs antes.","SI, telefónica "
6416,SI,SI,,NO,"SI, por SMS","Si, 24 hs antes.","SI, telefónica "
6062,SI,SI,,NO,"Si, 48 hs antes, SMS con opción de respuesta.","Si, 72 hs antes.","SI, telefónica."
8012,SI,SI,,NO,SI por SMS y correo de voz.,"Si, 48 hs antes.","SI, telefónica "
7264,SI,SI,,NO,NO,"Si, 48 horas antes. Excepto población de zona rural.","SI, telefónica "
567,SI,SI,,NO,SI,NO,"SI, telefónica "
7466,SI,SI,NO,NO,SI por SMS y llamada telefónica.,"Si, 24 horas antes.","SI, telefónica "
769,SI,SI,SI,SI,SI,NO,"SI, telefónica "
1062,SI,SI,SI,NO,SI por SMS.,"Si, media hora después del inicio.","SI, telefónica y por SMS."
5517,SI,SI,NO,NO,"SI, por SMS","Si, 48 hs antes. Excepto población de zona rural, mayores de 74 años y Estudios complejos.","SI, telefónica "
6618,SI,SI,NO,NO,"SI, por SMS","SI, 48 hs antes.","SI, telefónica "
6517,SI,SI,NO,NO,NO,"Si, 48 horas antes.","SI, telefónica "
7062,SI,SI,NO,NO,"SI, por SMS","Si, 48 horas antes.","SI, telefónica "
7553,SI,SI,NO,NO,NO,"Si, 48 horas antes.","SI, telefónica "
7618,SI,SI,NO,NO,"SI, por SMS",NO,"Si, telefónica."
8220,SI,SI,NO,NO,NO,NO,"SI, telefónica."
8163,SI,SI,SI,NO,NO,"si, 48 hs antes.","SI, telefónica."
1210,"Presencial, telefónica, mail y web.",,,NO,"Si, SMS (2 por c/ consulta) y Mail.",NO,"SI, telefónica y SMS."
6985,SI,SI,SI,NO,"SI, por SMS.","Si, 72 horas antes.","SI, telefónica "
5315,SI,SI,NO,NO,"SI, por SMS","Si, 72 hs antes la segunda vez que no se confirma.","SI, telefónica."
1163,SI,SI,NO,NO,"SI, por SMS",NO,"SI, telefónica "
2315,SI,SI,NO,NO,NO,"Si, media hora después de comenzada la consulta.","SI, telefónica "
5012,SI,SI,NO,NO,NO,"Si, 24 hs antes.","SI, telefónica."
9532,SI,SI,SI,NO,"Si, por SMS y Mail.",NO,"SI, telefónica "
264,SI,SI,NO,NO,"SI, por SMS","Si, 48 hs antes.","SI, telefónica."
8264,SI,SI,NO,NO,NO,"Si, 48 hs antes.","SI, telefónica."
9526,SI,SI,SI,NO,SI ,NO,"SI, telefónica "
9508,SI,SI,SI,NO,"SI, por SMS",NO,"SI, telefónica."
3567,SI,SI,NO,NO,SI,"Si, media hora después.","SI, telefónica."
5961,SI,SI,NO,NO,NO,"Si, 24 hs antes. Excepto usuarios de zona rural.","SI, telefónica."
9518,SI,SI,NO,NO,NO,NO,"Si, telefonica."
4315,SI,SI,NO,NO,NO,NO,"SI, telefónica y SMS."
7719,SI,SI,SI,NO,NO,"Si, 48 hs antes.","SI, telefónica y SMS."
9502,SI,SI,SI,NO,"Si, por SMS y Mail.",NO,"SI, telefónica "
4810,SI,SI,NO,NO,NO,NO,"SI, telefónica."
