id,Promedio de tiempo de espera para Medicina General,Datos suficientes de tiempo de espera para Medicina General,Promedio de tiempo de espera para Pediatría,Datos suficientes tiempo de espera para Pediatría,Promedio de tiempo de espera para Cirugía General,Datos suficientes de tiempo de espera para Cirugía General,Promedio de tiempo de espera para Ginecotocología,Datos suficientes de tiempo de espera para Ginecotocología,Promedio de tiempo de espera para Médico de Referencia de Medicina General,Datos suficientes de espera para Médico de Referencia de Medicina General
6860,0.09,SI,1.11,SI,2.53,SI,3.84,NO,0.11,SI
5961,0.35,SI,0.54,SI,1.3,SI,0.94,SI,2.99,SI
6012,0.46,SI,0.74,SI,3.65,SI,2.5,SI,1.18,SI
5517,0.01,SI,0.04,SI,1.25,SI,0.07,SI,3.14,SI
2315,0.18,SI,0.28,SI,0.72,SI,0.29,NO,3.5,SI
8264,0.05,SI,0.26,SI,2.05,SI,0.26,NO,0,SI
9516,0.83,SI,0.77,SI,0.85,SI,0,SI,0.83,SI
567,0,NO,0,NO,1.61,SI,0.62,NO,15.15,SI
1210,1.05,SI,0.56,NO,1.41,SI,0.45,NO,0.64,NO
7719,0.86,NO,0.69,NO,0.81,SI,1.89,SI,1.23,NO
5315,0.11,SI,0.57,NO,1.24,SI,0.74,NO,14.3,SI
9532,0.11,NO,0.05,SI,0.32,SI,0.06,NO,0.12,NO
9518,0.21,SI,0.13,SI,1.03,SI,1.54,SI,0.09,SI
4810,0.02,SI,0.01,SI,0.35,SI,0.03,SI,6.36,SI
769,0.17,SI,0.15,SI,0.41,NO,0.1,SI,14.46,SI
6517,0.19,SI,0.41,SI,1.41,SI,0.92,SI,0.2,SI
9526,0.39,SI,0.55,SI,1.58,SI,0.81,SI,0.39,SI
9502,0.03,SI,0,SI,0.26,SI,0.46,NO,0.02,SI
1062,0.01,SI,0.03,SI,0.1,SI,0.51,SI,3.17,SI
3567,0.02,SI,0.08,SI,1.3,SI,0.96,SI,7.61,SI
6062,0.12,SI,0.41,SI,1.48,SI,0.57,SI,0.66,SI
7062,1.46,SI,1.38,SI,0.94,NO,3.73,SI,21.87,SI
5810,0.02,SI,0.11,SI,0.48,SI,0.44,SI,2.74,SI
8012,0.28,SI,0.68,SI,2.65,SI,0.95,SI,0.31,SI
62,1,SI,1,SI,1,SI,1,SI,1,SI
4315,0.01,SI,0.01,SI,0.35,NO,0.1,SI,20.4,SI
6769,0.28,SI,1.02,SI,0.61,SI,3.81,SI,1.5,SI
264,0.49,SI,0.71,SI,1.14,SI,0.74,SI,11.56,SI
8163,1.23,SI,0.07,SI,0.23,SI,0.6,SI,13.97,SI
7810,0.56,SI,7.43,SI,7.94,SI,11.06,SI,1.34,SI
5163,0.02,SI,0.09,SI,3.19,SI,7.84,SI,2.54,SI
6416,0.06,SI,0.81,SI,1.61,SI,3.86,SI,0.15,SI
7466,0,SI,0.06,NO,0.96,NO,0.7,NO,7.87,SI
6618,0.15,SI,0.97,SI,1.15,SI,0.94,SI,3.19,SI
7618,0.03,SI,0.05,SI,0.85,NO,0.04,NO,4.64,SI
5012,0.3,SI,0.31,SI,0.72,NO,0.74,SI,2.02,SI
7553,0.04,SI,0.54,NO,5.97,SI,0.33,NO,5.94,SI
9508,0.24,SI,0.14,SI,0.87,SI,0.21,SI,,
8220,,,,,,,,,,
1163,1.11,SI,5.82,SI,3.37,SI,1.03,SI,4.32,SI
90001,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90002,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90003,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90004,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90005,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90006,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90007,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90008,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90009,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90010,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90011,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90012,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90013,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90014,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90015,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90016,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90017,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90018,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
90019,2.1,SI,4.5,SI,13.3,SI,11.8,SI,1.22,SI
7264,5.67,SI,1.83,SI,1.33,SI,4,SI,3,SI
6985,0.77,NO,0.93,NO,1.44,SI,0.6,NO,20.7,NO
7214,2.79,SI,1.07,SI,0.77,SI,4.5,SI,8.48,SI
