1 id_mutualista;2 Nombre abreviado ;3 Nombre completo;4 web;FONASA;NO FONASA;TOTAL;Comunicación en soporte electrónico (página web)
62;ASOCIACIÓN ESPAÑOLA;Asociación Española Primera de Socorros Mutuos;www.asesp.com.uy;159100;27056;186156;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
264;HOSPITAL EVANGÉLICO;Mutualista Hospital Evangélico;www.hospitalevangelico.com.uy;56761;4688;61449;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
567;CASA DE GALICIA;Casa de Galicia;www.casadegalicia.org.uy;47382;6656;54038;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
769;CASMU IAMPP;(CASMU-IAMPP) Institución de Asistencia Médica Privada de Profesionales sin fines de lucro;www.casmu.com.uy;176576;32167;208743;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
1062;CÍRCULO CATÓLICO;(CCOU) Círculo Católico de Obreros del Uruguay;www.circulocatolico.com.uy;77221;6534;83755;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
1163;CUDAM;Centro Uruguayo de Asistencia Médica;www.cudam.com.uy;49934;819;50753;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
1210;COSEM IAMPP;COSEM IAMPP;www.cosem.com.uy;75810;7410;83220;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
2315;GREMCA;Gremial Médica Centro Asistencial;www.gremca.com.uy;34035;1793;35828;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
3567;MÉDICA URUGUAYA;M.U.C.A.M. - Médica Uruguaya Corporación de Asistencia Medica;www.medicauruguaya.com.uy;289016;15694;304710;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
4315;SMI;Servicio Médico Integral ;www.serviciomedicointegral.com.uy;121122;9223;130345;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
4810;UNIVERSAL;Universal Sociedad de Producción Sanitaria;www.sociedadmedicauniversal.com;59646;1988;61634;Página web en construcción.
5012;GREMEDA IAMPP;GREMEDA IAMPP;www.gremeda.com.uy;20566;4955;25521;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
5163;CAAMEPA IAMPP;CAAMEPA IAMPP;www.caamepa.com.uy;32664;3413;36077;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, director técnico, Precios de tasas moderadoras y Derechos de los usuarios. No contiene nómina de profesionales
5315;CRAMI IAMPP;CRAMI IAMPP;www.crami.com.uy;34482;4017;38499;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
5517;COMECA IAMPP;CORPORACION MEDICA DE CANELONES IAMPP;www.comeca.com.uy;44019;6240;50259;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
5810;CAMCEL;Cooperativa Asistencial Médica de Cerro Largo;www.camcel.com.uy;39529;3851;43380;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, y Derechos de los usuarios. No contiene  Precios de tasas moderadoras.
6012;CAMEC;Cooperativa Asistencial Médica del Este de Colonia;www.camec.com.uy;41893;4338;46231;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
6062;CAMOC IAMPP;CENTRO DE ASISTENCIA MEDICA DEL OESTE DE COLONIA IAMPP;www.camoc.com.uy;19625;1532;21157;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
6416;CAMEDUR IAMPP;CENTRO DE ASISTENCIA MEDICA DE DURAZNO IAMPP;www.camedur.com.uy;28143;3297;31440;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
6517;COMEFLO IAMPP;COMEFLO IAMPP;www.comeflo.com.uy;11531;1818;13349;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
6618;COMEF IAMPP;COMEF IAMPP - COOPERATIVA MEDICA DE FLORIDA IAMPP ;www.comef.com.uy;29154;3117;32271;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
6769;CAMDEL IAMPP;CENTRO DE ASISTENCIA MEDICA DE LAVALLEJA IAMPP;www.camdel.com.uy;26016;4776;30792;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
6860;AMDM IAMPP;ASISTENCIAL MEDICA DEPARTAMENTAL DE MALDONADO IAMPP;www.asistencial.com.uy;69349;9825;79174;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
6985;CRAME IAMPP;CRAME IAMPP;www.semm-mautone.com.uy;37622;3579;41201;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
7062;COMEPA;Corporación Médica de Paysandú;www.comepa.com.uy;55415;6801;62216;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
7214;AMEDRIN;Asistencia Médica de Río Negro Cooperativa Médica;www.amedrin.com.uy;8311;1402;9713;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
7264;CAMY;Cooperativa de Asistencia Médica de Young;www.camy.com.uy;7442;486;7928;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico y precios de tasas moderadoras. No contiene Derechos de los usuarios
7466;CASMER IAMPP;CENTRO ASISTENCIAL MEDICA DE RIVERA IAMPP;www.casmer.com.uy;31348;3524;34872;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
7553;COMERI;Cooperativa Médica de Rivera ;www.comeri.com.uy;21733;2570;24303;Sin página web disponible
7618;COMERO IAMPP;COLECTIVO MEDICO ROCHENSE IAMPP;www.comero.com.uy;34699;5277;39976;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
7719;SMQS;Sociedad Médico Quirúrgica de Salto;www.smqs.com.uy;54265;8062;62327;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
7810;AMSJ IAMPP;ASOCIACION MEDICA DE SAN JOSE IAMPP;www.amsj.com.uy;45109;4901;50010;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
8012;CAMS IAMPP;CENTRO ASISTENCIAL MEDICO DE SORIANO IAMPP;www.camsor.com.uy;41591;3886;45477;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico y precios de tasas moderadoras. No contiene Derechos de los usuarios
8163;COMTA IAMPP;CORPORACION MEDICA DE TACUAREMBO IAMPP;www.comta.com.uy;32186;4686;36872;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
8220;COMETT;Cooperativa Asistencial Médica de Treinta y Tres;www.comett.com.uy;872;83;955;Sin página web disponible
8264;IAC;Instituto Asistencial Colectivo ;www.iac.com.uy;18242;2356;20598;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.
9000;ASSE;Administración de Servicios de Salud del Estado;www.asse.com.uy;426865;838077;1264942;Contiene nombre, teléfono, horarios de atención, director técnico y Derechos de los usuarios. No contiene cartelera de servicios, formas de acceso a los servicios, nómina de profesionales.
9502;SUMMUM (Seguro Privado);Summum Medicina Privada S.A..;www.summum.com.uy;8728;5603;14331;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico. No contiene Derechos de los usuarios
9508;MP (Seguro Privado);Medicina Personalizada ;www.mp.com.uy;16353;9783;26136;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, . No contiene director técnico y Derechos de los usuarios
9516;BLUE CROSS & BLUE SHIELD (Seguro Privado);Blue Cross & Blue Shield;www.bcbsu.com.uy;8920;4889;13809;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales. No contiene director técnico y Derechos de los usuarios
9518;SEGURO AMERICANO (Seguro Privado);Seguro Americano S.A..;www.seguroamericano.com.uy;5533;4843;10435;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico y Derechos de los usuarios.
9526;MEDICARE (Seguro Privado);Copamhi Asociación Civil ;www.medicare.com.uy;788;517;1305;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico. No contiene  Derechos de los usuarios
9532;HOSPITAL BRITÁNICO (Seguro Privado);La Sociedad Hospital Británico en el Uruguay;www.hospitalbritanico.com.uy;16671;12139;28810;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico. No contiene Derechos de los usuarios
