1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA,CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA;LABORATORIO, RUTINA BÁSICA. FONASA;LABORATORIO, RUTINA BÁSICA. NO FONASA
62; 219.88; 219.88; 102.05; 102.05; 91.70; 91.70; 0.00; 0.00; 91.70; 91.70; 95.10; 95.10; 230.95; 230.95; 601.16; 601.16; 450.58; 450.58; 601.16; 601.16; 450.58; 450.58; 91.70; 91.70; 896.21; 896.21; 563.91; 563.91; 849.70; 849.70; 376.61; 376.61; 376.61; 376.61; 376.61; 376.61; 376.61; 376.61; 956.00; 956.00; 815.14; 815.14
264; 190.47; 190.47; 102.22; 102.22; 92.44; 92.44; 92.44; 92.44; 92.44; 92.44; 95.52; 95.52; 208.64; 208.64; 270.35; 270.35; 379.10; 379.10; 444.50; 444.50; 270.35; 270.35; 92.44; 92.44; 496.39; 496.39; 484.48; 484.48; 802.50; 802.50; 349.33; 349.33; 349.33; 349.33; 349.33; 349.33; 956.00; 956.00; 802.50; 802.50; 633.73; 633.73
567; 203.40; 203.40; 102.19; 102.19; 0.00; 0.00; 0.00; 0.00; 92.80; 92.80; 92.80; 92.80; 232.94; 232.94; 412.39; 412.39; 378.03; 378.03; 568.99; 568.99; 378.03; 378.03; 92.80; 92.80; 583.88; 583.88; 467.41; 467.41; 956.00; 956.00; 373.85; 373.85; 373.85; 373.85; 886.97; 886.97; 956.00; 956.00; 919.70; 919.70; 841.07; 841.07
769; 225.02; 225.02; 95.66; 95.66; 92.63; 92.63; 92.63; 92.63; 92.63; 92.63; 95.53; 95.53; 242.03; 242.03; 395.09; 395.09; 395.09; 395.09; 573.57; 573.57; 395.09; 395.09; 92.63; 92.63; 956.00; 956.00; 417.60; 417.60; 868.59; 868.59; 417.60; 417.60; 417.60; 417.60; 583.76; 583.76; 956.00; 956.00; 956.00; 956.00; 749.20; 749.20
1062;102.99;185.09;101.51;101.51;0.00;92.83;0.00;0.00;0.00;92.83;0.00;95.09;0.00;273.97;338.81;338.81;386.24;386.24;536.69;536.69;0.00;0.00;0.00;92.83;900.99;900.99;549.86;549.86;956.00;956.00;349.97;349.97;76.00;349.97;349.97;349.97;956.00;956.00;956.00;956.00;425.90;699.81
1163; 93.78; 159.46; 22.00; 91.96; 0.00; 81.89; 0.00; 0.00; 0.00; 81.89; 0.00; 81.89; 0.00; 162.29; 0.00; 0.00; 0.00; 236.78; 0.00; 320.77; 0.00; 0.00; 0.00; 81.89; 473.12; 473.12; 326.11; 326.11; 231.79; 231.79; 205.83; 205.83; 205.83; 205.83; 231.79; 231.79; 956.00; 956.00; 785.22; 785.22; 411.56; 411.56
1210; 216.94; 216.94; 102.37; 102.37; 92.32; 92.32; 92.32; 92.32; 92.32; 92.32; 95.49; 95.49; 279.30; 279.30; 129.10; 129.10; 315.93; 315.93; 375.16; 375.16; 435.43; 435.43; 0.00; 0.00; 691.57; 691.57; 350.16; 350.16; 691.57; 691.57; 332.88; 332.88; 332.88; 332.88; 691.57; 691.57; 956.00; 956.00; 956.00; 956.00; 1266.25; 1266.25
2315; 102.32; 180.46; 100.27; 100.27; 0.00; 85.52; 0.00; 0.00; 0.00; 85.52; 0.00; 85.52; 0.00; 234.86; 0.00; 234.86; 0.00; 339.87; 223.76; 223.76; 0.00; 234.86; 0.00; 85.52; 469.31; 469.31; 469.31; 469.31; 469.31; 469.31; 469.31; 469.31; 240.19; 240.19; 240.19; 240.19; 956.00; 956.00; 469.31; 469.31; 862.06; 862.06
3567; 210.37; 210.37; 101.56; 101.56; 0.00; 93.06; 0.00; 0.00; 0.00; 93.06; 0.00; 93.06; 0.00; 284.43; 0.00; 381.30; 0.00; 419.45; 0.00; 589.60; 0.00; 405.46; 0.00; 93.06; 76.00; 919.17; 76.00; 224.58; 76.00; 799.36; 76.00; 373.04; 76.00; 373.04; 76.00; 373.04; 76.00; 956.00; 76.00; 670.21; 152.00; 449.19
4315; 210.29; 210.29; 102.50; 102.50; 99.60; 99.60; 0.00; 0.00; 94.15; 94.15; 94.15; 94.15; 211.48; 211.48; 316.55; 316.55; 0.00; 289.25; 0.00; 428.43; 289.25; 289.25; 92.78; 92.78; 410.29; 410.29; 354.34; 354.34; 410.29; 410.29; 288.85; 288.85; 288.85; 288.85; 288.85; 288.85; 956.00; 956.00; 956.00; 956.00; 577.71; 577.71
