id_mutualista,Cargos de médicos generales en policlínica cada 10.000 usuarios mayores de 14 años,Cargos de médicos de familia en policlínica cada 10.000 usuarios,Cargos de  médicos pediatras en policlínica cada 10.000 usuarios menores de 15 años,Cargos de médicos ginecólogos en policlínica cada 10.000 usuarias mayores de 14 años,Cargos de auxiliares de enfermería en policlínica cada 10.000 usuarios,Cargos de licenciadas de enfermería en policlínica cada 10.000 usuarios,Cantidad de CAD cada 10.000 usuarios ,Medicina General Cantidad de CAD,Medicina Familiar Cantidad de CAD,Pediatría Cantidad de CAD,Ginecotología Cantidad de CAD,Medicina Interna Cantidad de CAD,Medicina Intensiva de Adultos Cantidad de CAD,Medicina Intensiva Pediátrica Cantidad de CAD,Neonatología Cantidad de CAD,Cantidad de CAD Psiquiatría Adultos,Cantidad de CAD Psiquiatría Pediátrica
62,"23,0","0,0","28,8","9,8","15,5","0,9","2,20",18,0,9,0,6,0,3,5,0,0
264,"17,1","0,0","13,9","9,6","11,5","1,5","2,12",3,1,7,0,0,0,1,1,0,0
567,"14,5","0,0","24,9","8,6","10,6","0,6","1,47",6,0,2,0,0,0,0,0,0,0
769,"17,6","1,3","31,6","7,9","6,1","0,9","1,96",10,8,12,0,11,0,0,0,0,0
1062,"26,1","0,1","25,4","10,7","18,4","0,8","1,79",6,0,4,0,3,0,0,2,0,0
1163,"7,9","0,4","14,7","7,0","0,9","0,0","2,35",8,0,2,0,0,1,0,1,0,0
1210,"8,8","0,2","28,6","12,1","10,7","2,2","1,93",6,1,5,0,0,0,0,0,4,0
2315,"13,9","0,0","16,6","9,4","8,0","0,0","2,24",3,1,4,0,0,0,0,0,0,0
3567,"14,6","0,0","32,8","19,9","4,6","0,5","1,51",8,0,15,0,2,14,4,3,0,0
4315,"7,5","0,2","15,7","7,1","2,6","0,2","2,15",7,0,18,0,0,0,3,0,0,0
4810,"15,1","0,0","18,3","8,4","9,6","0,5","2,27",8,0,6,0,0,0,0,0,0,0
5012,"15,8","0,0","25,8","8,1","6,5","1,3","1,57",3,0,0,0,0,1,0,0,0,0
5163,"20,1","0,0","33,2","8,3","19,7","0,3","1,94",1,0,4,0,2,0,0,0,0,0
5315,"15,6","0,0","32,4","10,3","6,1","0,4","2,07",3,0,5,0,0,0,0,0,0,0
5517,"26,7","0,0","29,0","12,8","8,4","1,0","1,99",6,0,2,0,0,0,0,2,0,0
5810,"20,6","0,0","13,3","8,5","6,9","0,2","2,07",5,0,2,1,1,0,0,0,0,0
6012,"21,0","0,0","18,1","9,3","8,8","0,3","2,83",3,0,6,0,2,2,0,0,0,0
6062,"21,6","0,0","29,8","8,4","9,6","0,9","1,89",2,0,2,0,0,0,0,0,0,0
6416,"19,4","0,0","25,7","9,6","12,0","0,3","0,94",0,0,0,0,2,1,0,0,0,0
6517,"10,3","0,0","34,4","10,4","4,3","0,6","0,75",1,0,0,0,0,0,0,0,0,0
6618,"32,0","0,0","29,2","11,7","16,8","1,9","1,86",0,0,1,0,1,4,0,0,0,0
6769,"19,4","0,1","16,4","4,1","13,6","0,4","1,94",1,0,0,0,3,2,0,0,0,0
6860,"17,5","0,0","29,6","11,2","12,1","0,6","2,02",5,0,0,0,4,4,2,1,0,0
6985,"10,7","0,0","25,5","14,8","10,7","0,9","1,94",2,0,4,0,1,0,0,0,1,0
7062,"12,1","0,0","28,4","12,0","10,3","1,0","1,13",1,1,4,0,1,0,0,0,0,0
7214,"11,6","0,0","27,5","19,0","6,2","0,0","1,03",1,0,0,0,0,0,0,0,0,0
7264,"11,4","0,6","28,5","20,3","17,6","3,1","2,49",0,1,0,0,1,0,0,0,0,0
7466,"14,3","0,0","20,2","13,0","15,4","1,5","1,15",2,0,0,1,0,0,0,0,1,0
7553,"11,9","0,0","19,6","10,7","8,6","1,0","1,23",1,0,1,0,1,0,0,0,0,0
7618,"13,3","0,0","21,1","4,6","28,6","0,6","1,99",2,0,2,0,1,3,0,0,0,0
7719,"10,4","0,0","30,1","11,4","8,9","5,5","1,93",3,0,4,3,0,0,0,0,2,0
7810,"23,4","0,0","14,4","15,6","5,4","0,0","2,00",1,0,1,0,2,2,1,3,0,0
8012,"19,7","0,0","22,5","6,8","3,2","0,6","1,98",6,0,2,0,0,0,0,0,1,0
8163,"15,1","0,0","27,2","6,7","14,8","1,3","1,90",3,0,3,1,0,0,0,0,0,0
8220,"18,6","0,0","46,5","8,6","15,7","0,0","0,00",0,0,0,0,0,0,0,0,0,0
8264,"13,0","0,1","11,3","6,6","7,4","1,6","1,45",1,0,1,0,1,0,0,0,0,0
9100,"0,0","0,0","0,0","0,0","0,0","0,0","0,00",0,0,0,0,0,0,0,0,0,0
9110,"15,0","0,0","0,0","0,0","9,5","0,2","0,00",0,0,0,0,0,0,0,0,0,0
9120,"0,0","0,0","0,0","0,0","0,0","0,0","0,00",0,0,0,0,0,0,0,0,0,0
9130,"13,9","0,0","0,0","0,0","0,0","0,0","0,00",0,0,0,0,0,0,0,0,0,0
9140,"0,0","0,0","0,0","0,0","0,0","0,0","0,00",0,0,0,0,0,0,0,0,0,0
9150,"0,6","0,0","3,8","2,3","12,6","2,1","0,00",0,0,0,0,0,0,0,0,0,0
9548,"0,0","0,0","0,0","0,0","0,0","0,0","0,00",0,0,0,0,0,0,0,0,0,0
9000,"18,2","8,6","28,3","8,2","9,6","1,3","0,09",0,5,3,2,2,0,0,0,0,0
