1 id_mutualista,Nombre abreviado ,Conformidad con disponibilidad de agenda (consulta médica) (2014),Conformidad con disponibilidad de agenda (consulta médica) (2010),Evaluación de tiempo de espera en sala (2014),Evaluación de tiempo de espera en sala (2010),Facilidad para realizar trámites y gestiones (2014),Facilidad para realizar trámites y gestiones (2010),Disponibilidad de medicamentos en farmacia (2014),Disponibilidad de medicamentos en farmacia (2010),Información sobre Derechos (2014),Información sobre Derechos (2010),Si hoy tuviese una queja o sugerencia sabe a dónde dirigirse (2014),Si hoy tuviese una queja o sugerencia sabe a dónde dirigirse (2010),Satisfacción con Primer Nivel de Atención (2014),Satisfacción con Primer Nivel de Atención (2010),Satisfacción con Internación Hospitalaria (2012)
9000,ASSE,72,75,77,73,70,70,64,60,18,"8,3",40,"30,1","8,4","8,3","8,7"
62,ASOCIACION ESPAÑOLA,43,60,"79,5",75,"70,9",75,"66,7",75,"24,8",17,"47,3",44,"7,6","7,8","7,9"
264,HOSPITAL EVANGELICO,48,45,74,76,64,75,83,62,25,22,67,61,8,"8,2","8,7"
567,CASA DE GALICIA,,60,,73,,73,,64,,18,,37,,"7,9","8,1"
769,CASMU,51,"52,9",77,"67,9",75,"62,9",56,"51,7",19,"8,3",43,"36,9","7,9","7,6","8,1"
1062,CIRCULO CATOLICO ,"79,3",84,"77,9",75,"85,4",,"87,5",74,"42,9",9,"43,5",46,"8,3","8,3","8,7"
1163,CUDAM,,"50,5",,"63,9",,"60,9",,"68,6",,"6,3",,"27,1",,"7,9",8
1210,COSEM,"60,6",61,"84,7",85,"83,4",75,"80,9",67,"41,7",10,"44,3",42,"8,3","8,1","8,7"
2315,GREMCA,70,51,"80,6",71,78,72,"76,9",81,"16,6",8,"36,6",34,"8,1",8,"8,2"
3567,MEDICA URUGUAYA,63,53,77,65,74,68,83,70,42,12,35,30,"8,2","7,9","8,3"
4315,SMI,"55,4",60,"75,1",75,"68,3",75,"73,1",78,"18,6",19,"53,1",46,"7,9","7,9","8,2"
4810,UNIVERSAL,62,70,"75,8",71,"79,6",75,"92,4",85,"16,1",15,"41,4",37,"8,3","8,3","8,7"
5012,GREMEDA,"75,7",58,"78,6",79,"78,6",72,"91,4",90,"25,1",14,"57,7",58,"8,1","8,2","8,6"
5163,CAAMEPA,55,53,81,71,72,79,82,85,26,20,54,50,"8,3","8,1","8,4"
5315,CRAMI,"29,7",59,"67,6",78,"73,9",86,"91,8",60,"51,6",20,"58,2",42,"7,9",6,"8,5"
5517,COMECA,63,"45,1",72,72,82,"67,2",87,"85,2",35,"10,6",49,"52,3","8,2","7,9","8,6"
5810,CAMCEL,"51,3",60,"75,5",73,"82,4",78,"92,2",94,"40,9",15,"62,5",46,"8,1","8,2","8,2"
5961,ORAMECO,66,"53,7",89,"70,9",72,"64,6",91,"88,3",27,"10,6",58,"49,1","8,1","8,1","8,6"
6012,CAMEC,70,63,73,68,77,80,"91,1",96,32,12,52,48,"8,3","8,3","8,7"
6062,CAMOC,"78,6",61,"82,6",77,"84,8",84,"89,7",84,"32,2",17,"41,9",52,"8,3","8,4","8,5"
6416,CAMEDUR,"66,3",63,"76,6",72,"82,6",83,"94,3",87,34,17,"41,7",40,"8,3","8,4","8,7"
6517,COMEFLO,"71,1",70,"80,6",86,"89,7",86,"90,3",88,"22,6",19,64,63,"8,3","8,3","8,7"
6618,COMEF,40,47,72,68,75,73,88,73,30,7,60,59,"7,5","7,2","8,6"
6769,CAMDEL,"58,2",57,"71,1",62,"81,7",78,"88,6",80,"24,7",14,"39,8",46,8,"8,1","8,7"
6860,AMDM,"38,9",45,"74,9",70,"68,9",66,"82,7",69,"40,3",10,"41,8",35,"7,8","7,9","8,4"
6985,CRAME,53,"46,5",85,"75,2",84,70,82,82,49,"6,6",48,"39,4","8,3","8,1","8,7"
7062,COMEPA,"51,2",37,"79,7",69,"70,8",60,"87,7",72,"36,9",19,"50,5",56,"8,1","7,7","8,5"
7214,AMEDRIN,71,55,73,70,89,62,78,73,13,10,66,62,"7,9","7,7","8,6"
7264,CAMY,69,52,74,66,86,66,83,78,21,19,60,57,"8,2","7,8","8,8"
7466,CASMER,"68,3",55,83,72,"82,7",76,"91,3",90,43,18,"55,7",55,"8,3","8,5","8,7"
7553,COMERI,69,"59,7",81,"69,2",82,"84,6",88,"91,4",19,"10,6",47,"47,4","8,4","8,4",9
7618,COMERO,"68,6",65,"83,3",79,"83,5",81,"87,4",79,"58,2",22,"55,6",46,"8,2","8,3","8,6"
7719,SMQS,"46,8",40,"68,1",55,"88,7",62,"96,3",91,"39,5",19,"48,8",58,8,"7,4","8,2"
7810,AMSJ,63,60,83,68,72,83,89,78,13,13,35,45,"8,2","8,3","8,4"
8012,CAMS,78,"45,7",84,"74,3",85,"70,5",89,"83,2",32,10,45,"46,6","8,4",8,"8,5"
8163,COMTA,"55,1",44,"75,6",77,"61,3",50,"82,3",70,"24,3",24,"67,7",67,"7,8","7,6","8,3"
8220,COMETT,,86,,84,,85,,84,,28,,53,,"8,7","9,1"
8264,IAC,64,"63,1",81,"62,8",85,"82,3",87,"82,9",27,"13,7",45,44,"8,2","8,2","8,8"
9502,SUMMUM (Seguro Privado),"82,9",85,"95,7",81,"92,9",82,,,"47,1",36,"68,6",63,"8,5","8,6","8,7"
9508,MP (Seguro Privado),"93,7",84,"96,3",86,"96,3",92,"70,3",,"49,3",40,"56,8",57,9,"9,1","9,3"
9516,BLUE CROSS & BLUE SHIELD (Seguro Privado),83,87,81,85,82,82,,,28,25,64,73,9,"9,1","9,2"
9518,SEGURO AMERICANO (Seguro Privado),"88,3",75,"84,6",80,"95,4",92,"85,7",,"29,1",35,"36,6",47,"8,9","8,8","9,2"
9526,MEDICARE (Seguro Privado),,92,,91,,89,,,,39,,65,,9,"8,6"
9532,HOSPITAL BRITÁNICO (Seguro Privado),77,80,79,82,91,88,,,36,30,57,55,"8,9","9,1","9,3"
