ID;Promedio de tiempo de espera para Medicina General;Promedio de tiempo de espera para Pediatría;Promedio de tiempo de espera para Cirugía General;Promedio de tiempo de espera para Ginecotocología;
62;0;0;0.3;0;
264;0.3;0.8;1;0.7;
567;0.2;0.1;2.1;1.2;
769;0.2;0.2;0.3;0.2;
1062;0;0;0.4;0.4;
1163;0;0.7;5.6;0.1;
1210;0.8;0.2;1.2;0.4;
2315;0.1;0.3;0.6;0.5;
3567;0;0.1;1.6;0.7;
4315;0;0;0.7;0.1;
4810;0;0;0.2;0.1;
5012;0.2;0.3;1;0.7;
5163;0;0;0.6;0.1;
5315;0.1;0.5;1.4;0.3;
5517;0;0;1.1;0.1;
5810;0;0.3;0.6;0.6;
6012;0.4;0.7;3.5;2.2;
6062;0;0.5;2.7;0.5;
6416;0.1;1.7;1.1;4.9;
6517;0.3;0.7;0.6;1.3;
6618;0.4;1;2;1.7;
6769;0.3;1.1;0.5;3.1;
6860;0.1;0.7;3.6;4;
6985;0.5;0.8;1.6;0.7;
7062;1.1;1.8;0.7;3.2;
7214;1.1;1;1.9;7.2;
7264;3.5;3.1;1.9;3.4;
7466;0;0;1.2;0.4;
7553;0.5;0.8;1.2;0.7;
7618;0;0.1;0.6;0.1;
7719;0.3;0.6;0.6;1.2;
7810;0.3;0.6;2.4;1.7;
8012;0.2;0.3;0.7;0.7;
8163;0.4;0.2;0;0.7;
8220;s/d;s/d;s/d;s/d;
8264;0;0.3;1;0.3;
9000;s/d;s/d;s/d;s/d;
9502;0;0;0.4;0;
9508;0.1;0.2;0.6;0.2;
9516;0.8;0.6;0.7;0.9;
9518;0.7;0.2;1.2;1.7;
9526;0.2;0.3;1.2;0.5;
9532;0.1;0.1;0.5;0.5;
