Instituciones;Captación RN;Control de desarrollo desarrollo al 4To mes de vida -1 año;Control embarazo; Control HIV-VDRL ene l embarazo;Control según pauta de 45 a 64 años;Indice de cesareas SIP 2015
62;100%;96%;98%;100%;13%;56
264;99%;98%;98%;96%;13%;64.3
567;100%;98%;100%;100%;14%;62.3
769;100%;96%;99%;99%;17%;54
1062;100%;100%;100%;100%;14%;48.2
1163;100%;99%;100%;99%;20%;50.2
1210;100%;99%;100%;98%;14%;68.4
2315;100%;100%;100%;97%;15%;48.5
3567;100%;98%;99%;98%;15%;48.1
4315;100%;95%;99%;100%;13%;44.3
4810;100%;99%;100%;100%;13%;57.9
5012;100%;100%;100%;100%;15%;58.6
5163;100%;100%;100%;100%;12%;51.9
5315;100%;98%;100%;100%;15%;50
5517;100%;99%;100%;97%;26%;43.1
5810;100%;100%;100%;100%;41%;53
6012;100%;100%;100%;100%;14%;41.7
6062;100%;100%;100%;100%;24%;48.5
6416;100%;99%;100%;100%;12%;41.3
6517;100%;100%;100%;100%;16%;57.1
6618;99%;100%;100%;100%;17%;46.4
6769;100%;100%;99%;100%;40%;46.5
6860;100%;100%;100%;100%;14%;54.8
6985;100%;100%;100%;100%;13%;53.7
7062;100%;100%;100%;100%;17%;44.2
7214;100%;100%;100%;100%;14%;49.7
7264;100%;100%;100%;100%;19%;33.3
7466;100%;99%;98%;95%;15%;37.6
7553;98%;100%;100%;100%;19%;58.4
7618;100%;100%;100%;100%;30%;54
7719;99%;91%;98%;95%;16%;48.4
7810;100%;100%;100%;100%;14%;44.7
8012;100%;100%;100%;99%;16%;36.9
8163;99%;100%;100%;100%;13%;51.5
8220;100%;100%;100%;100%;s/d;58.3
8264;100%;100%;100%;100%;13%;50.7
9000;88%;36%;98%;97%;1%;30.2
9502;100%;0%;100%;100%;14%;55.1
9508;91%;10%;100%;100%;3%;57.2
9516;100%;86%;100%;100%;1%;s/d
9518;100%;67%;100%;100%;s/d;79.3
9526;100%;89%;100%;100%;23%;69.2
9532;97%;0%;100%;99%;s/d;50.7
