id_mutualista;Cargos de médicos generales en policlínica cada 10.000 usuarios mayores de 14 años;Cargos de médicos de familia en policlínica cada 10.000 usuarios;Cargos de  médicos pediatras en policlínica cada 10.000 usuarios menores de 15 años;Cargos de médicos ginecólogos en policlínica cada 10.000 usuarias mayores de 14 años;Cargos de auxiliares de enfermería en policlínica cada 10.000 usuarios;Cargos de licenciadas de enfermería en policlínica cada 10.000 usuarios;Cantidad de CAD cada 10.000 usuarios ;Medicina General Cantidad de CAD;Medicina Familiar Cantidad de CAD;Pediatría Cantidad de CAD;Ginecotología Cantidad de CAD;Medicina Interna Cantidad de CAD;Medicina Intensiva de Adultos Cantidad de CAD;Medicina Intensiva Pediátrica Cantidad de CAD;Neonatología Cantidad de CAD;Psiquiatría Adultos Cantidad de CAD;Psiquiatría Pediátrica Cantidad de CAD;Especialidades Médicas Cantidad de CAD;Cirugía General Cantidad de CAD ;Medicina de Emergencia Cantidad de CAD
6860;19.6;0.0;30.5;10.5;12.7;0.6;2.7;6;0;0;0;4;4;2;1;0;0;4;0;0
7214;11.5;0.0;27.2;18.6;4.9;0.5;2.0;1;0;0;0;1;0;0;0;0;0;0;0;0
9518;14.0;0.0;0.0;0.0;0.1;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
7810;22.4;0.0;12.4;13.0;5.1;0.0;2.8;1;0;1;0;2;3;1;4;0;0;0;0;2
62;24.9;0.0;34.8;10.1;14.2;1.0;2.8;16;0;12;0;7;0;5;5;0;0;3;0;6
9000;22.7;7.4;33.3;11.9;10.1;1.4;0.2;0;5;7;0;4;6;0;0;0;0;0;0;0
9516;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
9532;0.0;0.0;0.0;0.0;9.9;1.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
1062;24.8;0.2;22.7;9.3;17.9;0.7;2.1;8;0;4;0;3;0;2;2;0;0;0;0;0
5163;20.5;0.0;38.2;9.0;20.8;0.3;2.8;3;0;6;0;1;0;0;0;0;0;0;0;0
5810;22.2;0.0;13.7;8.2;6.8;0.2;2.8;6;0;2;1;1;0;0;0;2;0;0;0;0
6769;20.0;0.1;14.1;5.1;11.7;0.4;2.0;1;0;0;0;3;2;0;0;0;0;0;0;0
6012;25.2;0.0;27.6;10.6;7.9;0.5;2.8;3;0;6;0;2;2;0;0;0;0;0;0;0
6416;19.5;0.0;27.7;9.3;11.0;0.3;3.1;0;0;0;0;2;1;0;0;0;0;7;0;0
6062;23.2;0.0;33.5;7.4;9.1;0.8;2.8;3;0;2;0;0;1;0;0;0;0;0;0;0
8012;16.9;0.0;23.1;7.2;3.2;0.6;2.9;7;0;2;0;3;0;0;0;1;0;0;0;0
7264;9.3;0.6;29.2;20.1;17.0;3.2;2.5;0;1;0;0;1;0;0;0;0;0;0;0;0
567;16.0;0.0;32.9;7.6;11.2;0.8;1.6;6;0;2;0;0;0;0;0;0;0;0;0;0
7466;14.9;0.0;20.6;14.1;15.3;1.5;1.1;2;0;0;1;0;0;0;0;1;0;0;0;0
769;16.2;1.7;32.3;7.6;6.3;0.9;2.7;10;8;19;0;19;0;0;0;0;0;0;0;0
5517;30.1;0.0;27.2;11.6;7.3;0.9;2.6;6;0;2;0;0;0;0;2;1;0;2;0;0
6618;34.0;0.0;28.0;10.8;20.5;1.9;2.8;2;0;1;0;1;4;0;0;0;0;1;0;0
6517;9.8;0.0;33.0;9.4;3.3;0.7;0.8;1;0;0;0;0;0;0;0;0;0;0;0;0
7062;12.6;0.0;26.6;11.2;10.6;1.3;1.9;5;0;4;1;2;0;0;0;0;0;0;0;0
7553;11.3;0.0;18.9;10.7;8.6;1.0;1.2;1;0;1;0;1;0;0;0;0;0;0;0;0
7618;12.8;0.0;19.2;5.0;27.3;1.0;2.9;4;0;2;0;1;4;0;0;0;0;1;0;0
8220;5.5;0.0;26.1;3.6;9.4;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
