ID;Promedio de tiempo de espera para Medicina General;Promedio de tiempo de espera para Pediatría;Promedio de tiempo de espera para Cirugía General;Promedio de tiempo de espera para Ginecotocología;Promedio de tiempo de espera para Cardiología
62;0.01;0.03;0.28;0.03;0.06
264;0.31;0.68;0.94;0.65;9.49
567;0.1;0.59;2.2;0.92;1.8
769;0.23;0.22;0.26;0.18;0.4
1062;0.01;0.04;0.56;0.52;0.17
1163;0.002;0.02;7.63;0.01;3.96
1210;0.83;1.01;0.96;0.61;7.14
2315;0.14;0.34;0.66;0.28;7.42
3567;0.02;0.18;1.68;0.38;0.95
4315;0.03;0.13;1.15;0.13;5.74
4810;0.03;0.01;0.22;0.03;0.42
5012;0.26;0.3;0.87;0.59;5.25
5163;0.01;0.01;0.66;0.12;1.92
5315;0.75;1.07;1.94;0.71;11.51
5517;0.01;0.03;1.07;0.12;1.98
5810;0.01;0.29;0.51;0.71;1.86
6012;0.39;1.03;4.1;2.1;6.18
6062;0.12;0.34;2.94;0.66;2.83
6416;0.09;3.84;1.55;3.62;3.12
6517;0.81;0.36;0.94;0.89;8.45
6618;0.51;1.4;1.75;2.77;8.33
6769;0.27;1.43;0.83;3.69;9.56
6860;0.08;s/d;3.29;3.04;4.27
6985;0.25;1.23;1.11;0.8;1.17
7062;1.87;2.45;1.02;3.83;7.32
7214;1.97;2.14;2.14;3.01;3.98
7264;5.67;6.21;3.43;5.74;5.55
7466;0.22;0.72;1.83;0.97;4.19
7553;0.83;0.42;0.85;0.33;0.33
7618;0.05;0.03;1.22;0.09;0.74
7719;0.5;0.59;1.1;1.52;2.56
7810;0.31;0.84;1.79;1.01;7.38
8012;0.17;0.35;0.89;0.69;1.06
8163;1.1;1.99;0.22;1.14;14.22
8220;s/d;s/d;s/d;s/d;s/d
8264;0.003;0.4;1.87;0.32;3.41
9000;s/d;s/d;s/d;s/d;s/d
9502;0.03;0.03;0.25;0.03;0.23
9508;0.17;0.29;0.6;0.22;0.36
9516;0.09;0.14;0.2;0.27;0.15
9518;0.36;0.81;1.52;1.5;1.17
9526;0.25;0.65;1.88;0.64;2.59
9532;0.07;0.04;0.81;0.08;0.24
