Id_Institución;Nombre abreviado;Nombre completo;web;FONASA;NO FONASA;TOTAL;Comunicaciòn en soporte electrònico (pàgina web);existencia de servicio de salud para adolescente s/n
62;ASOCIACIÓN ESPAÑOLA;Asociación Española Primera de Socorros Mutuos;www.asesp.com.uy;164711;22854;187565;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
264;HOSPITAL EVANGÉLICO;Mutualista Hospital Evangélico;www.hospitalevangelico.com.uy;57551;4081;61632;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
567;CASA DE GALICIA;Casa de Galicia;www.casadegalicia.org.uy;42709;4331;47040;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
769;CASMU IAMPP;(CASMU-IAMPP) Institución de Asistencia Médica Privada de Profesionales sin fines de lucro;www.casmu.com.uy;172409;16196;188605;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
1062;CÍRCULO CATÓLICO;(CCOU) Círculo Católico de Obreros del Uruguay;www.circulocatolico.com.uy;84669;5632;90301;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
1163;CUDAM;Centro Uruguayo de Asistencia Médica;www.cudam.com.uy;53383;608;53991;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;no
1210;COSEM IAMPP;COSEM IAMPP;www.cosem.com.uy;84830;9260;94090;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
2315;GREMCA;Gremial Médica Centro Asistencial;www.gremca.com.uy;33510;1372;34882;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;no contesta
3567;MÉDICA URUGUAYA;M.U.C.A.M. - Médica Uruguaya Corporación de Asistencia Medica;www.medicauruguaya.com.uy;300503;12214;312717;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico y Derechos de los usuarios. No contiene precios de tasas moderadoras;no
4315;SMI;Servicio Médico Integral ;www.serviciomedicointegral.com.uy;120489;7452;127941;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;no
4810;UNIVERSAL;Universal Sociedad de Producción Sanitaria;www.sociedadmedicauniversal.com;57516;1587;59103;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
5012;GREMEDA IAMPP;GREMEDA IAMPP;www.gremeda.com.uy;21126;3562;24688;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
5163;CAAMEPA IAMPP;CAAMEPA IAMPP;www.caamepa.com.uy;32282;3208;35490;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
5315;CRAMI IAMPP;CRAMI IAMPP;www.crami.com.uy;33499;2000;35499;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
5517;COMECA IAMPP;CORPORACION MEDICA DE CANELONES IAMPP;www.comeca.com.uy;44776;5323;50099;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
5810;CAMCEL;Cooperativa Asistencial Médica de Cerro Largo;www.camcel.com.uy;38986;3905;42891;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
