ID;Porcentaje de captación de recién nacido;Porcentaje de niños de un año con control de desarrollo en el 4to mes de vida;Porcentaje  de embarazadas con control de HIV y VDRL en el 1er y 3er trimestre.;Porcentaje de usuarios de 25 a 64 años capatados e identificados como hipertensos;Porcentaje de médicos con capacitación realizada en tratamiento del infarto agudo de miocardio con ST elevado;Indice de cesareas SIP 2017;
62;100;98;97;22.71;81.37;60.6;
264;98;99;96;17.55;79.69;67.4;
567;100;100;100;21.95;51.20;56.8;
769;100;99;98;21.38;70.24;52.8;
1062;100;100;100;14.79;97.95;52.1;
1163;100;99;99;10.85;90.00;44.1;
1210;100;99;99;12.71;90.38;69.9;
2315;100;99;97;18.25;85.53;54.9;
3567;100;98;98;10.60;80.72;48.4;
4315;100;98;100;14.68;85.57;45.1;
4810;98;100;100;19.42;76.14;52.4;
5012;100;100;100;20.99;95.00;64.7;
5163;100;100;100;20.71;82.72;59.3;
5315;100;100;100;23.10;82.89;54.6;
5517;99;97;98;15.97;90.38;48.1;
5810;99;100;100;15.54;89.53;58.6;
6012;100;100;100;26.06;88.99;42;
6062;100;100;100;18.38;96.08;44.2;
6416;100;100;100;23.79;78.26;43.4;
6517;100;100;95;20.51;96.30;51.7;
6618;100;100;100;21.36;82.05;41.5;
6769;100;100;100;13.54;88.89;44.8;
6860;100;100;100;19.74;79.31;55.2;
6985;100;100;100;13.91;96.61;53.2;
7062;100;100;96;16.54;96.55;44.7;
7214;100;100;100;13.72;91.18;57.5;
7264;100;77;100;11.08;100.00;44.4;
7466;100;100;99;15.36;96.88;38;
7553;99;100;99;16.09;93.75;55.4;
7618;100;100;100;21.76;73.83;51.4;
7719;100;97;85;18.00;82.54;43.1;
7810;100;98;100;12.38;79.63;45.6;
8012;100;99;98;17.20;86.02;39.9;
8163;97;99;97;14.73;78.08;52.4;
8220;0;0;0;0.00;10.00;0;
8264;100;100;85;17.20;85.71;51.1;
9000;48;40;97;13.87;36.34;33;
9502;100;96;85;14.12;92.86;57;
9508;79;41;100;15.01;100.00;61.7;
9516;100;77;100;4.28;100.00;55.5;
9518;100;33;95;14.04;50.62;68;
9526;100;100;100;14.17;83.33;48.1;
9532;95;46;80;8.90;94.92;53.6;
