1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA;LABORATORIO, RUTINA BÁSICA. FONASA;LABORATORIO, RUTINA BÁSICA. NO FONASA
62;254;254;118;118;106;106;0;0;106;106;109;109;268;268;688;688;521;521;688;688;521;521;106;106;970;970;654;654;953;953;437;437;437;437;437;437;970;970;970;970;946;946
264;221;221;119;119;107;107;107;107;107;107;110;110;241;241;312;312;438;438;514;514;312;312;107;107;576;576;562;562;900;900;406;406;406;406;406;406;970;970;900;900;737;737
567;236;236;119;119;0;0;0;0;0;0;107;107;269;269;476;476;437;437;657;657;437;437;107;107;677;677;542;542;970;970;434;434;434;434;970;970;970;970;970;970;434;434
769;261;261;111;111;107;107;107;107;107;107;110;110;280;280;457;457;457;457;663;663;457;457;107;107;677;677;485;485;970;970;485;485;485;485;677;677;970;970;970;970;870;870
1062;120;214;118;118;0;107;0;0;0;107;0;110;0;317;391;391;446;446;620;620;0;0;0;107;638;638;638;638;970;970;407;407;90;407;407;407;970;970;970;970;496;813
1163;176;185;26;107;0;95;0;0;0;95;0;95;0;188;0;0;0;274;0;371;0;0;95;95;549;549;379;379;270;270;240;240;240;240;270;270;970;970;881;881;480;480
1210;251;251;119;119;107;107;107;107;107;107;110;110;323;323;149;149;365;365;433;433;503;503;0;0;789;789;407;407;789;789;387;387;387;387;789;789;970;970;970;970;1.465;1.465
2315;209;209;113;116;0;95;0;0;0;99;0;99;0;271;0;271;0;393;259;554;0;271;0;95;544;544;544;544;544;544;544;544;280;280;280;280;970;970;544;544;1.000;1.000
3567;244;244;118;118;0;108;0;0;0;108;0;108;0;329;0;441;0;485;0;681;0;468;0;108;90;970;90;262;90;897;90;433;90;433;90;433;90;970;90;771;180;523
4315;243;243;119;119;115;115;0;0;109;109;109;109;244;244;366;366;333;333;495;495;333;333;107;107;476;476;411;411;476;476;336;336;336;336;336;336;970;970;970;970;672;672
4810;116;206;109;109;53;107;0;0;50;101;50;101;74;148;132;265;181;362;257;514;74;148;53;107;215;339;215;339;340;591;215;339;211;332;318;545;318;545;318;545;465;749
5012;200;200;109;119;101;101;101;101;105;105;107;107;127;127;231;231;336;336;666;666;313;313;101;101;392;392;199;199;199;199;199;199;194;199;225;225;781;781;474;474;397;397
5163;172;172;110;110;106;106;0;0;106;106;106;106;299;299;300;300;402;402;697;697;556;556;106;106;472;472;358;358;827;827;358;358;358;358;970;970;970;970;965;965;753;753
5315;195;195;110;110;104;104;104;104;104;104;110;110;234;234;368;368;515;515;814;814;561;561;104;104;892;892;371;371;892;892;186;186;186;186;651;651;892;892;892;892;557;557
5517;190;190;116;116;106;106;106;106;106;106;106;110;177;177;304;304;366;366;633;633;314;314;106;106;863;863;347;347;863;863;230;230;230;230;347;347;970;970;863;863;460;460
5810;184;184;110;110;105;105;105;105;105;105;110;110;333;333;304;304;326;326;504;504;328;328;0;0;349;349;349;349;349;349;308;308;308;308;308;308;441;441;970;970;615;615
6012;191;191;118;118;105;105;105;105;105;105;109;109;243;243;313;313;382;382;638;638;124;124;105;105;675;675;443;443;443;443;443;443;214;214;270;270;970;970;758;758;448;448
6062;163;163;119;119;107;107;107;107;107;107;107;107;199;199;265;265;280;280;631;631;391;391;107;107;291;291;291;291;291;291;291;291;291;291;291;291;291;291;291;291;389;389
6416;173;173;98;98;93;93;29;29;0;0;93;93;139;139;146;146;146;146;175;175;272;272;0;0;254;259;231;231;386;391;226;231;226;226;226;226;441;441;441;441;462;462
6517;169;169;113;113;105;105;105;105;105;105;105;105;132;132;212;212;225;225;265;265;210;210;105;105;315;315;172;172;172;172;216;216;172;172;172;172;441;441;441;441;259;259
6618;169;169;119;119;101;101;101;101;101;101;101;101;127;127;263;263;249;249;456;456;354;354;101;101;310;310;310;310;310;310;198;198;221;221;221;221;970;970;659;659;439;439
6769;184;184;105;105;105;105;29;29;105;105;105;105;125;125;187;187;290;290;295;295;346;346;105;105;259;259;216;216;216;216;218;218;218;218;218;218;441;441;511;511;455;455
6860;205;205;118;118;106;106;106;106;106;106;106;106;284;284;448;448;458;458;575;575;632;632;106;106;274;274;394;394;394;394;274;274;214;214;271;271;970;970;441;441;362;362
6985;176;176;105;105;109;109;109;109;109;109;109;109;221;221;334;334;334;334;451;451;474;474;0;0;489;489;355;355;593;593;355;355;355;355;270;270;970;970;489;489;487;487
7062;198;198;118;118;102;102;29;29;0;0;110;110;188;188;225;225;308;308;458;458;209;209;102;102;571;571;331;331;391;391;275;275;275;275;275;275;970;970;730;730;698;698
7214;193;193;113;113;102;102;102;102;102;102;102;102;276;276;162;162;275;275;313;313;340;340;102;102;514;514;373;373;620;620;443;443;443;443;620;620;917;917;726;726;614;614
7264;154;154;26;26;107;107;57;57;57;57;57;57;172;172;210;210;296;296;600;600;331;331;0;0;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90
7466;210;210;111;111;0;107;0;107;0;107;107;0;0;205;0;317;369;369;589;589;369;369;107;107;487;487;248;248;567;567;164;164;164;164;164;164;487;487;487;487;455;455
7553;167;167;109;109;0;99;0;99;0;99;0;99;0;607;0;265;0;296;0;596;0;326;0;99;447;447;248;811;248;248;224;769;224;769;377;377;447;447;447;447;354;832
7618;184;184;119;119;105;105;29;29;47;47;58;109;186;186;304;304;366;366;514;514;469;469;0;105;425;425;257;257;518;519;268;268;268;268;268;268;970;970;599;599;714;714
7719;174;174;105;105;108;108;108;108;108;108;105;105;105;235;200;200;329;329;366;366;387;387;108;108;372;372;325;325;325;325;325;325;325;325;325;325;442;442;441;441;649;649
7810;110;178;110;110;109;109;107;107;107;107;107;107;157;157;258;258;347;347;582;582;463;463;109;109;238;238;213;213;213;213;213;213;213;213;213;213;515;515;515;515;426;426
8012;152;185;108;108;71;71;0;0;74;74;74;74;114;114;211;211;228;228;351;351;331;331;49;107;302;302;218;218;461;461;174;174;174;174;191;191;719;719;719;719;348;348
8163;177;177;102;102;104;104;104;104;104;104;104;104;196;196;279;279;369;369;629;629;388;388;104;104;325;325;325;325;325;325;286;286;147;147;325;325;441;441;441;441;706;706
8220;26;26;26;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;970;970;90;90;90;90;90;90;90;90;90;90;90;90;90;90;180;180
8264;213;213;119;119;107;107;107;107;107;107;107;107;235;235;333;333;366;366;742;742;483;483;106;107;339;339;204;204;339;339;204;204;204;204;339;339;716;716;716;716;624;624
9000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
