id_institucion;Direccion ;Departamento ;localidad;nivel;Servicio de Urgencia;Alergista    Si/No;Anestesiología Si/No;Cardiología Si/No;Cirugía  Si/No;Cirugía Reparadora Si/No;Cirugía Vascular Si/No;Deportología Si/No;Dermatología Si/No;Endocrinolgía Si/No;Fisiatría Si/No;Gastroenterología Si/No;Geriatría Si/No;Ginecología Si/No;Hematología Si/No;Infectología Si/No;Medicina General Si/No;Medicina Interna Si/No;Medicina Intensiva Si/No;Nefrología Si/No;Neonatología Si/No;Neumología Si/No;Neurocirugía Si/No;Neurología Si/No;Neuropediatría Si/No;Odontología Si/No;Oncología Si/No;Otorrinolaringología Si/No;Pediatría Si/No;Psiquiatría Si/No;Psiquiatría Infantil Si/No;Reumatología Si/No;Traumatología Si/No;Urología Si/No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;POLICLINICA BARROS BLANCOS - RUTA 8 KM 24;Canelones;Barros Blancos;Sede Secundaria;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;;NO;Si;NO;NO;NO;NO;NO;NO;NO;NO;No;NO;NO;no;no;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;MONTEVIDEO - ACEVEDO DIAZ 1468;Montevideo;Montevideo;Ambulatorio;no;no;no;si;no;no;no;no;no;no;no;no;no;no;no;no;si;no;no;no;no;no;no;no;no;no;no;no;no;no;no;;no;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;MONTEVIDEO - ANA MONTERROSO LAVALLEJA 2268;Montevideo;Montevideo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;MONTEVIDEO - AVENIDA 8 DE OCTUBRE 2856;Montevideo;Montevideo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;MONTEVIDEO - AVENIDA RIVERA 2309;Montevideo;Montevideo;Ambulatorio;no;no;no;no;no;si;no;no;no;no;no;no;no;si;no;no;si;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;MONTEVIDEO - AVENIDA RIVERA 2407;Montevideo;Montevideo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;MONTEVIDEO - BULEVAR ARTIGAS 1436;Montevideo;Montevideo;Ambulatorio;no;no;no;no;no;no;si;no;no;no;no;no;si;no;no;no;si;si;no;no;no;no;si;no;no;no;no;no;no;no;no;no;no;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;MONTEVIDEO - BULEVAR ARTIGAS 1492;Montevideo;Montevideo;;;;si;no;Si;no;no;no;no;no;no;no;no;SI;no;no;no;no;no;no;no;no;no;no;no;no;si;no;no;no;no;no;no;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;MONTEVIDEO - BULEVAR ARTIGAS 1515 ;Montevideo;Montevideo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;MONTEVIDEO - BULEVAR ARTIGAS 1525;Montevideo;Montevideo;Ambulatorio;no;no;no;no;no;no;no;si;no;no;no;si;no;no;no;no;no;si;no;no;no;no;no;no;si;no;no;no;si;no;si;no;no;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;MONTEVIDEO - BULEVAR ARTIGAS 1531;Montevideo;Montevideo;Ambulatorio;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;si;si;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
