Id_Institución;Promedio de tiempo de espera para Medicina General (en días);Promedio de tiempo de espera para Pediatría (en días);Promedio de tiempo de espera para Cirugía General (en días);Promedio de tiempo de espera para Ginecotocología (en días);Promedio de tiempo de espera para Cardiología (en días)
62;0.02;0.09;0.18;0.05;0.1
264;0.31;0.61;0.78;0.76;9.48
567;0.16;0.33;4.87;0.93;3.15
769;0.26;0.31;0.63;0.27;0.7
1062;0.1;0.86;1.13;3.91;0.29
1163;0.02;0.04;0.71;0.02;0.34
1210;0.55;0.73;1.44;0.62;10.22
2315;0.12;0.34;0.67;0.31;11.1
3567;0.02;0.21;1.64;0.56;1.15
4315;0.16;0.28;1.13;0.3;1.51
4810;0.08;0.26;0.19;0.24;0.62
5012;0.29;0.21;0.9;0.52;12.3
5163;0.01;0.02;1.04;0.02;2.78
5315;0.93;1.87;1.65;3.64;7.26
5517;0.01;0.04;1.3;0.07;1.55
5810;0.17;0.45;2.1;4.17;2.77
6012;0.46;0.8;3.52;2.03;4.38
6062;0.17;0.19;1.47;0.6;2.14
6416;0.14;1.35;2.62;2.93;3.01
6517;0.74;0.51;1.51;0.79;0.46
6618;0.62;2.37;1.96;3.15;8.79
6769;0.27;1.58;0.71;4.49;12.52
6860;0.45;2.77;2.27;5.21;5.69
6985;0.4;0.74;1.12;0.76;1.17
7062;0.96;1.78;4.97;3.75;7.37
7214;2.52;2.1;2.96;5.05;9.56
7264;8.43;9.56;4.07;10.13;5.82
7466;0.42;0.95;1.93;1;3.47
7553;0.03;0.05;1.69;0.12;1.61
7618;0.03;0.07;0.99;0.28;0.64
7719;0.64;0.53;0.81;1.07;0.82
7810;0.62;1.36;2.31;3.25;6.85
8012;0.25;0.46;1.03;0.86;0.96
8163;0.91;0.23;0.16;0.78;6.32
8220;s/d;s/d;s/d;s/d;s/d
8264;0;0.68;2.11;2.54;3.89
9000;s/d;s/d;s/d;s/d;s/d
9502;0.01;0.02;0.21;0.02;0.16
9508;0.15;0.27;0.48;0.22;0.83
9516;0.15;0.16;0.21;0.28;0.12
9518;0.12;0.2;2.19;1.82;2.34
9526;0.45;0.76;1.17;0.71;3.32
9532;0.04;0.03;0.48;0.33;0.08
