Id_Institución ;Promedio de tiempo de espera para Medicina General ;Promedio de tiempo de espera para Pediatría;Promedio de tiempo de espera para Cirugía General;Promedio de tiempo de espera para Ginecotocología;Promedio de tiempo de espera para Cardiología;
62;0.04;0.1;0.24;0.06;0.14;
264;0.32;0.73;0.96;0.74;8.41;
567;0.2;0.41;3.23;1.16;3.24;
769;0.26;0.31;0.62;0.29;0.62;
1062;0.01;0.07;0.72;4.23;0.24;
1163;0.1;1.07;2.9;1.06;7.99;
1210;0.62;0.33;0.64;0.6;7.19;
2315;0.1;0.28;0.62;0.38;8.2;
3567;0.02;0.26;1.69;0.7;2.02;
4315;0.67;0.76;1.58;0.54;8.3;
4810;0.07;0.31;0.19;0.27;2.79;
5012;0.3;0.22;0.91;0.59;8.29;
5163;0.01;0.01;0.42;0.02;1.28;
5315;1.85;4.35;5.23;7.68;24.2;
5517;0.03;0.06;1.03;0.1;1.75;
5810;1.49;1.1;7.32;18;14.31;
6012;0.41;0.78;3.66;1.99;5.35;
6062;0.16;0.19;2.08;1.3;3.84;
6416;0.33;1.7;2.63;4.44;3.64;
6517;0.75;0.2;0.48;0.26;0.87;;
6618;0.53;1.2;1.98;5.79;6.54;
6769;0.11;1.53;0.95;2.64;7.53;
6860;0.44;2.66;2.15;7.7;14.87;
6985;0.52;0.95;1.45;0.91;1.33;
7062;1.28;2.7;4.82;3.11;7.48;
7214;2.38;2.09;2.27;4.17;6.13;
7264;14.16;15.06;4.76;14.28;10.39;
7466;0.45;0.99;2.9;1.13;3.36;
7553;s/d;s/d;s/d;s/d;s/d;
7618;0.05;0.05;1.42;0.24;0.79;
7719;0.89;0.75;0.94;1.34;1.04;
7810;0.88;1.34;2.02;2.78;9.89;
8012;0.23;0.51;0.87;1.09;0.86;
8163;1.24;0.57;0.15;0.84;6.98;
8220;s/d;s/d;s/d;s/d;s/d;
8264;0.02;0.58;1.85;1.21;5.46;
9000;s/d;s/d;s/d;s/d;s/d;
9502;0.01;0.01;0.17;0.02;0.12;
9508;0.13;0.24;0.61;0.22;0.77;
9516;0.15;0.15;0.15;0.27;0.24;
9518;0.13;0.31;2.25;1.53;1.32;
9526;0.69;0.72;2.02;1.09;4.05;
9532;0.04;0.04;0.57;0.07;0.04;
