id;Porcentaje de captación de recién nacido;Porcentaje de niños de un año con control de desarrollo en el 4to mes de vida;Porcentaje de embarazadas con control de HIV y VDRL en el 1er y 3er trimestre;Porcentaje de usuarios de 25 a 64 años capatados e identificados como hipertensos;Porcentaje de médicos con capacitación realizada en tratamiento del infarto agudo de miocardio con ST elevado;Indice de cesareas 
62;100.00;100.00;98.43;27.35;70.23;57.00
264;100.00;98.84;97.54;18.04;92.91;66.00
567;100.00;100.00;100.00;23.62;64.57;56.00
769;100.00;98.58;98.26;22.73;85.00;56.20
1062;100.00;99.08;100.00;18.63;100.00;46.80
1163;100.00;100.00;97.18;13.81;96.08;41.10
1210;100.00;98.19;98.54;16.50;90.77;70.40
2315;100.00;97.53;97.65;21.53;94.81;47.70
3567;100.00;100.00;100.00;15.21;95.21;51.70
4315;100.00;98.36;100.00;16.56;92.62;43.10
4810;100.00;99.54;98.90;17.94;98.32;52.00
5012;100.00;96.72;100.00;21.94;98.61;57.90
5163;100.00;100.00;100.00;21.03;87.36;60.50
5315;100.00;100.00;97.26;21.29;91.76;56.70
5517;100.00;100.00;100.00;16.87;90.76;48.60
5810;100.00;99.29;100.00;21.62;95.74;61.40
6012;100.00;100.00;100.00;20.75;98.20;42.20
6062;100.00;96.92;100.00;20.18;96.36;53.50
6416;100.00;100.00;100.00;23.84;88.57;36.10
6517;100.00;100.00;96.00;19.45;95.00;54.00
6618;100.00;100.00;100.00;20.94;96.88;49.10
6769;100.00;98.70;100.00;15.95;100.00;50.20
6860;100.00;99.49;100.00;21.22;84.83;52.70
6985;100.00;100.00;100.00;25.82;94.67;50.50
7062;100.00;98.82;100.00;20.65;100.00;40.60
7214;100.00;100.00;100.00;14.41;87.18;64.80
7264;100.00;94.12;100.00;12.41;90.91;37.50
7466;100.00;100.00;100.00;19.28;97.40;40.60
7553;100.00;100.00;100.00;10.06;95.65;47.50
7618;100.00;100.00;100.00;23.01;91.74;48.40
7719;100.00;95.08;95.27;19.43;100.00;46.20
7810;98.18;100.00;100.00;19.98;92.96;44.70
8012;100.00;100.00;100.00;19.70;92.52;41.00
8163;100.00;100.00;98.55;19.98;84.88;48.40
8220;80.00;70.00;100.00;0.00;58.33;0.00
8264;100.00;100.00;100.00;18.83;100.00;47.60
9000;80.04;78.17;100.00;15.97;59.39;32.10
9502;100.00;100.00;97.44;16.54;93.33;49.50
9508;100.00;96.06;100.00;16.23;N/C;57.10
9516;100.00;82.19;100.00;14.78;100.00;55.70
9518;100.00;40.00;100.00;16.27;56.79;63.00
9526;100.00;100.00;100.00;14.08;100.00;72.70
9532;100.00;71.01;92.92;10.42;95.08;52.30
