Institución ;Cargos de médicos generales en policlínica cada 10.000 usuarios mayores de 14 años;Cargos de médicos de familia en policlínica cada 10.000 usuarios;Cargos de  médicos pediatras en policlínica cada 10.000 usuarios menores de 15 años;Cargos de médicos ginecólogos en policlínica cada 10.000 usuarias mayores de 14 años;Cargos de auxiliares de enfermería en policlínica cada 10.000 usuarios;Cargos de licenciadas de enfermería en policlínica cada 10.000 usuarios;Cantidad de CAD cada 10.000 usuarios ;Cantidad de CAD de Medicina General;Cantidad de CAD de Medicina Familiar;Cantidad de CAD de Pediatría;Cantidad de CAD de Ginecotología;Cantidad de CAD de Medicina Interna;Cantidad de CAD de Medicina Intensiva de Adultos;Cantidad de CAD de Medicina Intensiva Pediátrica;Cantidad de CAD de Neonatología;Cantidad de CAD de Psiquiatría Adultos;Cantidad de CAD de Psiquiatría Pediátrica;Cantidad de CAD de Especialidades Médicas;Cantidad de CAD de Cirugía General;Cantidad de CAD de Medicina de Emergencia Adultos;Cantidad de CAD de Medicina de Emergencia Pediátrica;Cantidad de CAD de Medicina Rural;Cantidad de CAD de Imagenología;Cantidad de CAD de Anestesia;Proporción de trabajadores que realizaron el seminario de capacitación en el 2019
62;31;0;39.6;10.9;14.1;1.5;5.8;24;0;18;0;9;8;4;8;2;0;26;0;10;0;no corresponde;0;no corresponde;76%
264;16.2;2.2;21.7;9.8;12.8;1.3;5.2;4;2;7;0;0;3;5;5;1;1;2;0;2;0;no corresponde;0;no corresponde;78%
567;13.1;0;36.4;7.9;12.6;0.4;5.7;7;0;5;0;1;6;0;0;0;0;3;0;4;0;no corresponde;0;no corresponde;76%
769;12.8;2.7;38.3;7.5;9.5;1.2;5.9;12;9;21;0;26;20;0;7;4;1;12;0;3;0;no corresponde;0;no corresponde;83%
1062;20.3;0.2;33;9;18.2;0.9;5.9;14;0;10;0;2;11;5;3;2;1;6;0;0;0;no corresponde;0;no corresponde;84%
1163;7.7;0.4;17;6.9;3.7;0.1;5;11;0;6;0;1;1;0;2;0;0;4;0;2;0;no corresponde;0;no corresponde;88%
1210;10.6;0.2;29.9;11.7;9.7;1.8;5.3;9;1;9;0;12;0;0;0;5;0;15;0;0;0;no corresponde;0;no corresponde;80%
2315;16.9;0.4;31.9;9.3;6.5;0;5.9;10;1;7;0;1;0;0;0;0;0;1;0;0;0;no corresponde;0;no corresponde;77%
3567;12.9;0;23.8;11.7;4;0.3;4.4;33;0;29;0;5;25;5;9;2;4;17;0;7;0;no corresponde;0;no corresponde;91%
4315;7.4;0.3;27.2;6.6;2.9;0.2;3.7;14;0;17;0;0;0;4;0;0;0;10;0;2;0;no corresponde;0;no corresponde;84%
4810;13.6;0.2;21;7.3;8.9;0.7;5.7;11;1;7;0;3;0;0;0;2;0;8;0;1;1;no corresponde;1;no corresponde;83%
5012;15.7;0;24.5;8.4;7;1.2;4.8;4;0;0;0;1;4;0;0;1;0;2;0;0;0;no corresponde;0;no corresponde;95%
5163;25;0.3;47.2;8.5;23.9;0.4;5.4;6;0;8;0;1;0;0;0;0;0;3;0;1;0;no corresponde;0;no corresponde;84%
5315;17.9;0;27.7;9.9;0;0;5.7;8;0;7;0;3;2;0;0;1;0;0;0;0;0;no corresponde;0;no corresponde;92%
5517;26.6;0;27.2;11.1;8.5;1.2;5.2;5;0;3;0;0;8;1;2;1;0;4;0;0;0;no corresponde;2;no corresponde;88%
5810;21.6;0;20.3;7;6;0.2;5.6;7;0;7;0;1;0;0;0;3;0;6;0;0;0;no corresponde;0;no corresponde;84%
6012;23.6;0;30.4;9.7;8.3;0.7;5.5;8;0;6;0;4;3;0;0;0;0;4;0;0;0;no corresponde;0;no corresponde;91%
