id_institucion;Direccion ;Departamento ;localidad;nivel
62;SEDE SECUNDARIA CANELONES - BATLLE Y ORDOÑEZ 669;Canelones;Canelones;Ambulatorio
62;SEDE SECUNDARIA LAS PIEDRAS - LAVALLEJA 655;Canelones;Las Piedras;Ambulatorio
62;MONTEVIDEO - ZONA JOVEN - AVENIDA RIVERA 2407;Montevideo;Montevideo;Ambulatorio
62;SEDE SECUNDARIA PANDO - ITURRIA S/N;Canelones;Pando;Ambulatorio
62;MONTEVIDEO - ANA MONTERROSO LAVALLEJA 2268;Montevideo;Montevideo;Ambulatorio
62;SANATORIO ENRIQUE CABAL;Montevideo;Montevideo;Ambulatorio
62;SERVICIO AMBULATORIO - BULEVAR ARTIGAS 1492;Montevideo;Montevideo;Ambulatorio
62;SERVICIO AMBULATORIO CARDIOLOGIA;Montevideo;Montevideo;Ambulatorio
62;SANATORIO ENRIQUE CABAL;Montevideo;Montevideo;Ambulatorio
62;SANATORIO ENRIQUE CABAL;Montevideo;Montevideo;Ambulatorio
62;POLICLINICA BELVEDERE - PEDRO VISCA 4223;Montevideo;Montevideo;Ambulatorio
62;SEDE SECUNDARIA SALINAS - PINAMAR - RUTA INTERBALNEARIA KM 37;Canelones;Salinas;Ambulatorio
62;POLICLINICA UNION - ENRIQUE CLAY 2646;Montevideo;Montevideo;Ambulatorio
62;POLICLINICA CERRO - GRECIA 3865;Montevideo;Montevideo;Ambulatorio
62;POLICLINICA DEL ADOLESCENTE;Montevideo;Montevideo;Ambulatorio
62;POLICLINICA PASO DE LA ARENA - LUIS BATLLE BERRES 6665;Montevideo;Montevideo;Ambulatorio
62;SANATORIO ENRIQUE CABAL;Montevideo;Montevideo;Ambulatorio
62;MONTEVIDEO - BULEVAR ARTIGAS 1515 ;Montevideo;Montevideo;Ambulatorio
62;CLINICA LAS TORRES - LUIS ALBERTO DE HERRERA 1223;Montevideo;Montevideo;Ambulatorio
62;POLICLINICA MAROÑAS - AVENIDA GENERAL FLORES 4944;Montevideo;Montevideo;Ambulatorio
62;POLICLINICA ATLANTIDA - RAMBLA COSTANERA Y GENERAL ARTIGAS;Canelones;Atlántida;Ambulatorio
62;SEDE SECUNDARIA CIUDAD DE LA COSTA - AVENIDA GIANNATTASIO KM 22,500;Canelones;Solymar;Ambulatorio
62;SANATORIO OSCAR MAGURNO SOUTO;Montevideo;Montevideo;Ambulatorio
62;POLICLINICA AGUADA - YI 1775;Montevideo;Montevideo;Ambulatorio
62;SERVICIO AMBULATORIO - CASSINONI IV - MARIO CASSINONI 1444;Montevideo;Montevideo;Ambulatorio
62;SERVICIO AMBULATORIO - BULEVAR ARTIGAS 1492;Montevideo;Montevideo;Ambulatorio
62;MONTEVIDEO - BULEVAR ARTIGAS 1436;Montevideo;Montevideo;Ambulatorio
62;SANATORIO ENRIQUE CABAL;Montevideo;Montevideo;Ambulatorio
62;SERVICIO AMBULATORIO - CASSINONI V - MARIO CASSINONI 1420;Montevideo;Montevideo;Ambulatorio
62;EDIFICIO ROMULO ARDAO - BULEVAR ARTIGAS 1525;Montevideo;Montevideo;Ambulatorio
62;MONTEVIDEO - AVENIDA RIVERA 2309;Montevideo;Montevideo;Ambulatorio
62;CLINICA ARTIGAS - BULEVAR ARTIGAS 1550;Montevideo;Montevideo;Ambulatorio
62;POLICLINICA BARROS BLANCOS;Canelones;Barros Blancos;Ambulatorio
62;CLINICA PUNTA GORDA - AVENIDA GENERAL PAZ 1429;Montevideo;Montevideo;Ambulatorio
62;POLICLINICA PIRIAPOLIS - AVENIDA GENERAL ARTIGAS ESQ. NIZA;Maldonado;Piriápolis;Ambulatorio
62;CLINICA DEL PRADO - 19 DE ABRIL 3322;Montevideo;Montevideo;Ambulatorio
62;SEDE SECUNDARIA PUNTA DEL ESTE - FRANKLIN D ROOSEVELT ESQ SIMON BOLIVAR;Maldonado;Punta del Este;Ambulatorio
62;POLICLINICA PASO CARRACO - AVENIDA WILSON FERREIRA ALDUNATE 1337;Canelones;Paso de Carrasco;Ambulatorio
62;CLINICA ROMULO ARDAO - PAYSANDU 1094;Montevideo;Montevideo;Ambulatorio
62;CLINICA CONVENIO BHU-ANV;Montevideo;Montevideo;Ambulatorio
62;ANEXO SERVICIO DE ODONTOLOGIA - AVENIDA DEL LIBERTADOR 1541;Montevideo;Montevideo;Ambulatorio
62;POLICLÍNICA COLÓN - AVENIDA EUGENIO GARZON 2003;Montevideo;Montevideo;Ambulatorio
62;MONTEVIDEO - BULEVAR ARTIGAS 1507;Montevideo;Montevideo;Ambulatorio
62;MONTEVIDEO - NUEVO CENTRO - LUIS ALBERTO DE HERRERA 3365 ;Montevideo;Montevideo;Ambulatorio
62;CLINICA PUNTA CARRETAS - ELLAURI 338-350;Montevideo;Montevideo;Ambulatorio
62;MONTEVIDEO - RIVERA 2317;Montevideo;Montevideo;Ambulatorio
62;MONTEVIDEO - POLICLINICO CENTRO - COLONIA 1329;Montevideo;Montevideo;Ambulatorio
62;MONTEVIDEO - BULEVAR ARTIGAS 1490;Montevideo;Montevideo;Ambulatorio
62;SEDE SECUNDARIA PLAYA PASCUAL - RIO DE LA PLATA S/N;San José;Playa Pascual;Ambulatorio
62;SEDE SECUNDARIA EMPAÑME OLMOS - ARTURO MARQUEZ LARRAZ S/N Y GREGORIO GIACOSA;Canelones;Empalme Olmos;Ambulatorio
264;MONTEVIDEO - SEDE PRINCIPAL - BULEVAR JOSE BATLLE Y ORDOÑEZ 2759;Montevideo;Montevideo;Ambulatorio
264;MONTEVIDEO - MATEO VIDAL 3380;Montevideo;Montevideo;Ambulatorio
264;SEDE SECUNDARIA NUEVA HELVECIA - ARTIGAS 1055;Colonia;Nueva Helvecia;Ambulatorio
264;Sede Secundaria Tarariras - Lavalleja 1999;Colonia;Tarariras;Ambulatorio
264;SEDE SECUNDARIA YOUNG - MONTEVIDEO 3533;Río Negro;Young;Ambulatorio
264;Sede Secundaria Ecilda Paullier - Avenida Artigas s/n;San José;Ecilda Paullier;Ambulatorio
264;SEDE SECUNDARIA COLONIA - DANIEL FOSALBA 366;Colonia;Colonia del Sacramento;Ambulatorio
264;SEDE SECUNDARIA COLONIA MIGUELETE - JOSE ARTIGAS S/N;Colonia;Miguelete;Ambulatorio
264;SEDE SECUNDARIA COLONIA VALDENSE - 17 DE FEBRERO 1080;Colonia;Colonia Valdense;Ambulatorio
264;Sede Secundaria Ombues de Lavalle - Pablo Davyd s/n;Colonia;Ombúes de Lavalle;Ambulatorio
264;SEDE SECUNDARIA DOLORES - ARTIGAS 1269;Soriano;Dolores;Ambulatorio
264;SEDE SECUNDARIA CARMELO - LAVALLEJA 344;Colonia;Carmelo;Ambulatorio
264;Montevideo - Colonia 1870;Montevideo;Montevideo;Ambulatorio
264;MONTEVIDEO - CENTRO DE MEDICINA FAMILIAR ALDO TOSI - CARLOS MARIA RAMIREZ 420;Montevideo;Montevideo;Ambulatorio
264;MONTEVIDEO - POLICLINICA DELMA OREIRO - GENERAL FLORES 4594;Montevideo;Montevideo;Ambulatorio
264;Sede Secundaria Ciudad del Plata - Ruta 1 vieja Km 31500;San José;Ciudad del Plata;Ambulatorio
264;Sede Secundaria Cerro Colorado - Jose Enrique Rodo s/n;Florida;Cerro Colorado;Ambulatorio
264;SEDE SECUNDARIA EL DORADO - EX RUTA 5 KM 24500;Canelones;Progreso;Ambulatorio
264;SEDE SECUNDARIA NUEVA PALMIRA - JOSE LAGUNA 879;Colonia;Nueva Palmira;Ambulatorio
264;SEDE CIUDAD DE LA COSTA- AVENIDA ALVEAR MANZANA 16 SOLAR 6;Canelones;San José de Carrasco;Ambulatorio
264;DOLORES - CENTRO MEDICO DOLORES - Carlos Puig s/n;Soriano;Dolores;Ambulatorio
264;MONTEVIDEO - CENTRO DE MEDICINA FAMILIAR- CARLOS ROXLO 1332;Montevideo;Montevideo;Ambulatorio
264;LA PAZ - AVENIDA ARTIGAS 265;Canelones;La Paz;Ambulatorio
264;LAS PIEDRAS - BATLLE Y ORDOÑEZ 583;Canelones;Las Piedras;Ambulatorio
264;SEDE SECUNDARIA ROSARIO - RINCON 291;Colonia;Rosario;Ambulatorio
264;SEDE SECUNDARIA COLECTIVA TOLEDO;Canelones;Toledo;Ambulatorio
264;SEDE SECUNDARIA COLECTIVA SALINAS - RUTA INTERBALNEARIA KM. 38200;Canelones;Salinas;Ambulatorio
264;SEDE SECUNDARIA COLECTIVA BARROS BLANCOS - RUTA 8 KM 25100;Canelones;Barros Blancos;Ambulatorio
264;COLONIA - CENTRO MEDICO COLONIA - BALTASAR BRUM 703;Colonia;Colonia del Sacramento;Ambulatorio
264;MONTEVIDEO - CENTRO MEDICO PEDIATRICO - ASILO 3361;Montevideo;Montevideo;Ambulatorio
567;MONTEVIDEO - POLICLINICA PARQUE POSADAS - PASCUAL COSTA 3879 LOCAL 105;Montevideo;Montevideo;Ambulatorio
567;MONTEVIDEO - SANATORIO SOCIAL - AVENIDA MILLAN 4480;Montevideo;Montevideo;Ambulatorio
567;MONTEVIDEO - LOCAL CENTRAL - COLONIA 1474;Montevideo;Montevideo;Ambulatorio
567;MONTEVIDEO - POLICLINICA JOSE MARIA BARREIRO - GRECIA 4277;Montevideo;Montevideo;Ambulatorio
567;MONTEVIDEO - POLICLINICA LA CORUÑA - AVENIDA 8 DE OCTUBRE 4482;Montevideo;Montevideo;Ambulatorio
567;LAGOMAR - POLICLINICA PONTEVEDRA - AVENIDA GIANNATASSIO MANZANA 34 SOLAR 9;Canelones;Lagomar;Ambulatorio
567;LAS PIEDRAS - POLICLINICA ORENSE - DOCTOR POUEY;Canelones;Las Piedras;Ambulatorio
567;MONTEVIDEO - POLICLINICA LUGO - AVENIDA BOLIVIA Y AVENIDA ITALIA;Montevideo;Montevideo;Ambulatorio
567;MONTEVIDEO - POLICLINICA SANTIAGO DE COMPOSTELA - AVENIDA MILLAN 3402;Montevideo;Montevideo;Ambulatorio
567;SEDE SECUNDARIA COLECTIVA TOLEDO - RUTA 6 KM 23;Canelones;Toledo;Ambulatorio
567;SEDE SECUNDARIA SALINAS - RUTA INTERBALNEARIA KM. 38200;Canelones;Salinas;Ambulatorio
567;SEDE SECUNDARIA COLECTIVA BARROS BLANCOS - RUTA 8 KM 25100;Canelones;Barros Blancos;Ambulatorio
769;MONTEVIDEO - POLICLINICA CENTRAL - AVENIDA 8 DE OCTUBRE 3300;Montevideo;Montevideo;Ambulatorio
769;MONTEVIDEO -ASILO 3336;Montevideo;Montevideo;Ambulatorio
769;MONTEVIDEO - AVENIDA AGRACIADA 3691;Montevideo;Montevideo;Ambulatorio
769;PASO DE LA ARENA - CAMINO TOMKINSON 2456;Montevideo;Montevideo;Ambulatorio
769;Montevideo - Piedras Blancas - Jose Belloni 4935;Montevideo;Montevideo;Ambulatorio
769;Montevideo - La Teja - Carlos María Ramirez 553;Montevideo;Montevideo;Ambulatorio
769;Montevideo - Cerro - Grecia 4268;Montevideo;Montevideo;Ambulatorio
769;Montevideo - Malvin Sur - Verdi 4820;Montevideo;Montevideo;Ambulatorio
769;Montevideo - Malvin Norte - Camino Carrasco 4641;Montevideo;Montevideo;Ambulatorio
769;Montevideo - Portones - Avenida Bolivia 2345;Montevideo;Montevideo;Ambulatorio
769;Montevideo - Parque Batlle - Cataluña 3140;Montevideo;Montevideo;Ambulatorio
769;Montevideo - Paso Carrasco - Camino Carrasco 8054;Canelones;Paso de Carrasco;Ambulatorio
769;Sede Secundaria Barros Blancos Ruta 8 Km 24500;Canelones;Barros Blancos;Ambulatorio
769;Sede Secundaria Pando - Ruta Independencia 964;Canelones;Pando;Ambulatorio
769;Sede Secundaria San Luis - Carusso s/n;Canelones;San Luis;Ambulatorio
769;Sede Secundaria Atlantida - Roger Ballet s/n;Canelones;Atlántida;Ambulatorio
769;Sede Secundaria Salinas - Ruta Interbalnearia Km 37500;Canelones;Salinas;Ambulatorio
