ID;INSTITUCIÓN;VÍAS DE ASIGNACIÓN DE CITAS ;REALIZA RECORDATORIO DE CITA;REALIZA CAÍDA DE RESERVA DETERMINADO TIEMPO ANTES/DESPUÉS DEL INICIO DE LA CONSULTA SI ESTA NO ES CONFIRMADA;COMUNICACIÓN CON EL USUARIO POR SUSPENSIÓN O MODIFICACIÓN DE LA CONSULTA
62;A. ESPAÑOLA;Presencial, telefónica y web;Si, por correo electrónico;No;Si, telefónica
264;H. EVANGÉLICO;Presencial y telefónica;Si, por SMS;Si, 24 hs. antes;Si, telefónica
567;CASA DE GALICIA;Presencial, telefónica y solicitud de reserva vía formulario web;Si, por SMS y whatsApp;No;Si, telefónica, por SMS y whatsApp
769;CASMU;Presencial, telefónica, web, App Movil y médico en la consulta;Si, por SMS, mail y App móvil;No;Si, telefónica, por App móvil, sms, correo electrónico
1062;CCOU;Presencial, telefónica y web;Si, por SMS;Si, 30 minutos después de iniciada la consulta ;Si, telefónica y por SMS
1163;CUDAM;Presencial , telefónica  y App;Si, por SMS y App;No;Si, telefónica y App
1210;COSEM;Presencial (médico y operador), telefónica, correo electrónico, web y App;Si, por SMS (2 por cada consulta) y correo electrónico;No;Si, telefónica y por SMS
2315;GREMCA;Presencial y telefónica;No;No;Si, telefónica
3567;MUCAM;Presencial, telefónica ;Si, por llamada telefónica y SMS;Si, 30 minutos después de iniciada la consulta ;Si, telefónica
4315;SMI;Presencial, telefónica y vía web;Si, se avisa vía mail;Sí, sino se levantan hasta el comienzo de la consulta se adjudica a otro socio.;Si, por SMS
4810;UNIVERSAL;Presencial, telefónica, vía Web y app;Si;Si, 30 minutos después de iniciada la consulta ;Si, telefónica ,vía Web y correo electrónico
5012;GREMEDA;Presencial y telefónica;No (sólo se recuerda antes que caiga la reserva);Si, 24 hs. antes;Si, telefónica y por SMS
5163;CAAMEPA;Presencial y telefónica;Si, por SMS;No;Si, telefónica
5315;CRAMI;Presencial y telefónica;Si, por SMS y llamada telefónica;Si, A) Previo a la consulta: 72 horas hábiles antes de ésta si aún no retiró la orden reservada. B) Durante la consulta: tiene tiempo para anunciar la llegada del paciente hasta 30 minutos después del inicio de la consulta, de lo contrario cae la orden.;Si, mediante llamada telefónica
5517;COMECA;Presencial, telefónica, web y App;Si, por SMS en caso de reserva presencial o telefónica;Si, 48 hs. antes. Excepto población mayor de 74 años y estudios complejos.;Si, telefónica o SMS
5810;CAMCEL;Presencial ,telefónica y por sistema de autogestión;Si, cuando cambia la fecha de la consulta y cuando no levanta la reserva en tiempo y forma.;Si, 48 hs. antes;Si, telefónica y por SMS
6012;CAMEC;Presencial,  telefónica y on line;Si, por SMS;Si, 48 hs. antes;Si, telefónica
6062;CAMOC;Presencial y telefónica ;Si, 48 hs. antes se envía SMS con opción de respuesta;Si, 48 hs. antes;Si, telefónica y por SMS
6416;CAMEDUR;Presencial y telefónica;Si, por SMS;Si, 24 hs. antes;Si, telefónica y por SMS
6517;COMEFLO;Presencial y telefónica;Si, para especialidades con alta demanda;Si, 48 hs. antes;Si, telefónica
6618;COMEF;Presencial y telefónica;Si, por SMS;Si, 48 hs. antes;Si, telefónica
6769;CAMDEL;Presencial, telefónica, WhatsApp y APP propietaria;No;Si, 48 hs. antes. Excepto población de zona rural;Si, telefónica
6860;AMDM-IAMPP ;Presencial, telefónica y App Movil;Solo en algunas especialidades;Si, 48 hs. antes;Si, telefónica
6985;CRAME;Presencial, telefónica, App Movil y web;Si, por SMS;Si, 72 hs. antes;Si, telefónica
7062;COMEPA;Presencial y telefónica;Si, por SMS;Si, 48 hs. antes;Si, telefónica
7214;AMEDRIN;Presencial y telefónica;Si, por SMS;Si, 48 hs. antes;Si, telefónica y por SMS
7264;CAMY;Presencial y telefónica;Si, por SMS;Si, 48 hs. antes. Excepto población de zona rural;Si, telefónica
7466;CASMER;Presencial y telefónica;Si, por SMS y llamada telefónica;Si, 48 hs. antes;Si, telefónica y por SMS
7553;COMERI;Presencial y telefónica;No;Si, 24 hs. antes;Si, telefónica y por SMS
7618;COMERO;Presencial y telefónica;Si, por SMS y correo electrónico;"Si, para los afiliados con categoría ""no cumplidores"" que no confirmaron asistencia con la emisión de la orden correspondiente";Si, telefónica
7719;SMQS;Presencial, telefónica y web;Si, por SMS;Si, 48 hs. antes;Si, por SMS
7810;AMSJ;Presencial, telefónica y web;Si, por SMS y por mail;Si, 72 hs. antes;Si, por SMS y por mail
8012;CAMS;Presencial y telefónica;Si, por SMS ;Si, 48 hs. antes;Si, telefónica
8163;COMTA;Presencial, telefónica y web;No;Si, 48 hs. antes;Si, telefónica
8220;COMETT;Presencial y telefónica;No;No;Si, telefónica
8264;IAC;Presencial y telefónica;No;No;Si, telefónica
9000;ASSE ;Presencial y telefónica;Realizando prueba piloto con SMS;No en forma sistemática;Si, telefónica
9502;SUMMUM;Presencial, telefónica, web y app;Si, por SMS;No;Si, telefónica
9508;MP;Presencial, telefónica y web;Si, por SMS;No;Si, telefónica
9516;BLUE CROSS;Presencial, telefónica y web;Si, por SMS y App;No;Si, telefónica, por SMS y App
9518;SEGURO AMERICANO;Presencial, telefónica, web, app/mobile, correo electrónico;Si, vía Whatsapp;No;Si, telefónica
9526;MEDICARE;Presencial, telefónica y web;Si, por SMS y llamada telefónica;No;Si
9532;H. BRITÁNICO;Presencial, telefónica , web y APP;Si, por SMS y correo electrónico;No;Si, telefónica
