id_ institucion;Captación RN;Control de desarrollo 18 meses;Control de desarrollo 4 años;Control de desarrollo 4 meses;Tamizaje de cáncer colorrectal;Tamizaje de cáncer de cuello de útero;Tamizaje de cáncer de mama;Tasa de Cesárea
62;99.71;98.61;97.24;98.6;17.74;60,55 *;46.52;58.36
264;100;96.2;92.92;96.91;22.83;70.93;38,1*;73.06
769;100;92.84;90.81;95.44;29.18;56,91*;40.2;62.84
1062;100;100;97.48;100;27.93;67.97;41,35*;53.30
1163;97.52;95.88;97.34;98.62;24.6;56.65;28,47*;52.66
1210;100;99.66;94.5;98.41;19.76;67,37*;57.35;72.91
2315;100;98.85;100;100;25.64;47,21*;21.39;57.82
3567;100;96.83;91.16;96.72;29.07;63.57;28,92*;60.98
4315;100;95.85;95.42;100;33.51;67.61;33,98*;49.63
4810;100;98.24;94.08;100;15.53;38.91;37,39*;63.84
5012;97.47;95.61;96.04;100;38.3;48,26*;36.44;65.65
5163;100;96.49;95.49;96.97;23.92;34,41*;47.55;64.62
5315;100;94.44;94.22;97.56;42.95;66.85;27,25*;57.40
5517;100;100;100;100;44.52;80.66;35,3*;50.48
5810;100;99.38;98.46;100;40.46;47,99*;37.42;67.74
6012;100;99.29;100;100;44.75;67,63*;44.49;40.66
6062;100;100;97.7;100;43.44;70.52;43,01*;49.08
6416;100;100;100;100;38.09;71.12;37,37*;51.10
6517;100;97.06;100;96.55;28.99;69.55;35,11*;60.22
6618;100;98.68;100;100;44.5;77.2;39,29*;58.94
6769;100;100;100;100;40.05;78.66;44,58*;57.75
6860;100;100;96.5;100;58.64;70.95;48,57*;57.16
6985;100;100;99.52;100;22.56;68,69*;41.55;53.66
7062;100;98.7;95.29;100;34.97;60.59;37,02*;48.39
7214;93.1;50;20.59;93.75;22.5;53.8;13,34*;64.52
7264;100;90.48;87.1;100;35.56;62.13;31,88*;32.14
7466;100;99.3;98.56;99.27;43.41;57.15;37,24*;51.00
7553;100;100;97.27;98.81;27.79;38,98*;36.22;57.45
7618;100;99.14;98.88;99.3;25.88;65.49;33,21*;51.93
7719;100;97.54;95.81;95.73;39.03;58.75;27,47*;54.83
7810;97.62;96.77;91.11;96.1;27.1;25,6*;28.54;51.50
8012;100;98.51;100;100;27.42;60.34;26,8*;46.72
8163;100;95.79;96.83;98.89;24.95;55,87*;39.47;s/d
8264;100;100;93.85;100;35.1;53.15;18,51*;s/d
9000;74.42;s/d;s/d;s/d;0.12;3.87;s/d*;39.41
9502;96.4;97.35;99.09;98.35;36.14;75,77*;74,19*;56.91
9508;100;50;0;0;21.3;77*;69.72;62.78
9516;100;0;0;0;3.32;51,07*;9.46;59.82
9518;100;100;0;52;16.45;78.47;56,13*;61.27
9526;100;100;27.27;42.86;22.22;58.41;42,65*;71.43
9532;97.59;64.29;28.37;68.15;15.4;66,4*;13.84;53.74
