1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA
62;360;360;166;166;151;151;0;0;151;151;156;156;380;380;880;880;723;723;880;880;723;723;151;151;1,010;1,010;897;897;1,010;1,010;624;624;624;624;624;624;1,010;1,010;1,010;1,010
264;312;312;167;167;152;152;152;152;152;152;157;157;343;343;445;445;624;624;714;714;445;445;152;152;822;822;802;802;1,010;1,010;580;580;580;580;580;580;1,010;1,010;1,010;1,010
769;369;369;156;156;152;152;152;152;152;152;157;157;398;398;650;650;650;650;866;866;650;650;152;152;921;921;692;692;1,010;1,010;692;692;692;692;921;921;1,010;1,010;1,010;1,010
1062;168;303;166;166;0;153;0;0;0;153;0;157;0;451;558;558;636;636;828;828;0;0;0;153;882;882;882;882;1,010;1,010;581;581;130;581;581;581;1,010;1,010;1,010;1,010
1163;244;261;150;150;0;135;0;0;0;135;0;135;0;267;0;0;0;390;0;528;0;0;135;135;784;784;542;542;386;386;344;344;344;344;344;344;1,010;1,010;1,010;1,010
1210;356;356;167;167;152;152;152;152;152;152;157;157;460;460;213;213;520;520;618;618;705;705;0;0;1,010;1,010;581;581;1,010;1,010;553;553;553;553;1,010;1,010;1,010;1,010;1,010;1,010
2315;117;288;164;164;141;141;0;0;141;141;141;141;387;387;387;387;559;559;760;760;387;387;104;104;777;777;777;777;777;777;777;777;392;392;392;392;1,010;1,010;758;758
3567;345;345;166;166;0;153;0;0;0;153;0;153;0;468;0;628;0;690;0;880;0;667;0;153;130;1,010;130;375;130;1,010;130;619;130;619;130;619;130;1,010;130;1,010
4315;344;344;167;167;164;164;0;0;155;155;155;155;347;347;519;519;475;475;705;705;475;475;152;152;680;680;587;587;680;680;481;481;481;481;481;481;1,010;1,010;1,010;1,010
4810;163;291;153;153;76;152;0;0;72;144;72;144;105;211;188;377;258;516;363;714;105;211;76;152;307;485;307;485;487;832;307;485;302;475;454;779;454;779;454;779
5012;283;283;153;167;144;144;144;144;150;150;152;152;181;181;330;330;479;479;870;870;446;446;144;144;561;561;285;285;285;285;285;285;285;285;322;322;1,010;1,010;677;677
5163;243;243;154;154;151;151;0;0;151;151;151;151;426;426;427;427;573;573;880;880;763;763;151;151;674;674;512;512;1,010;1,010;512;512;512;512;1,010;1,010;1,010;1,010;1,010;1,010
5315;276;276;154;154;148;148;148;148;148;148;157;157;334;334;524;524;716;716;880;880;764;764;148;148;1,010;1,010;530;530;1,010;1,010;267;267;267;267;894;894;1,010;1,010;1,010;1,010
5517;269;269;163;163;151;151;151;151;151;151;157;157;253;253;433;433;522;522;837;837;447;447;150;150;1,010;1,010;496;496;1,010;1,010;330;330;330;330;496;496;1,010;1,010;1,010;1,010
5810;271;271;154;154;150;150;150;150;150;150;157;157;474;474;433;433;465;465;706;706;467;467;0;0;500;500;500;500;500;500;440;440;440;440;440;440;630;630;1,010;1,010
6012;271;271;166;166;150;150;150;150;150;150;155;155;346;346;446;446;544;544;843;843;176;176;150;150;919;919;633;633;633;633;633;633;307;307;386;386;1,010;1,010;1,003;1,003
6062;230;230;167;167;153;153;153;153;153;153;153;153;284;284;377;377;399;399;835;835;557;557;153;153;416;416;416;416;416;416;416;416;416;416;416;416;416;416;416;416
6416;244;244;137;137;132;132;41;41;0;0;132;132;198;198;207;207;207;207;249;249;387;387;0;0;364;370;331;331;552;559;331;323;323;323;323;323;630;630;630;630
6517;239;239;159;159;150;150;150;150;150;150;150;150;189;189;302;302;321;321;377;377;299;299;150;150;451;451;247;247;247;247;310;310;247;247;247;247;630;630;630;630
6618;238;238;167;167;150;150;144;144;144;144;144;144;181;181;374;374;354;354;650;650;504;504;144;144;443;443;443;443;443;443;284;284;315;315;315;315;1,010;1,010;904;904
6769;260;260;148;148;150;150;41;41;150;150;150;150;178;178;267;267;413;413;420;420;493;493;150;150;371;371;309;309;309;309;313;313;313;313;313;313;630;630;730;730
6860;290;290;166;166;151;151;151;151;151;151;151;151;404;404;639;639;652;652;782;782;836;836;151;151;392;392;563;563;563;563;392;392;307;307;388;388;1,010;1,010;630;630
6985;249;249;147;147;155;155;155;155;155;155;155;155;315;315;476;476;476;476;643;643;675;675;0;0;699;699;507;507;835;835;507;507;507;507;386;386;1,010;1,010;699;699
7062;280;280;166;166;145;145;41;41;0;0;157;157;267;267;321;321;439;439;652;652;298;298;145;145;815;815;474;474;559;559;394;394;394;394;394;394;1,010;1,010;977;977
7214;273;273;159;159;146;146;146;146;146;146;146;146;393;393;230;230;392;392;445;445;484;484;146;146;734;734;533;533;862;862;633;633;633;633;862;862;1,010;1,010;971;971
7264;218;218;35;35;153;153;81;81;81;81;81;81;245;245;299;299;421;421;810;810;472;472;0;0;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130
7466;297;297;156;156;0;153;0;0;0;153;0;153;0;292;0;452;526;526;795;795;526;526;153;153;696;696;356;356;809;809;235;235;235;235;235;235;696;696;696;696
