provider;total;MG;MFYC;Pediatría;Gine;Psiq A;Psiq P;MIA;MIP;NEO
AMDM;5.58;1.58;0.00;3.43;0.47;0.35;0.00;Si;Si;Si
AMEDRIN;4.71;0.96;0.00;3.32;0.00;0.00;0.00;No;No;No
AMSJ;6.14;0.49;0.00;1.05;0.00;0.25;0.00;Si;No;Si
ASOCIACION ESPAÑOLA;5.89;1.68;0.00;7.22;0.00;0.06;0.00;Si;Si;Si
CAAMEPA;6.14;4.00;0.00;11.58;0.00;0.00;0.00;Si;No;No
CAMCEL;5.03;1.53;0.23;5.24;0.00;0.88;0.00;No;No;No
CAMDEL;5.95;2.01;0.00;1.51;1.61;0.40;0.00;Si;No;No
CAMEC;5.82;2.32;0.00;8.20;0.00;0.20;0.00;Si;No;No
CAMEDUR;3.67;0.75;0.00;0.00;0.75;0.00;0.00;Si;No;No
CAMOC;2.49;0.00;0.00;1.97;0.00;0.14;0.00;No;No;No
CAMS;6.27;3.12;0.00;3.47;0.00;0.59;0.00;Si;No;No
CAMY;6.35;3.17;1.27;0.00;3.59;0.00;0.00;No;No;No
CASMER;5.83;2.67;0.00;3.87;2.92;0.33;0.00;No;No;No
CASMU;6.61;0.67;0.56;8.55;0.00;0.25;0.53;Si;No;Si
CIRCULO CATOLICO;5.95;1.67;0.00;6.24;0.00;0.55;0.00;Si;Si;Si
COMECA;5.92;1.64;0.00;3.71;0.46;0.23;0.00;Si;Si;Si
COMEF;6.17;2.00;0.00;11.12;0.00;0.00;0.00;Si;No;No
COMEFLO;1.46;0.88;0.00;4.19;0.00;0.00;0.00;No;No;No
COMEPA;6.36;1.04;0.60;7.29;1.96;0.25;0.00;No;No;No
COMERI;1.34;0.58;0.00;1.92;0.00;0.00;0.00;No;No;No
COMERO;6.35;2.02;0.00;3.65;0.00;0.43;0.00;Si;No;No
COMTA;6.04;1.38;0.00;6.44;0.72;0.00;0.00;Si;No;No
COSEM;6.69;1.56;0.07;5.19;0.00;0.69;1.15;No;No;No
CRAME;5.98;0.96;0.00;9.05;0.00;0.45;1.01;Si;No;No
CRAMI;2.95;1.19;0.00;4.99;0.00;0.17;0.00;Si;No;No
CUDAM;5.98;4.02;0.00;4.89;0.58;0.00;0.00;Si;No;Si
GREMCA;5.80;3.30;0.00;14.25;0.00;0.00;0.00;No;No;No
GREMEDA;5.45;1.92;0.00;0.00;0.00;0.48;0.00;Si;No;No
HOSPITAL EVANGELICO;6.12;1.39;0.21;6.65;0.36;0.25;0.95;Si;Si;Si
IAC;5.21;0.00;0.37;2.85;1.26;0.60;0.00;Si;No;No
MEDICA URUGUAYA;5.84;1.95;0.00;5.51;0.00;0.12;0.77;Si;Si;Si
SMI;5.31;2.53;0.00;7.84;0.00;0.17;0.00;No;Si;No
SMQS;4.72;0.96;0.00;3.79;1.14;0.58;0.00;Si;No;No
UNIVERSAL;6.28;2.38;0.16;6.76;0.38;0.89;0.19;No;No;No
ASSE;2.90;0.15;0.20;2.39;0.19;0.24;0.05;Si;Si;Si
