provider;state;specialty;indicator_value
AMDM;MALDONADO;DOCTOR EN MEDICINA;3.78
AMDM;MALDONADO;DOCTOR EN ODONTOLOGIA;0.07
AMDM;MALDONADO;ESPECIALISTA EN ANESTESIOLOGIA;0.43
AMDM;MALDONADO;ESPECIALISTA EN CARDIOLOGIA;0.37
AMDM;MALDONADO;ESPECIALISTA EN CIRUGIA GENERAL;0.63
AMDM;MALDONADO;ESPECIALISTA EN CIRUGIA INFANTIL O PEDIATRICA;0.16
AMDM;MALDONADO;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.03
AMDM;MALDONADO;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.11
AMDM;MALDONADO;ESPECIALISTA EN DIABETOLOGIA;0.03
AMDM;MALDONADO;ESPECIALISTA EN ENDOCRINOLOGIA;0.22
AMDM;MALDONADO;ESPECIALISTA EN ENFERMEDADES INFECCIOSAS;0.01
AMDM;MALDONADO;ESPECIALISTA EN FISIATRIA;0.14
AMDM;MALDONADO;ESPECIALISTA EN GASTROENTEROLOGIA;0.23
AMDM;MALDONADO;ESPECIALISTA EN GINECOTOCOLOGIA;1.12
AMDM;MALDONADO;ESPECIALISTA EN HEMATOLOGIA;0.13
AMDM;MALDONADO;ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA;0.04
AMDM;MALDONADO;ESPECIALISTA EN MEDICINA INTENSIVA;0.80
AMDM;MALDONADO;ESPECIALISTA EN MEDICINA INTENSIVA PEDIÁTRICA;1.59
AMDM;MALDONADO;ESPECIALISTA EN MEDICINA INTERNA;0.56
AMDM;MALDONADO;ESPECIALISTA EN NEFROLOGIA;0.11
AMDM;MALDONADO;ESPECIALISTA EN NEFROLOGIA PEDIATRICA;0.45
AMDM;MALDONADO;ESPECIALISTA EN NEONATOLOGIA;124.87
AMDM;MALDONADO;ESPECIALISTA EN NEUMOLOGIA;0.02
AMDM;MALDONADO;ESPECIALISTA EN NEUROLOGIA;0.22
AMDM;MALDONADO;ESPECIALISTA EN OFTALMOLOGIA;0.27
AMDM;MALDONADO;ESPECIALISTA EN ONCOLOGIA MEDICA;0.13
AMDM;MALDONADO;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.22
AMDM;MALDONADO;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.10
