provider;state;indicator;indicator_value
COMEF IAMPP;MONTEVIDEO;MG;0.00
COMEF IAMPP;MONTEVIDEO;MFYC;0.00
COMEF IAMPP;MONTEVIDEO;Pediatría;0.00
COMEF IAMPP;MONTEVIDEO;Gine;0.00
COMEF IAMPP;MONTEVIDEO;AE;0.00
COMEF IAMPP;MONTEVIDEO;LE;0.00
COMEF IAMPP;ARTIGAS;MG;0.00
COMEF IAMPP;ARTIGAS;MFYC;0.00
COMEF IAMPP;ARTIGAS;Pediatría;0.00
COMEF IAMPP;ARTIGAS;Gine;0.00
COMEF IAMPP;ARTIGAS;AE;0.00
COMEF IAMPP;ARTIGAS;LE;0.00
COMEF IAMPP;CANELONES;MG;0.00
COMEF IAMPP;CANELONES;MFYC;0.00
COMEF IAMPP;CANELONES;Pediatría;0.00
COMEF IAMPP;CANELONES;Gine;0.00
COMEF IAMPP;CANELONES;AE;0.00
COMEF IAMPP;CANELONES;LE;0.00
COMEF IAMPP;CERRO LARGO;MG;0.00
COMEF IAMPP;CERRO LARGO;MFYC;0.00
COMEF IAMPP;CERRO LARGO;Pediatría;0.00
COMEF IAMPP;CERRO LARGO;Gine;0.00
COMEF IAMPP;CERRO LARGO;AE;0.00
COMEF IAMPP;CERRO LARGO;LE;0.00
COMEF IAMPP;COLONIA;MG;0.00
COMEF IAMPP;COLONIA;MFYC;0.00
COMEF IAMPP;COLONIA;Pediatría;0.00
COMEF IAMPP;COLONIA;Gine;0.00
COMEF IAMPP;COLONIA;AE;0.00
COMEF IAMPP;COLONIA;LE;0.00
COMEF IAMPP;DURAZNO;MG;0.00
COMEF IAMPP;DURAZNO;MFYC;0.00
COMEF IAMPP;DURAZNO;Pediatría;0.00
COMEF IAMPP;DURAZNO;Gine;0.00
COMEF IAMPP;DURAZNO;AE;0.00
COMEF IAMPP;DURAZNO;LE;0.00
COMEF IAMPP;FLORES;MG;0.00
COMEF IAMPP;FLORES;MFYC;0.00
COMEF IAMPP;FLORES;Pediatría;0.00
COMEF IAMPP;FLORES;Gine;0.00
COMEF IAMPP;FLORES;AE;0.00
COMEF IAMPP;FLORES;LE;0.00
COMEF IAMPP;FLORIDA;MG;3.81
COMEF IAMPP;FLORIDA;MFYC;0.00
COMEF IAMPP;FLORIDA;Pediatría;4.55
COMEF IAMPP;FLORIDA;Gine;1.75
COMEF IAMPP;FLORIDA;AE;32.33
COMEF IAMPP;FLORIDA;LE;0.88
COMEF IAMPP;LAVALLEJA;MG;0.00
COMEF IAMPP;LAVALLEJA;MFYC;0.00
COMEF IAMPP;LAVALLEJA;Pediatría;0.00
COMEF IAMPP;LAVALLEJA;Gine;0.00
COMEF IAMPP;LAVALLEJA;AE;0.00
COMEF IAMPP;LAVALLEJA;LE;0.00
COMEF IAMPP;MALDONADO;MG;0.00
COMEF IAMPP;MALDONADO;MFYC;0.00
COMEF IAMPP;MALDONADO;Pediatría;0.00
COMEF IAMPP;MALDONADO;Gine;0.00
COMEF IAMPP;MALDONADO;AE;0.00
COMEF IAMPP;MALDONADO;LE;0.00
COMEF IAMPP;PAYSANDÚ;MG;0.00
COMEF IAMPP;PAYSANDÚ;MFYC;0.00
COMEF IAMPP;PAYSANDÚ;Pediatría;0.00
COMEF IAMPP;PAYSANDÚ;Gine;0.00
COMEF IAMPP;PAYSANDÚ;AE;0.00
COMEF IAMPP;PAYSANDÚ;LE;0.00
COMEF IAMPP;RÍO NEGRO;MG;0.00
COMEF IAMPP;RÍO NEGRO;MFYC;0.00
COMEF IAMPP;RÍO NEGRO;Pediatría;0.00
COMEF IAMPP;RÍO NEGRO;Gine;0.00
COMEF IAMPP;RÍO NEGRO;AE;0.00
COMEF IAMPP;RÍO NEGRO;LE;0.00
COMEF IAMPP;RIVERA;MG;0.00
COMEF IAMPP;RIVERA;MFYC;0.00
COMEF IAMPP;RIVERA;Pediatría;0.00
COMEF IAMPP;RIVERA;Gine;0.00
COMEF IAMPP;RIVERA;AE;0.00
COMEF IAMPP;RIVERA;LE;0.00
