provider;state;indicator;indicator_value
AMDM;total país;MG;1.89
AMDM;total país;MFYC;0.04
AMDM;total país;Pediatría;4.51
AMDM;total país;Gine;0.85
AMDM;total país;AE;6.65
AMDM;total país;LE;0.00
AMEDRIN;total país;MG;2.68
AMEDRIN;total país;MFYC;0.25
AMEDRIN;total país;Pediatría;4.40
AMEDRIN;total país;Gine;2.40
AMEDRIN;total país;AE;5.27
AMEDRIN;total país;LE;0.00
AMSJ;total país;MG;1.38
AMSJ;total país;MFYC;0.10
AMSJ;total país;Pediatría;1.88
AMSJ;total país;Gine;0.97
AMSJ;total país;AE;3.04
AMSJ;total país;LE;0.20
ASOCIACION ESPAÑOLA;total país;MG;3.59
ASOCIACION ESPAÑOLA;total país;MFYC;0.03
ASOCIACION ESPAÑOLA;total país;Pediatría;5.01
ASOCIACION ESPAÑOLA;total país;Gine;1.57
ASOCIACION ESPAÑOLA;total país;AE;17.40
ASOCIACION ESPAÑOLA;total país;LE;1.40
CAAMEPA;total país;MG;2.47
CAAMEPA;total país;MFYC;0.00
CAAMEPA;total país;Pediatría;3.23
CAAMEPA;total país;Gine;0.58
CAAMEPA;total país;AE;3.10
CAAMEPA;total país;LE;0.28
CAMCEL;total país;MG;0.03
CAMCEL;total país;MFYC;0.00
CAMCEL;total país;Pediatría;0.00
CAMCEL;total país;Gine;0.03
CAMCEL;total país;AE;0.01
CAMCEL;total país;LE;0.00
CAMDEL;total país;MG;1.52
CAMDEL;total país;MFYC;0.00
CAMDEL;total país;Pediatría;2.20
CAMDEL;total país;Gine;1.02
CAMDEL;total país;AE;15.96
CAMDEL;total país;LE;0.34
CAMEC;total país;MG;0.18
CAMEC;total país;MFYC;0.00
CAMEC;total país;Pediatría;0.00
CAMEC;total país;Gine;0.24
CAMEC;total país;AE;0.00
CAMEC;total país;LE;0.00
CAMEDUR;total país;MG;4.54
CAMEDUR;total país;MFYC;0.00
CAMEDUR;total país;Pediatría;2.35
CAMEDUR;total país;Gine;1.93
CAMEDUR;total país;AE;8.71
CAMEDUR;total país;LE;0.37
CAMOC;total país;MG;2.44
CAMOC;total país;MFYC;0.00
CAMOC;total país;Pediatría;4.99
CAMOC;total país;Gine;0.76
CAMOC;total país;AE;1.69
CAMOC;total país;LE;0.00
CAMS;total país;MG;2.57
CAMS;total país;MFYC;0.05
CAMS;total país;Pediatría;4.17
CAMS;total país;Gine;0.98
CAMS;total país;AE;9.89
CAMS;total país;LE;0.56
CAMY;total país;MG;1.80
CAMY;total país;MFYC;0.77
CAMY;total país;Pediatría;4.26
CAMY;total país;Gine;3.87
CAMY;total país;AE;60.32
CAMY;total país;LE;0.00
CASMER;total país;MG;2.54
CASMER;total país;MFYC;0.00
CASMER;total país;Pediatría;4.57
CASMER;total país;Gine;2.12
CASMER;total país;AE;14.07
CASMER;total país;LE;0.63
CASMU;total país;MG;0.50
CASMU;total país;MFYC;0.40
CASMU;total país;Pediatría;4.27
CASMU;total país;Gine;0.19
CASMU;total país;AE;9.74
CASMU;total país;LE;1.72
CIRCULO CATOLICO;total país;MG;2.59
CIRCULO CATOLICO;total país;MFYC;0.10
CIRCULO CATOLICO;total país;Pediatría;3.73
CIRCULO CATOLICO;total país;Gine;0.59
CIRCULO CATOLICO;total país;AE;11.62
CIRCULO CATOLICO;total país;LE;0.00
COMECA;total país;MG;3.48
COMECA;total país;MFYC;0.00
COMECA;total país;Pediatría;4.44
COMECA;total país;Gine;1.30
COMECA;total país;AE;8.64
COMECA;total país;LE;0.51
COMEF;total país;MG;3.81
COMEF;total país;MFYC;0.00
COMEF;total país;Pediatría;4.55
COMEF;total país;Gine;1.75
COMEF;total país;AE;32.33
COMEF;total país;LE;0.88
COMEFLO;total país;MG;1.48
COMEFLO;total país;MFYC;0.00
COMEFLO;total país;Pediatría;4.40
COMEFLO;total país;Gine;1.48
COMEFLO;total país;AE;0.00
COMEFLO;total país;LE;0.00
COMEPA;total país;MG;1.87
COMEPA;total país;MFYC;0.35
COMEPA;total país;Pediatría;4.76
COMEPA;total país;Gine;1.61
COMEPA;total país;AE;11.12
COMEPA;total país;LE;0.99
COMERI;total país;MG;1.68
COMERI;total país;MFYC;0.00
COMERI;total país;Pediatría;2.74
COMERI;total país;Gine;1.12
COMERI;total país;AE;8.63
COMERI;total país;LE;1.79
COMERO;total país;MG;1.71
COMERO;total país;MFYC;0.00
COMERO;total país;Pediatría;2.10
COMERO;total país;Gine;0.53
COMERO;total país;AE;3.32
COMERO;total país;LE;0.00
COMTA;total país;MG;2.23
COMTA;total país;MFYC;0.01
COMTA;total país;Pediatría;5.09
COMTA;total país;Gine;0.99
COMTA;total país;AE;12.80
COMTA;total país;LE;0.87
COSEM;total país;MG;1.31
COSEM;total país;MFYC;0.02
COSEM;total país;Pediatría;5.11
COSEM;total país;Gine;1.43
COSEM;total país;AE;5.55
COSEM;total país;LE;1.06
CRAME;total país;MG;1.88
CRAME;total país;MFYC;0.00
CRAME;total país;Pediatría;3.98
CRAME;total país;Gine;2.61
CRAME;total país;AE;4.71
CRAME;total país;LE;0.19
CRAMI;total país;MG;1.69
CRAMI;total país;MFYC;0.00
CRAMI;total país;Pediatría;2.76
CRAMI;total país;Gine;1.29
CRAMI;total país;AE;7.66
CRAMI;total país;LE;0.27
CUDAM;total país;MG;1.77
CUDAM;total país;MFYC;0.01
CUDAM;total país;Pediatría;2.54
CUDAM;total país;Gine;1.22
CUDAM;total país;AE;4.64
CUDAM;total país;LE;0.20
GREMCA;total país;MG;1.33
GREMCA;total país;MFYC;0.03
GREMCA;total país;Pediatría;4.18
GREMCA;total país;Gine;0.77
GREMCA;total país;AE;8.19
GREMCA;total país;LE;0.00
GREMEDA;total país;MG;3.23
GREMEDA;total país;MFYC;0.00
GREMEDA;total país;Pediatría;4.02
GREMEDA;total país;Gine;1.85
GREMEDA;total país;AE;8.92
GREMEDA;total país;LE;1.56
HOSPITAL EVANGELICO;total país;MG;1.52
HOSPITAL EVANGELICO;total país;MFYC;0.16
HOSPITAL EVANGELICO;total país;Pediatría;3.82
HOSPITAL EVANGELICO;total país;Gine;1.16
HOSPITAL EVANGELICO;total país;AE;10.40
HOSPITAL EVANGELICO;total país;LE;1.24
IAC;total país;MG;0.93
IAC;total país;MFYC;0.08
IAC;total país;Pediatría;2.52
IAC;total país;Gine;0.59
IAC;total país;AE;0.31
IAC;total país;LE;0.00
MEDICA URUGUAYA;total país;MG;1.55
MEDICA URUGUAYA;total país;MFYC;0.00
MEDICA URUGUAYA;total país;Pediatría;2.11
MEDICA URUGUAYA;total país;Gine;0.64
MEDICA URUGUAYA;total país;AE;0.00
MEDICA URUGUAYA;total país;LE;0.00
MEDICARE;total país;MG;0.23
MEDICARE;total país;MFYC;0.00
MEDICARE;total país;Pediatría;1.32
MEDICARE;total país;Gine;0.54
MEDICARE;total país;AE;0.12
MEDICARE;total país;LE;0.00
MP;total país;MG;0.11
MP;total país;MFYC;0.00
MP;total país;Pediatría;0.19
MP;total país;Gine;0.11
MP;total país;AE;0.00
MP;total país;LE;0.00
SEGURO AMERICANO;total país;MG;0.09
SEGURO AMERICANO;total país;MFYC;0.00
SEGURO AMERICANO;total país;Pediatría;0.01
SEGURO AMERICANO;total país;Gine;0.01
SEGURO AMERICANO;total país;AE;0.75
SEGURO AMERICANO;total país;LE;0.02
SMI;total país;MG;1.74
SMI;total país;MFYC;0.05
SMI;total país;Pediatría;4.61
SMI;total país;Gine;1.04
SMI;total país;AE;0.34
SMI;total país;LE;0.04
SMQS;total país;MG;1.70
SMQS;total país;MFYC;0.00
SMQS;total país;Pediatría;5.08
SMQS;total país;Gine;1.56
SMQS;total país;AE;10.97
SMQS;total país;LE;3.95
SUMMUM;total país;MG;0.00
SUMMUM;total país;MFYC;0.00
SUMMUM;total país;Pediatría;0.00
SUMMUM;total país;Gine;0.00
SUMMUM;total país;AE;0.00
SUMMUM;total país;LE;0
BLUE CROSS & BLUE SHIELD;total país;MG;0.11
BLUE CROSS & BLUE SHIELD;total país;MFYC;0.00
BLUE CROSS & BLUE SHIELD;total país;Pediatría;0.39
BLUE CROSS & BLUE SHIELD;total país;Gine;0.36
BLUE CROSS & BLUE SHIELD;total país;AE;0.00
BLUE CROSS & BLUE SHIELD;total país;LE;0.03
UNIVERSAL;total país;MG;2.16
UNIVERSAL;total país;MFYC;0.03
UNIVERSAL;total país;Pediatría;3.47
UNIVERSAL;total país;Gine;1.16
UNIVERSAL;total país;AE;8.66
UNIVERSAL;total país;LE;0.17
ASSE;total país;MG;2.90
ASSE;total país;MFYC;1.10
ASSE;total país;Pediatría;5.22
ASSE;total país;Gine;1.41
ASSE;total país;AE;9.21
