;Captación RN;Control de desarrollo desarrollo al 4to mes de vida -1 año;Control HIV-VDRL en el embarazo;Usuarios identificados hipertensos;Tasa de Cesárea
62;100;99.42;98.86;31.49;58.61
264;100;98.01;96.99;19.26;69.58
567;100;97.73;100.00;24.55;55.73
769;100;99.42;98.52;23.16;60.31
1062;100;100.00;100.00;18.91;51.48
1163;100;98.14;95.08;15.43;46.71
1210;100;99.26;97.47;17.30;60.45
2315;100;98.00;98.59;29.73;S/D
3567;100;96.47;100.00;15.75;53.70
4315;100;100.00;100.00;17.85;42.90
4810;100;100.00;100.00;18.71;60.55
5012;98;100.00;100.00;22.76;70.72
5163;100;100.00;100.00;22.24;60.43
5315;100;100.00;95.65;26.09;52.79
5517;100;100.00;98.96;17.54;52.22
5810;100;100.00;100.00;15.13;56.78
6012;100;100.00;100.00;21.03;34.65
6062;100;100.00;100.00;20.72;55.88
6416;100;100.00;100.00;23.37;32.47
6517;100;100.00;88.00;21.57;54.76
6618;100;100.00;100.00;21.36;51.50
6769;100;100.00;100.00;16.37;51.35
6860;100;100.00;100.00;22.12;55.95
6985;99;100.00;100.00;23.68;52.33
7062;100;100.00;100.00;22.03;46.72
7214;100;100.00;100.00;15.55;45.79
7264;100;100.00;100.00;12.54;91.67
7466;100;100.00;100.00;18.86;42.40
7553;100;98.48;100.00;10.94;41.94
7618;100;100.00;100.00;24.60;44.57
7719;100;96.00;95.27;21.25;50.22
7810;98;100.00;100.00;19.66;45.83
8012;100;98.06;100.00;20.60;36.86
8163;100;100.00;100.00;20.85;53.99
8264;100;100.00;96.55;19.83;48.28
9000;78;82.70;97.06;16.11;35.58
9502;100;100.00;97.30;17.37;S/D
9508;100;95.06;100.00;16.77;S/D
9516;100;100.00;100.00;12.66;S/D
9518;100;48.15;90.62;17.30;S/D
9526;100;100.00;100.00;13.70;S/D
9532;99;76.73;90.48;10.92;54.22
