provider;captacion_rn;control_desarrollo;control_desarrollo_18;control_desarrollo₄;tamizaje_colorrectal;tamizaje_cuello;tamizaje_mama;indice_cesareas
62;100.00;99.46;98.52;97.71;26.22;67.01;53.68;55.07
264;100.00;99.49;97.27;96.57;24.51;73.15;46.66;71.67
769;99.69;98.81;96.26;97.35;39.68;62.38;59.05;60.46
1062;100.00;99.66;99.71;99.45;33.54;70.81;50.62;55.94
1163;100.00;98.17;96.20;95.12;28.01;57.13;37.33;60.76
1210;100.00;97.97;100.00;98.21;26.27;71.07;60.56;75.59
2315;98.67;100.00;98.48;98.04;33.47;58.05;34.52;51.12
3567;100.00;97.94;97.19;96.94;38.01;73.10;43.83;59.28
4315;100.00;99.35;100.00;100.00;37.64;71.21;44.10;51.19
4810;100.00;99.51;97.93;97.48;22.33;54.34;45.05;60.92
5012;100.00;100.00;98.00;98.94;44.10;54.21;55.49;73.61
5163;100.00;100.00;95.15;97.78;31.57;61.94;55.44;67.18
5315;100.00;99.07;96.55;97.96;50.69;70.50;59.43;54.97
5517;99.17;100.00;93.96;99.46;50.43;80.61;49.04;48.83
5810;100.00;98.48;97.22;98.24;37.85;60.76;34.61;65.96
6012;100.00;100.00;100.00;99.35;44.11;71.46;50.93;50.29
6062;100.00;98.21;98.39;98.84;53.30;78.22;54.58;60.14
6416;100.00;99.06;100.00;100.00;40.03;78.23;52.41;50.95
6517;100.00;100.00;97.22;100.00;30.63;69.80;51.77;55.91
6618;100.00;98.61;100.00;100.00;51.37;78.76;60.83;55.87
6769;100.00;100.00;100.00;100.00;48.73;82.23;58.24;53.04
6860;100.00;99.53;99.21;95.96;66.80;97.00;82.32;63.89
6985;100.00;100.00;100.00;100.00;19.89;72.56;46.95;55.47
7062;100.00;99.50;99.22;99.59;32.27;64.31;49.51;45.26
7214;100.00;90.62;80.00;46.67;28.61;55.76;33.01;74.70
7264;100.00;100.00;95.65;100.00;38.87;61.34;46.17;46.00
7466;100.00;100.00;100.00;98.74;42.58;61.03;44.75;48.79
7553;100.00;98.59;96.55;100.00;37.81;47.74;50.35;58.38
7618;100.00;100.00;98.61;100.00;29.78;68.96;43.29;55.84
7719;100.00;97.41;97.18;97.57;42.59;63.63;36.72;54.31
7810;99.35;97.22;97.48;95.98;33.65;40.93;40.11;53.65
8012;100.00;100.00;99.13;100.00;35.18;74.55;41.04;41.82
8163;100.00;100.00;95.79;99.06;32.72;62.53;44.68;60.22
8264;100.00;100.00;100.00;100.00;37.23;67.10;38.50;55.00
9000;86.43;68.73;75.82;82.18;1.49;4.27;4.92;37.70
9502;100.00;98.47;96.77;99.00;39.61;78.53;71.63;54.06
9508;97.47;67.62;90.84;95.48;25.41;83.26;70.96;59.23
9516;100.00;99.01;92.80;87.39;5.98;71.58;54.65;52.03
9518;100.00;94.92;91.30;82.76;20.71;84.37;54.82;65.00
9526;100.00;100.00;40.00;0.00;0.00;28.53;31.58;71.43
9532;100.00;96.00;83.85;96.02;18.54;69.10;49.36;56.10
