ID;VÍAS DE ASIGNACIÓN DE CITAS ;REALIZA RECORDATORIO DE CITA;REALIZA CAÍDA DE RESERVA DETERMINADO TIEMPO ANTES/DESPUÉS DEL INICIO DE LA CONSULTA SI ESTA NO ES CONFIRMADA;COMUNICACIÓN CON EL USUARIO POR SUSPENSIÓN O MODIFICACIÓN DE LA CONSULTA
62;Presencial, telefónica y web;Si, por correo electrónico y WhatsApp;No;Si, telefónica 
264;Presencial , telefónica y web;Si, por SMS;Si, 24 hs. antes;Si, telefónica
769;Presencial, telefónica, web, App y whatsApp;Si, por SMS, correo electrónico y App;No;Si, telefónica
1062;Presencial, telefónica, web, correo electrónico y whatsApp;Si, por SMS;No;Si
1163;Presencial , telefónica  y App;Si, 48 hs. por SMS;No;Si, telefónica
1210;Presencial, telefónica, correo electrónico y web;Si, por SMS (2 por cada consulta) y por App 72 hs antes;No;Si, telefónica y por SMS
2315;"Presencial y telefónica; para consultas vinculadas con ASESP se agrega web";Si, por llamada telefónica, por consultas vinculadas con ASESP recordatorio por correo electrónico;No;Si
3567;Presencial, telefónica, web y App;Si, 72 hs. por SMS;Si, 30 minutos después del horario asignado a la consulta ;Si, telefónica
4315;Presencial, telefónica, web y App;Si, por SMS y correo electrónico;Sí, cae 30 minutos antes del inicio de la consulta si la orden no es emitida;Si, telefónica y por SMS
4810;Presencial, telefónica y web ;Si, por SMS;No;Si
5012;Presencial, telefónica y web;Si, por SMS de citas reservadas;Si, 24 hs. antes;Si, telefónica y por SMS
5163;Presencial y telefónica;Si, por SMS;No;Si, telefónica y por SMS
5315;Presencial y telefónica;Si, por SMS y llamada telefónica;Si;Si, telefónica
5517;Presencial, telefónica, web y App;Si, por SMS;Si, 48 hs. antes;Si, telefónica o SMS
5810;Presencial, telefónica, web y App;Si, por App y correo electrónico;Si, 48 hs. antes;Si, telefónica, SMS, correo electrónico o APP
6012;Presencial,  telefónica y web;Si, 72 hs. antes por SMS;Si, 48 hs. antes;Si, telefónica o SMS
6062;Presencial,  telefónica y web;Si, por SMS;Si, 48 hs. antes;Si, telefónica
6416;Presencial, telefónica, web y App;Si, por SMS y App;Si, 24 hs. antes;Si, telefónica o SMS
6517;Presencial y telefónica;No;Si, 48 hs. antes;Si, telefónica
6618;Presencial y telefónica;Si, por SMS;Si, 48 hs. antes;Si, telefónica o SMS
6769;Presencial, telefónica y App;No;Si, 48 hs. antes;Si, telefónica 
6860;Presencial, telefónica, web y App;Si, por SMS y correo electrónico;Si, 48 hs. luego de agendada la consulta;Si, SMS
6985;Presencial, telefónica, App, web y estaciones de autogestión;Si, por App;Si, 72 hs. antes;Si, telefónica 
7062;Presencial,  telefónica y web;Si, por SMS;Si, 48 hs. antes;Si
7214;Presencial, telefónica y App;Si, por SMS;Si, 48 hs. antes;Si, telefónica y por SMS
7264;Presencial y telefónica;Si, por SMS;Si, 48 hs. antes;Si
7466;Presencial,  telefónica y web;SI, por SMS y whatsApp;Si, 48 hs. antes;Si, telefónica, por SMS y whatsApp
7553;Presencial, telefónica, web y whatsApp;Si, 48 hs. antes por SMS;Si, 24 hs. antes;Si, telefónica
7618;Presencial y telefónica;Si, por SMS y correo electrónico;No;Si, telefónica
7719;Presencial, telefónica, web y App;Si, por SMS;Si, 48 hs. antes, excepto población rural que la reserva cae 30 minutos antes de la consulta;Si, por SMS
7810;Presencial, telefónica, web y App;Si, 24 hs. antes por SMS y  correo electrónico;Si, 72 hs. antes;Si, por SMS y correo electrónico
8012;Presencial, telefónica y web;Si, por SMS;Si, 48 hs. antes;Si, telefónica
8163;Presencial, telefónica, web y App;No;Si, 48 hs. antes hábiles;Si, telefónica
8264;Presencial y telefónica;No;No;Si
9000;Presencial, telefónica y web para Medicina General y Medicina Familiar y comunitaria;Con SMS y vía telefónica en algunas U.E.;No en forma sistemática;Si
9502;Presencial, telefónica, web y App;Si, por SMS y App;No;Si, telefónica 
9508;Presencial, telefónica, web y App;Si, por SMS;No;Si, telefónica
9516;Presencial, telefónica, web y App;Si, por SMS;No;Si
9518;Presencial, telefónica, web y App ;Si, 48 hs. antes por SMS;No;Si, telefónica 
9526;Presencial y telefónica;Si, por correo de voz;No;Si, telefónica 
9532;Presencial, telefónica , web y App;Si, por SMS, correo electrónico y App;No;Si
