Id_Institución ;Prom TE MG (días) - sin disc pres/telem;Prom TE MG (días) - presencial;Prom TE MG (días) - telemedicina;Prom TE PED (días) - sin disc pres/telem;Prom TE PED (días) - presencial;Prom TE PED (días) - telemedicina;Prom TE CG (días) - sin disc pres/telem;Prom TE CG (días) - presencial;Prom TE CG (días) - telemedicina;Prom TE GINE (días) - sin disc pres/telem;Prom TE GINE (días) - presencial;Prom TE GINE (días) - telemedicina;Prom TE CARDIO (días) - sin disc pres/telem;Prom TE CARDIO (días) - presencial;Prom TE CARDIO (días) - telemedicina
62;0,12;0,09;0,29;0,30;0,29;0,40;0,33;0,32;0,68;0,23;0,20;0,54;0,24;0,22;0,43
264;0,37;s/d;s/d;0,98;s/d;s/d;1,03;s/d;s/d;0,83;s/d;s/d;6,95;s/d;s/d
769;0,31;0,31;0,35;0,36;0,37;0,30;0,50;0,50;s/d;0,18;0,17;0,34;0,68;0,68;0,65
1062;0,08;0,07;0,09;0,15;0,14;0,22;1,91;1,91;0,78;10,70;10,87;0,92;1,36;1,37;1,31
1163;0,15;0,16;0,08;0,22;0,24;0,02;3,75;3,75;s/d;0,98;0,93;4,08;29,39;29,27;40,21
1210;0,75;0,95;0,23;2,10;2,56;0,12;0,00;0,00;0,00;2,54;2,48;3,12;2,79;3,13;0,12
2315;1,82;0,99;4,61;0,33;0,28;0,61;2,34;2,30;2,85;0,46;0,41;0,83;1,73;1,54;2,44
3567;0,21;0,18;0,31;0,26;0,28;0,19;8,92;8,92;8,84;1,42;1,44;1,24;6,72;6,85;6,02
4315;0,24;0,22;0,33;0,32;0,32;0,28;1,64;1,64;s/d;0,56;0,56;0,54;1,64;1,64;s/d
4810;0,16;0,14;0,26;0,22;0,23;0,07;0,19;0,20;0,00;0,25;0,25;0,14;0,19;0,19;0,50
5012;0,24;0,24;s/d;0,42;0,42;0,25;2,86;2,86;s/d;0,66;0,66;0,00;3,59;3,59;s/d
5163;0,00;0,00;0,00;0,00;0,00;0,00;0,41;0,42;0,00;0,03;0,03;0,04;0,32;0,35;0,17
5315;6,91;6,92;3,31;5,30;5,30;s/d;8,31;8,31;s/d;20,03;20,03;s/d;13,09;13,09;s/d
5517;0,08;0,07;0,18;0,15;0,09;0,81;1,80;1,80;s/d;0,18;0,18;s/d;2,22;2,28;1,36
5810;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d
6012;0,43;0,44;0,40;0,82;0,85;0,57;3,40;3,41;2,78;2,18;2,17;2,30;3,16;3,21;2,56
6062;0,20;0,20;0,22;0,54;0,54;0,54;3,52;3,55;2,38;2,00;2,01;1,92;4,17;4,34;2,86
6416;3,81;4,09;1,32;9,22;9,54;1,95;6,31;6,33;2,33;13,96;14,25;8,64;13,89;13,90;12,00
6517;1,14;1,05;1,41;0,23;0,23;0,22;0,98;0,99;0,00;1,52;1,52;s/d;1,53;1,54;1,46
6618;0,26;0,23;0,31;0,83;0,85;0,76;0,73;0,74;0,60;2,74;2,83;2,47;9,98;10,54;4,28
6769;0,13;0,13;0,20;1,11;1,12;0,59;1,00;1,00;s/d;0,86;0,86;0,75;4,74;4,74;5,00
6860;0,31;0,28;1,24;0,47;0,47;s/d;2,31;2,31;s/d;4,88;4,88;s/d;10,71;10,71;s/d
6985;0,37;0,28;0,48;0,88;0,91;0,79;0,83;0,81;0,98;0,96;1,01;0,88;1,20;1,24;1,00
7062;0,60;s/d;s/d;0,84;s/d;s/d;5,88;s/d;s/d;1,68;s/d;s/d;29,09;s/d;s/d
7214;1,36;s/d;s/d;1,74;s/d;s/d;0,97;s/d;s/d;3,50;s/d;s/d;5,05;s/d;s/d
7264;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d;s/d
7466;0,53;0,53;s/d;1,15;1,15;1,11;1,82;1,82;s/d;0,97;0,97;s/d;7,83;8,06;3,47
7553;8,89;8,94;8,44;6,82;6,88;3,76;10,98;10,98;s/d;24,96;24,96;s/d;28,72;31,02;13,51
7618;0,17;0,17;0,17;0,17;0,17;0,18;0,18;0,18;s/d;0,17;0,17;0,50;0,18;0,17;0,29
7719;2,09;s/d;s/d;0,20;s/d;s/d;0,57;s/d;s/d;3,70;s/d;s/d;1,44;s/d;s/d
7810;0,26;s/d;s/d;0,18;s/d;s/d;1,44;s/d;s/d;0,85;s/d;s/d;0,65;s/d;s/d
8012;0,29;0,26;0,44;0,56;0,56;0,54;1,54;1,54;s/d;0,91;0,90;0,95;2,41;2,43;1,22
8163;0,84;0,84;0,62;0,28;0,28;0,00;5,08;5,08;s/d;4,32;4,33;0,00;7,05;7,05;s/d
8264;0,04;s/d;s/d;0,98;s/d;s/d;5,45;s/d;s/d;0,81;s/d;s/d;4,70;s/d;s/d
9000;6,29;6,36;3,72;9,62;9,71;0,80;13,04;13,04;s/d;20,00;20,01;18,20;19,63;19,78;4,98
9502;0,00;0,01;0,00;0,01;0,01;0,00;0,14;0,13;0,32;0,01;0,01;0,02;0,05;0,05;0,07
9508;0,37;s/d;s/d;0,15;s/d;s/d;0,57;s/d;s/d;0,32;s/d;s/d;1,01;s/d;s/d
9516;0,07;0,00;0,23;0,09;0,10;0,00;0,12;0,12;0,00;0,19;0,22;0,06;0,17;0,19;0,05
9518;0,09;0,09;0,10;0,15;0,17;0,11;1,93;2,10;0,60;1,42;1,82;0,43;1,44;1,64;0,63
9526;0,85;0,99;0,54;1,00;1,14;0,10;2,05;2,20;0,33;1,17;1,25;0,53;0,62;0,64;0,00
9532;0,01;0,02;0,01;0,03;0,04;0,01;0,24;0,25;0,19;0,02;0,02;0,02;0,04;0,05;0,03
