1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA
62;377;377;174;174;158;158;0;0;158;158;163;163;398;398;880;880;749;749;880;880;749;749;158;158;1010;1010;924;924;1010;1010;647;647;647;647;647;647;1010;1010;1010;1010
264;327;327;175;175;159;159;159;159;159;159;159;159;360;360;466;466;653;653;739;739;466;466;159;159;846;846;826;826;1010;1010;601;601;601;601;601;601;1010;1010;1010;1010
769;387;387;164;164;160;160;160;160;160;160;165;165;417;417;676;676;676;676;880;880;676;676;160;160;949;949;719;719;1010;1010;719;719;719;719;949;949;1010;1010;1010;1010
1062;177;318;174;174;0;160;0;0;0;160;0;164;0;472;584;584;666;666;857;857;0;0;0;160;908;908;908;908;1010;1010;602;602;130;602;602;602;1010;1010;1010;1010
1163;256;274;158;158;0;141;0;0;0;141;0;141;0;280;0;0;0;408;0;553;0;0;141;141;809;809;561;561;398;398;354;354;354;354;398;398;1010;1010;1010;1010
1210;373;373;175;175;159;159;159;159;159;159;165;165;481;481;222;222;544;544;646;646;730;730;0;0;1010;1010;602;602;1010;1010;573;573;573;573;1010;1010;1010;1010;1010;1010
2315;123;302;172;172;147;147;0;0;147;147;147;147;405;405;405;405;586;586;787;787;405;405;104;104;803;803;803;803;803;803;803;803;404;404;404;404;1010;1010;787;787
3567;362;362;174;174;0;160;0;0;0;160;0;160;0;490;0;657;0;715;0;880;0;691;0;160;130;1010;130;386;130;1010;130;642;130;642;130;642;130;1010;130;1010
4315;361;361;175;175;172;172;0;0;162;162;162;162;364;364;544;544;497;497;729;729;497;497;159;159;706;706;608;608;706;706;497;497;497;497;497;497;1010;1010;1010;1010
4810;171;305;161;161;80;159;0;0;75;150;75;150;110;220;197;394;270;540;374;740;110;220;80;159;316;502;316;502;497;857;316;502;310;491;470;805;470;805;470;805
5012;297;297;160;175;151;151;151;151;157;157;159;159;190;190;345;345;501;501;880;880;467;467;150;150;581;581;292;292;292;292;292;292;209;292;318;331;955;1010;287;702
5163;254;254;162;162;158;158;0;0;158;158;158;158;446;446;447;447;599;599;880;880;790;790;158;158;700;700;530;530;1010;1010;530;530;530;530;1010;1010;1010;1010;1010;1010
5315;289;289;162;162;155;155;155;155;155;155;165;165;349;349;548;548;741;741;880;880;791;791;155;155;1010;1010;549;549;1010;1010;274;274;274;274;921;921;1010;1010;1010;1010
5517;282;282;171;171;159;159;159;159;159;159;164;164;265;265;453;453;546;546;866;866;468;468;157;157;1010;1010;513;513;1010;1010;339;339;339;339;513;513;1010;1010;1010;1010
5810;273;273;162;162;157;157;157;157;157;157;165;165;496;496;453;453;487;487;731;731;488;488;0;0;517;517;517;517;517;517;454;454;454;454;454;454;653;653;1010;1010
6012;284;284;175;175;157;157;157;157;157;157;163;163;362;362;467;467;569;569;873;873;184;184;157;157;946;946;656;656;656;656;656;656;315;315;398;398;1010;1010;1010;1010
