1 id_mutualista;;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA
62;;400;400;185;185;168;168;0;0;168;168;173;173;423;423;968;968;783;783;968;968;783;783;168;168;1,108;1,108;970;970;1,108;1,108;689;689;689;689;689;689;1,108;1,108;1,108;1,108
264;;347;347;186;186;169;169;169;169;169;169;175;175;382;382;495;495;694;694;774;774;495;495;169;169;895;895;879;879;1,108;1,108;640;640;640;640;640;640;1,108;1,108;1,108;1,108
769;;410;410;174;174;170;170;170;170;170;170;175;175;443;443;718;718;718;718;968;968;718;718;170;170;997;997;765;765;1,108;1,108;765;765;765;765;997;997;1,108;1,108;1,108;1,108
1062;;232;337;184;184;0;170;0;0;0;170;0;174;0;501;620;620;707;707;897;897;0;0;0;170;954;954;954;954;1,108;1,108;641;641;140;641;641;641;1,108;1,108;1,108;1,108
1163;;272;291;167;167;0;150;0;0;0;150;0;150;0;297;0;0;0;433;0;587;0;0;150;150;861;861;598;598;425;425;378;378;378;378;425;425;1,108;1,108;1,108;1,108
1210;;396;396;186;186;169;169;169;169;169;169;175;175;511;511;307;307;578;578;686;686;764;764;0;0;1,108;1,108;704;704;1,108;1,108;610;610;610;610;1,108;1,108;1,108;1,108;1,108;1,108
2315;;130;321;182;182;156;156;0;0;156;156;156;156;430;430;430;430;622;622;823;823;430;430;156;156;855;855;855;855;855;855;855;855;431;431;431;431;1,108;1,108;838;838
3567;;384;384;185;185;0;170;0;0;0;170;0;170;0;520;0;698;0;753;0;968;0;734;0;170;140;1,108;316;412;316;1,108;140;684;140;684;140;684;316;1,108;316;1,108
4315;;383;383;186;186;182;182;0;0;172;172;172;172;386;386;577;577;528;528;763;763;528;528;169;169;887;887;648;648;751;751;646;646;646;646;646;646;1,108;1,108;1,108;1,108
4810;;181;324;171;171;0;169;0;0;0;160;0;160;0;234;0;419;287;573;390;774;0;234;0;169;367;594;337;535;523;900;337;535;332;523;498;857;514;887;514;887
5012;;315;315;170;186;160;160;160;160;166;166;169;169;201;201;366;366;532;532;968;968;496;496;160;160;619;619;312;312;312;312;312;312;312;312;354;354;1,108;1,108;748;748
5163;;270;270;172;172;168;168;0;0;168;168;168;168;474;474;475;475;637;637;968;968;826;826;168;168;745;745;564;564;1,108;1,108;564;564;564;564;1,108;1,108;1,108;1,108;1,108;1,108
5315;;307;307;172;172;164;164;164;164;164;164;175;175;371;371;582;582;776;776;968;968;827;827;164;164;1,108;1,108;585;585;1,108;1,108;292;292;292;292;967;967;1,108;1,108;1,108;1,108
5517;;299;299;181;181;168;168;168;168;168;168;175;175;281;281;481;481;580;580;907;907;497;497;167;167;1,108;1,108;547;547;1,108;1,108;362;362;362;362;547;547;1,108;1,108;1,108;1,108
5810;;289;289;172;172;167;167;167;167;167;167;175;175;527;527;481;481;517;517;764;764;519;519;0;0;551;551;551;551;551;551;484;484;484;484;484;484;863;863;1,108;1,108
6012;;301;301;185;185;166;166;166;166;166;166;173;173;384;384;496;496;604;604;913;913;255;255;166;166;994;994;699;699;699;699;699;699;336;336;425;425;1,108;1,108;1,108;1,108
6062;;311;311;186;186;170;170;170;170;170;170;170;170;316;316;419;419;444;444;904;904;619;619;170;170;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458;458
6416;;271;271;153;153;147;147;45;45;0;0;147;147;265;265;300;300;360;360;277;277;430;430;0;0;400;407;431;431;609;617;355;363;355;355;355;355;696;696;696;696
6517;;265;265;177;177;166;166;166;166;166;166;166;166;210;210;373;373;411;411;505;505;332;332;166;166;496;496;305;305;305;305;340;340;305;305;305;305;863;863;696;696
6618;;265;265;186;186;160;160;160;160;160;160;160;160;201;201;416;416;394;394;718;718;561;561;160;160;586;586;488;488;592;592;357;357;407;407;407;407;1,108;1,108;978;978
6769;;289;289;164;164;167;167;57;57;167;167;167;167;257;257;297;297;459;459;505;505;548;548;167;167;408;408;339;339;398;398;343;343;343;343;343;343;863;863;807;807
6860;;322;322;185;185;168;168;168;168;168;168;168;168;449;449;710;710;720;720;847;847;905;905;168;168;518;518;622;622;622;622;431;431;336;336;427;427;1,108;1,108;863;863
6985;;312;312;163;163;172;172;172;172;172;172;172;172;351;351;529;529;529;529;715;715;742;742;0;0;772;772;559;559;903;903;559;559;559;559;424;424;1,108;1,108;772;772
7062;;311;311;185;185;162;162;45;45;0;0;175;175;297;297;373;373;488;488;720;720;361;361;162;162;887;887;522;522;617;617;434;434;434;434;434;434;1,108;1,108;1,057;1,057
7214;;303;303;177;177;162;162;162;162;162;162;162;162;437;437;256;256;436;436;495;495;538;538;162;162;812;812;588;588;933;933;700;700;700;700;933;933;1,108;1,108;1,051;1,051
7264;;242;242;39;39;170;170;90;90;90;90;90;90;272;272;332;332;468;468;877;877;524;524;0;0;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316;316
7466;;330;330;174;174;0;170;170;170;0;170;0;170;0;325;170;502;584;584;861;861;584;584;170;170;769;769;391;391;887;887;257;257;292;292;292;292;769;769;769;769
7553;;263;263;171;171;0;158;0;158;0;158;0;158;0;877;0;420;0;468;0;870;517;517;0;157;705;705;391;1,108;391;391;352;1,108;352;1,108;595;595;705;705;705;705
7618;;289;289;186;186;167;167;45;45;87;87;173;173;294;294;481;481;580;580;774;774;734;734;167;167;671;671;446;446;819;819;422;422;422;422;467;467;1,108;1,108;912;912
7719;;273;273;165;165;171;171;171;171;171;171;167;167;167;372;373;373;522;522;579;579;614;614;171;171;586;586;512;512;512;512;512;512;512;512;512;512;863;863;863;863
7810;;172;280;172;172;173;173;0;0;169;169;169;169;265;265;408;408;173;173;173;173;727;727;173;173;445;445;335;335;335;335;335;335;140;140;335;335;814;814;814;814
8012;;238;291;168;168;122;122;59;59;117;117;122;122;230;230;333;333;411;411;556;556;524;524;78;170;576;576;404;404;727;727;312;312;312;312;312;312;1,041;1,041;1,041;1,041
8163;;279;279;159;159;165;165;165;165;165;165;165;165;310;310;442;442;585;585;901;901;614;614;165;165;512;512;512;512;618;618;450;450;257;257;512;512;787;787;710;710
8264;;336;336;186;186;169;169;169;169;169;169;169;169;372;372;527;527;580;580;968;968;751;751;167;169;534;534;320;320;534;534;320;320;320;320;534;534;1,045;1,045;1,045;1,045
