Institución;Departamento;Especialidad;Valor
AMDM;MONTEVIDEO;MEDICINA GENERAL;0.00
AMDM;MONTEVIDEO;ODONTOLOGÍA;0.00
AMDM;MONTEVIDEO;ALERGOLOGÍA;0.00
AMDM;MONTEVIDEO;ANESTESIOLOGÍA;0.00
AMDM;MONTEVIDEO;CARDIOLOGÍA;0.00
AMDM;MONTEVIDEO;CARDIOLOGÍA PEDIÁTRICA;0.00
AMDM;MONTEVIDEO;CIRUGÍA GENERAL;0.00
AMDM;MONTEVIDEO;CIRUGÍA CARDÍACA;0.00
AMDM;MONTEVIDEO;CIRUGÍA DE TORAX;0.00
AMDM;MONTEVIDEO;CIRUGÍA PEDIÁTRICA;0.00
AMDM;MONTEVIDEO;CIRUGÍA PLÁSTICA;0.00
AMDM;MONTEVIDEO;CIRUGÍA VASCULAR PERIFÉRICA;0.00
AMDM;MONTEVIDEO;CIRUGÍA Y TRAUMATOLOGÍA BUCO-MAXILO-FACIAL;0.00
AMDM;MONTEVIDEO;CUIDADOS PALIATIVOS DEL ADULTO;0.00
AMDM;MONTEVIDEO;DERMATOLOGÍA;0.00
AMDM;MONTEVIDEO;DIABETOLOGÍA;0.00
AMDM;MONTEVIDEO;ENDOCRINOLOGÍA;0.00
AMDM;MONTEVIDEO;ENDOSCOPÍA DIGESTIVA;0.00
AMDM;MONTEVIDEO;ENFERMEDADES INFECCIOSAS;0.00
AMDM;MONTEVIDEO;FISIATRÍA;0.00
AMDM;MONTEVIDEO;GASTROENTEROLOGÍA;0.00
AMDM;MONTEVIDEO;GERIATRÍA;0.00
AMDM;MONTEVIDEO;GINECOTOCOLOGÍA;0.00
AMDM;MONTEVIDEO;HEMATOLOGÍA;0.00
AMDM;MONTEVIDEO;MEDICINA FAMILIAR Y COMUNITARIA;0.00
AMDM;MONTEVIDEO;MEDICINA INTENSIVA;0.00
AMDM;MONTEVIDEO;MEDICINA INTENSIVA PEDIÁTRICA;0.00
AMDM;MONTEVIDEO;MEDICINA INTERNA;0.00
AMDM;MONTEVIDEO;NEFROLOGÍA;0.00
AMDM;MONTEVIDEO;NEFROLOGÍA PEDIÁTRICA;0.00
AMDM;MONTEVIDEO;NEONATOLOGÍA;0.00
AMDM;MONTEVIDEO;NEUMOLOGÍA;0.00
AMDM;MONTEVIDEO;NEUMOLOGÍA PEDIÁTRICA;0.00
AMDM;MONTEVIDEO;NEUROCIRUGÍA;0.00
AMDM;MONTEVIDEO;NEUROLOGÍA;0.00
AMDM;MONTEVIDEO;NEUROPEDIATRÍA;0.00
AMDM;MONTEVIDEO;OFTALMOLOGÍA;0.00
AMDM;MONTEVIDEO;ONCOLOGÍA MÉDICA;0.00
AMDM;MONTEVIDEO;ONCOLOGÍA RADIOTERÁPICA;0.00
AMDM;MONTEVIDEO;TRAUMATOLOGÍA;0.00
AMDM;MONTEVIDEO;OTORRINOLARINGOLOGÍA;0.00
AMDM;MONTEVIDEO;PEDIATRÍA;0.00
AMDM;MONTEVIDEO;PSICOTERAPIA PSICOANALÍTICA;0.00
AMDM;MONTEVIDEO;PSIQUIATRÍA;0.00
AMDM;MONTEVIDEO;PSIQUIATRÍA PEDIÁTRICA;0.00
AMDM;MONTEVIDEO;REUMATOLOGÍA;0.00
AMDM;MONTEVIDEO;UROLOGÍA;0.00
AMDM;MONTEVIDEO;UROLOGÍA PEDIÁTRICA;0.00
AMDM;MONTEVIDEO;FISIOTERAPÍA;0.00
