1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán. Amlodipina. Hidroclorotiazida. Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán. Amlodipina. Hidroclorotiazida. Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA. UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA. UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA. UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA. UNA REGIÓN. NO FONASA
62;423.2531692691;423.2531692691;195.165696113799;195.165696113799;177.615414061814;177.615414061814;0;0;177.615414061814;177.615414061814;183.464708904709;183.464708904709;447.541106916747;447.541106916747;968;968;817.637340167695;817.637340167695;968;968;817.637340167695;817.637340167695;177.615414061814;177.615414061814;1118;1118;1016.92410159069;1016.92410159069;1118;1118;731.672092550688;731.672092550688;731.672092550688;731.672092550688;731.672092550688;731.672092550688;1118;1118;1118;1118
264;367.336759768162;367.336759768162;196.39886502545;196.39886502545;179.050687345243;179.050687345243;179.050687345243;179.050687345243;179.050687345243;179.050687345243;185.016912795281;185.016912795281;404.169158343992;404.169158343992;523.685438877072;523.685438877072;734.33581315948;734.33581315948;807.616961061878;807.616961061878;523.685438877072;523.685438877072;179.050687345243;179.050687345243;938.255212508152;938.255212508152;921.463327461036;921.463327461036;1118;1118;679.459892794787;679.459892794787;679.459892794787;679.459892794787;679.459892794787;679.459892794787;1118;1118;1118;1118
769;434.272091541316;434.272091541316;183.682527650687;183.682527650687;179.439295408665;179.439295408665;179.439295408665;179.439295408665;179.439295408665;179.439295408665;185.050407530161;185.050407530161;468.833129902808;468.833129902808;754.86420684804;754.86420684804;754.86420684804;754.86420684804;968;968;754.86420684804;754.86420684804;179.439295408665;179.439295408665;1044.44671698158;1044.44671698158;811.712001220866;811.712001220866;1118;1118;811.704206659302;811.704206659302;811.704206659302;811.704206659302;1044.44671698158;1044.44671698158;1118;1118;1118;1118
1062;244.804468182205;356.91748004527;195.012885321005;195.012885321005;0;179.814362878546;0;0;0;179.814362878546;0;184.204786012957;0;530.669873780434;656.295888982255;656.295888982255;742.7170163486;742.7170163486;936.058879811071;936.058879811071;0;0;0;179.814362878546;999.652851837121;999.652851837121;999.652000990247;999.652000990247;1118;1118;680.710488774888;680.710488774888;150;680.710488774888;680.710488774888;680.710488774888;1118;1118;1118;1118
1163;287.427621903741;307.270499029493;176.518549508003;176.518549508003;0;158.637673126899;0;0;0;158.637673126899;0;158.637673126899;0;314.377465320922;0;0;0;458.653581471658;0;621.382380621442;0;0;158.637673126899;158.637673126899;907.243820896746;907.243820896746;634.494332262216;634.494332262216;451.784468031737;451.790146351199;401.476402719096;401.491788625998;401.491788625998;401.491788625998;451.790146351199;451.790146351199;1118;1118;1118;1118
1210;418.619455091324;418.619455091324;196.675868349916;196.675868349916;178.837607864884;178.837607864884;178.837607864884;178.837607864884;178.837607864884;178.837607864884;184.995604847245;184.995604847245;541.030108578253;541.030108578253;324.888299278692;324.888299278692;611.985575537632;611.985575537632;726.728875710681;726.728875710681;797.158574161161;797.158574161161;0;0;1118;1118;747.027206792577;747.027206792577;1118;1118;647.583202533156;647.583202533156;647.583202533156;647.583202533156;1118;1118;1118;1118;1118;1118
2315;137.534938253701;339.080975862611;192.616319759589;192.616319759589;165.674306307207;165.674306307207;0;0;165.673783579094;165.673783579094;165.673783579094;165.673783579094;454.936911455227;454.936911455227;454.936911455227;454.936911455227;658.350320313634;658.350320313634;859.318200649084;859.311000206482;454.936911455227;454.936911455227;165.671644352668;165.671644352668;901.480451476209;901.480451476209;901.480451476209;901.480451476209;901.480451476209;901.480451476209;901.480451476209;901.480451476209;458.518604688288;458.518604688288;458.518604688288;458.518604688288;1118;1118;889.034833718811;889.034833718811
3567;405.891377434948;405.891377434948;195.140438708217;195.140438708217;0;180.260388865413;0;0;0;180.265240383287;0;180.260388865413;0;550.960858877919;0;738.627527155206;0;786.493683702082;0;968;0;765.729548589911;0;180.265240383287;150;1118;335.821720989658;437.809163224106;335.821720989658;1118;150;725.399828760079;150;725.399828760079;150;725.399828760079;335.821720989658;1118;335.821720989658;1118
4315;404.865455603134;404.865455603134;196.565100015919;196.565100015919;192.943469464617;192.943469464617;0;0;181.939303876548;181.939303876548;181.939303876548;181.939303876548;408.686443327592;408.686443327592;611.22828167324;611.22828167324;558.984550884018;558.984550884018;796.381514914383;796.381514914383;558.984550884018;558.984550884018;179.302235109637;179.302235109637;930.20624358336;930.20624358336;687.888791507598;687.888791507598;796.994534160533;796.994534160533;685.885866337916;685.885866337916;685.885866337916;685.885866337916;685.885866337916;685.885866337916;1118;1118;1118;1118
4810;191.662052935007;342.326598960348;180.278369165678;180.278369165678;0;179.03395562551;0;0;0;168.876497515093;0;168.876497515093;0;247.790127708893;0;443.451696768635;303.361256186389;606.732993509321;403.815873784514;807.631747569027;0;247.790127708893;0;179.03395562551;390.369387473718;630.738774947437;358.840841321941;567.689563430348;546.810123787536;943.620247575073;358.840841321941;567.689563430348;352.798905032124;555.580297205437;526.49525916356;902.99051832712;540.10312179168;930.20624358336;540.10312179168;930.20624358336
5012;333.153275519531;333.153275519531;179.395122492843;196.356249129378;169.194034340442;169.194034340442;169.194034340442;169.194034340442;175.972965481091;175.972965481091;179.297651168997;179.297651168997;213.041770400252;213.041770400252;387.811345595429;387.811345595429;563.225293128997;563.225293128997;968;968;525.176995239583;525.183356828064;169.182863934775;169.182863934775;656.724312240535;656.725825809107;331.949393405432;331.949393405432;331.949393405432;331.949393405432;331.949393405432;331.949393405432;331.927260330084;331.927260330084;376.333024036792;376.333024036792;1118;1118;793.539895939315;793.539895939315
5163;285.483001074127;285.483001074127;181.560070584856;181.560070584856;177.660008270587;177.660008270587;0;0;177.660008270587;177.660008270587;177.660008270587;177.660008270587;501.841535967215;501.841535967215;502.82794357616;502.82794357616;673.910951271936;673.910951271936;968;968;862.628440992658;862.628440992658;177.669820161911;177.669820161911;790.365155861268;790.365155861268;599.375315037366;599.375315037366;1118;1118;599.375315037366;599.375315037366;599.375315037366;599.375315037366;1118;1118;1118;1118;1118;1118
5315;324.776610923763;324.776610923763;181.524604716494;181.524604716494;173.824274080593;173.824274080593;173.824274080593;173.824274080593;173.824274080593;173.824274080593;185.051019751917;185.051019751917;392.555530846483;392.555530846483;616.107311177463;616.107311177463;809.799510851655;809.799510851655;968;968;863.425568819972;863.425568819972;173.824274080593;173.824274080593;1118;1118;620.635663330438;620.635663330438;1118;1118;311.39542113107;311.39542113107;311.39542113107;311.39542113107;1013.42376344107;1013.42376344107;1118;1118;1118;1118
5517;316.11205504972;316.11205504972;191.110068270333;191.110068270333;178.285137333305;178.285137333305;178.285137333305;178.285137333305;178.285137333305;178.285137333305;184.926752409692;184.926752409692;297.43553945113;297.43553945113;509.29144708456;509.29144708456;614.122805123626;614.122805123626;946.277274533209;946.277274533209;526.251967841582;526.251967841582;176.950232374667;176.946312859809;1118;1118;580.602875774614;580.602875774614;1118;1118;384.866666832799;384.866666832799;384.866666832799;384.866666832799;580.602875774614;580.602875774614;1118;1118;1118;1118
5810;305.797975142922;305.797975142922;181.302606920734;181.302606920734;176.531983428615;176.531983428615;176.531983428615;176.531983428615;176.531983428615;176.531983428615;184.955877839448;184.955877839448;557.81703280488;557.81703280488;509.441882177745;509.441882177745;547.249148628706;547.249148628706;797.819884196721;797.819884196721;549.063976857745;549.063976857745;0;0;584.874653512629;584.874653512629;584.875725975827;584.875725975827;584.874653512629;584.874653512629;514.635068537827;514.635068537827;514.635068537827;514.635068537827;514.635068537827;514.635068537827;909.297307320662;909.297307320662;1118;1118
6012;318.365559582651;318.365559582651;195.610470948124;195.610470948124;176.19542230844;176.19542230844;176.19542230844;176.19542230844;176.19542230844;176.19542230844;182.86481004366;182.86481004366;406.85395979651;406.85395979651;525.176995239582;525.176995239582;639.835063620486;639.835063620486;953.256656350979;953.256656350979;269.741207888213;269.741207888213;176.19542230844;176.19542230844;1041.32896692806;1041.32896692806;741.743024903576;741.743024903576;741.743024903576;741.743024903576;741.743024903576;741.743024903576;357.752493349533;357.752493349533;451.464848811198;451.464848811198;1118;1118;1118;1118
