id;descripcio;coddepto;departamen;codloc;localidad;idcalle;calle;nro;km;idesq1;esquina;idesq2;esq2;manzana;solar;tel1;tel2;tel3;observacio;direccion;fechaactua;telefono;desydepto;tipo;correo;web;fax;horario;x;y;lon;lat;nombre;id2
125952;C S LA CRUZ DE CARRASCO;1;MONTEVIDEO;1020;LAS CANTERAS;;JUAN AGAZZI;2735;;;;;;;;;;;JUAN AGAZZI 2735 esquina DR A PEREIRA;;14-03-2026;25220127;;;;;;;582538.787315366;6140790.65608559;-56.0969;-34.8719;CENTRO DE SALUD LA CRUZ DE CARRASCO;
125954;C S CERRO;1;MONTEVIDEO;1020;CERRO;;AVDA. CARLOS MARIA RAMIREZ;1744;;;CHILE;;;;;;;;CARLOS MARIA RAMIREZ 1744 esquina CHILE;;14-03-2026;23153954;;;;;;;568361.46315478;6140685.64921594;-56.252;-34.8739;CENTRO DE SALUD CERRO;
125955;C S CIUDAD VIEJA;1;MONTEVIDEO;1020;CIUDAD VIEJA;;25 DE MAYO;183;;;MACIEL;;;;;;;;25 DE MAYO 183 esquina MACIEL;;14-03-2026;29170074;;;;;;;571996.70570698;6136887.03017268;-56.2119;-34.9079;CENTRO DE SALUD CIUDAD VIEJA;
125956;C S PIEDRAS BLANCAS;1;MONTEVIDEO;1020;PIEDRAS BLANCAS;;CMNO. CAP. MATEO TULA DUFORT;4145;;;AVDA. JOSE BELLONI;;;;;;;;MATEO TULA DUFORT 4145 esquina JOSE BELLONI;;14-03-2026;2222490122222518;;;;;;;578564.810192678;6146370.90525472;-56.1409;-34.8219;CENTRO DE SALUD DR BADANO REPETTO;
125957;C S CLAVEAUX;1;MONTEVIDEO;1020;MERCADO MODELO - BOLIVAR;;PAMPILLO Y NOVAS;3161;;;CUFRE;;;;;;;;PAMPILLO Y NOVAS 3161 esquina CUFRE;;14-03-2026;22036770  22092722;;;;;;;575778.14075407;6141181.80790179;-56.1709;-34.8689;POLICLINICA DR E CLAVEAUX;
125958;C S GIORDANO;1;MONTEVIDEO;1020;CERRITO;;AVDA. GRAL. SAN MARTIN;3797;;;REPUBLICA DE CHIPRE;;;;;;;;SAN MARTIN 3797 esquina REPUBLICA DE CHIPRE;;14-03-2026;22153270;;;;;;;575506.589449883;6142614.72818081;-56.174;-34.856;CENTRO DE SALUD GIORDANO;
125959;C S JARDINES DEL HIPODROMO;1;MONTEVIDEO;1020;JARDINES DEL HIPODROMO;;MALINAS;3843;;;LIBIA;;;;;;;;MALINAS 3843 esquina LIBIA;;14-03-2026;25140686;;;;;;;580184.359353237;6144360.58414694;-56.123;-34.8399;CENTRO DE SALUD JARDINES DEL HIPODROMO;
125961;C S MISURRACO;1;MONTEVIDEO;1020;LAS ACACIAS;;GRAL. ENRIQUE CASTRO;4149;;;BVAR. APARICIO SARAVIA;;;;;;;;ENRIQUE CASTRO 4149 esquina APARICIO SARAVIA;;14-03-2026;22161886  22165027;;;;;;;576988.87223092;6144942.49826086;-56.158;-34.8349;CENTRO DE SALUD MISURRACO;
125964;C S SAYAGO;1;MONTEVIDEO;1020;SAYAGO;;CMNO. ARIEL;5018;;;QUICUYO;;;;;;;;ARIEL 5018 esquina QUICUYO;;14-03-2026;23552796;;;;;;;571422.816005912;6145309.1560114;-56.2189;-34.832;CENTRO DE SALUD SAYAGO;
125965;C S UNION;1;MONTEVIDEO;1020;MARO�AS - PARQUE GUARANI;;VICENZA;2815;;;AVDA. 8 DE OCTUBRE;;;;;;;;VICENZA 2815 esquina 8 DE OCTUBRE;;14-03-2026;25112408  25148263;;;;;;;579354.284959388;6142482.40037937;-56.1319;-34.8569;CENTRO DE SALUD UNION;
