id;desc;coddepto;departamen;codloc;localidad;idcalle;calle;calle_nro;km;idesq1;esquina;idesq2;esq2;manzana;solar;tel1;tel2;tel3;observacio;direccion;fechaactua;telefono;desydepto;tipo;correo;web;fax;horario;x;y;lon;lat;nombre;id2
125948;INOT;1;MONTEVIDEO;1020;MERCADO MODELO - BOLIVAR;;AVDA. DR. LUIS ALBERTO DE HERRERA;3326;;;;;;;;;;;LUIS ALBERTO DE HERRERA 3326 esquina JOSE PEDRO VARELA;;14-03-2026;24830487;;;;;;;576143.649824337;6141167.68605249;-56.1669;-34.869;INSTITUTO DE ORTOPEDIA Y TRAUMATOLOGIA;
125994;CHPR MUJER;1;MONTEVIDEO;1020;PQUE. BATLLE - V. DOLORES;;BVAR. GRAL. ARTIGAS;;;;LORD PONSOMBY;;;;;;;;ARTIGAS esquina PONSOMBY;;14-03-2026;;;;;;;;576600.50521215;6137869.96908298;-56.1616;-34.8987;HOSPITAL DE LA MUJER;
125995;HOSPITAL DE OJOS;1;MONTEVIDEO;1020;LEZICA - MELILLA;;CMNO. FAUQUET;6358;;;GUANAHANY;;;;;;;;FAUQUET 6358 esquina GUANAHANY;;14-03-2026;23228080;;;;;;;569345.553680583;6149824.34530544;-56.241988674371;-34.79143059201;HOSPITAL DE OJOS JOSE MARTI;
125996;;1;MONTEVIDEO;1020;LA FIGURITA;;AVDA. GRAL. GARIBALDI;1729;;;ROCHA;;;;;;;;JOSE GARIBALDI 1729 esquina ROCHA;;14-03-2026;22097899;;;;;;;574787.485779513;6140473.14652184;-56.18167460404;-34.875363212216;HOSPITAL ESPANOL;
125997;HOSPITAL MACIEL;1;MONTEVIDEO;1020;CIUDAD VIEJA;;25 DE MAYO;174;;;MACIEL;;;;;;;;25 DE MAYO 174 esquina MACIEL;;14-03-2026;29153000;;;;;;;571996.70570698;6136887.03017268;-56.2119;-34.9079;HOSPITAL MACIEL;
125998;HOSPITAL PASTEUR;1;MONTEVIDEO;1020;UNION;;LARRAVIDE;;;;JOSE ANTONIO CABRERA;;;;;;;;LARRAVIDE esquina JOSE ANTONIO CABRERA;;14-03-2026;25088131;;;;;;;578788.630489786;6140490.96745342;-56.1379;-34.8749;HOSPITAL PASTEUR;
125999;;1;MONTEVIDEO;1020;PQUE. BATLLE - V. DOLORES;;BVAR. GRAL. ARTIGAS;;;;LORD PONSOMBY;;;;;;;;ARTIGAS esquina PONSOMBY;;14-03-2026;;;;;;;;576335.380801943;6137941.81339838;-56.164508098529;-34.898072186251;HOSPITAL PEDIATRICO;
126002;HOSPITAL SAINT BOIS;1;MONTEVIDEO;1020;LEZICA - MELILLA;;CMNO. FAUQUET;6358;;;GUANAHANY;;;;;;;;FAUQUET 6358 esquina GUANAHANY;;14-03-2026;23228080;;;;;;;569161.989763445;6149884.57298896;-56.244;-34.7909;HOSPITAL SAINT BOIS;
126003;;1;MONTEVIDEO;1020;REDUCTO;;AVDA. MILLAN;2515;;;CONCEPCION ARENAL;;;;;;;;PEDRO MILLAN 2515 esquina CONCEPCION ARENAL;;14-03-2026;22034641;;;;;;;574241.361200831;6140027.17310807;-56.187610205985;-34.879424497699;HOSPITAL VILARDEBO;
126004;INRU;1;MONTEVIDEO;1020;LA BLANQUEADA;;AVDA. ITALIA;;;;GRAL. LAS HERAS;;;;;;;;ITALIA esquina LAS HERAS;;14-03-2026;24874933;;;;;;;577577.179014416;6138826.62616814;-56.151;-34.89;INSTITUTO NACIONAL DE REUMATOLOGIA;
126005;INCA;1;MONTEVIDEO;1020;UNION;;AVDA. 8 DE OCTUBRE;3265;;;AGUSTIN ABREU;;;;;;;;8 DE OCTUBRE 3265 esquina AGUSTIN ABREU;;14-03-2026;24875098;;;;;;;577678.060374856;6139945.92449754;-56.15;-34.8799;INSTITUTO NACIONAL DEL CANCER;
126055;PORTAL AMARILLO;1;MONTEVIDEO;1020;BELVEDERE;;CMNO. CARLOS MARIA DE PENA;5101;;;CORONILLA;;;;;;;;CARLOS MARIA DE PENA 5101 esquina CORONILLA;;14-03-2026;23053081;;;;;;;570772.545081145;6143994.4464098;-56.2259;-34.8439;PORTAL AMARILLO;
126066;HOSPITAL DE ARTIGAS;2;ARTIGAS;2020;ARTIGAS;;EDUARDO M CASTRO;;;;GRAL. RIVERA;;;;;;;;EDUARDO M CASTRO esquina FRUCTUOSO RIVERA;;14-03-2026;47723701;;;;;;;552052.809816756;6636410.87026863;-56.4581;-30.4032;CENTRO DEPARTAMENTAL ARTIGAS;
