id;descripcio;coddepto;departamen;codloc;localidad;idcalle;calle;nro;km;idesq1;esquina;idesq2;esq2;manzana;solar;tel1;tel2;tel3;observacio;direccion;fechaactua;telefono;desydepto;tipo;correo;web;fax;horario;x;y;lon;lat;nombre;id2
125962;C S PIEDRAS BLANCAS;1;MONTEVIDEO;1020;PIEDRAS BLANCAS;;AVDA. JOSE BELLONI;;;;CLEMENTE RUGGIA;;;;;;;;JOSE BELLONI esquina CLEMENTE RUGGIA;;14-03-2026;22275295;;;;;;;578649.969100323;6146702.89200846;-56.14;-34.8189;CENTRO DE SALUD PIEDRAS BLANCAS ANEXO;
125966;CENTRO DIURNO H VILARDEBO;1;MONTEVIDEO;1020;REDUCTO;;AVDA. MILLAN;2515;;;CONCEPCION ARENAL;;;;;;;;PEDRO MILLAN 2515 esquina CONCEPCION ARENAL;;14-03-2026;22034641;;;;;;;574297.599024227;6140084.88643194;-56.187;-34.8789;CENTRO DIURNO H VILARDEBO;
125968;POL 19 DE ABRIL;1;MONTEVIDEO;1020;NUEVO PARIS;;GUAZUCUA;320;;;PSJE. 19 DE ABRIL;;;;;;;;GUAZUCUA 320 esquina 19 DE ABRIL;;14-03-2026;23095481  23082281;;;;;;;568578.286451878;6144011.12270526;-56.2499;-34.8439;POLICLINICA 19 DE ABRIL;
125969;POL 3 OMBUES;1;MONTEVIDEO;1020;TRES OMBUES - VICTORIA;;ALAGOAS;742;;;PEDRO GIRALT;;;;;;;;ALAGOAS 742 esquina PEDRO GIRALT;;14-03-2026;2307 5193  2304 8153;;;;;;;568925.596129828;6142777.49400285;-56.246;-34.855;POLICLINICA 3 OMBUES;
125970;CONS ALDEAS INFANTILES;1;MONTEVIDEO;1020;PASO DE LA ARENA;;AVDA. LUIS BATLLE BERRES;1021;;;;;;;;;;;LUIS BATLLE BERRES 1021 esquina PQUE LECQOC;;14-03-2026;23120203;;;;;;;560553.564164449;6148614.55389114;-56.338;-34.8029;CONSULTORIO ALDEAS INFANTILES;
125971;CONS AQUILES LANZA;1;MONTEVIDEO;1020;CASAVALLE;;NATAL;;;;;;;;;;;;NATAL esquina LAS ACACIAS CHICAGO;;14-03-2026;22203094;;;;;;;575903.453088469;6146382.21718185;-56.17;-34.822;CONSULTORIO AQUILES LANZA;
125972;CONS AREAESPACIO ADOLESCENTE RUBEN ALONSO;1;MONTEVIDEO;1020;LAS ACACIAS;;TIMBUES;;;;BVAR. APARICIO SARAVIA;;;;;;;;TIMBUES esquina APARICIO SARAVIA;;14-03-2026;22154628;;;;;;;577227.561871341;6145020.61890167;-56.1553969809;-34.8341775136;CONSULTORIO AREAESPACIO ADOLESCENTE RUBEN ALONSO;
125973;CONS 23 DE DICIEMBRE;1;MONTEVIDEO;1020;MANGA - TOLEDO CHICO;;CMNO. CARLOS LINNEO;;;;MENDOZA;;;;;;;;CARLOS LINNEO esquina MENDOZA;;14-03-2026;;;;;;;;577034.462088333;6150376.44824193;-56.158;-34.7859;CONSULTORIO ASENTAMIENTO 23 DE DICIEMBRE;
125974;CONS 25 DE AGOSTO;1;MONTEVIDEO;1020;COLON CENTRO Y NOROESTE;;PORORO;;;;FERNANDO MENCK;;;;;;;;PORORO esquina FERNANDO MENCK;;14-03-2026;23240854;;;;;;;570180.026146277;6150209.55862258;-56.2329;-34.7879;CONSULTORIO ASENTAMIENTO 25 DE AGOSTO;
125975;POL ACOSTA Y LARA;1;MONTEVIDEO;1020;CARRASCO NORTE;;ACOSTA Y LARA;7125;;;ANTONIO PENA;;;;;;;;ACOSTA Y LARA 7125 esquina ANTONIO PENA;;14-03-2026;26013563  26038484;;;;;;;586507.127663189;6140931.48550492;-56.0535;-34.8703;CONSULTORIO ASENTAMIENTO ACOSTA Y LARA;
125976;CONS BARRIO FENIX;1;MONTEVIDEO;1020;MANGA - TOLEDO CHICO;;;;;;;;;;;;;;CALLE D;;14-03-2026;;;;;;;;577846.519071473;6149027.65709654;-56.149;-34.798;CONSULTORIO BARRIO FENIX;
125977;POL CADORNA;1;MONTEVIDEO;1020;TRES OMBUES - VICTORIA;;PSJE. LUNAREJO;5185;;;CORDOBES;;;;;;;;LUNAREJO 5185 esquina CORDOBES;;14-03-2026;23082167  23082167;;;;;;;569075.454291783;6143253.24933227;-56.2444;-34.8507;CONSULTORIO CADORNA;
125978;CONS CAIF JUAN XXIII;1;MONTEVIDEO;1020;UNION;;MENORCA;2107;;;JUAN JOSE CASTRO;;;;;;;;MENORCA 2107 esquina JUAN JOSE CASTRO;;14-03-2026;25081995;;;;;;;579573.551306576;6140210.79075884;-56.1292856843;-34.8773650393;CONSULTORIO CAIF JUAN XXIII;
125979;POL CAPURRO;1;MONTEVIDEO;1020;CAPURRO - BELLA VISTA;;GRAL. DOROTEO ENCISO;676;;;BLAS BASUALDO;;;;;;;;DOROTEO ENCISO 676 esquina BLAS BASUALDO;;14-03-2026;23082130;;;;;;;571471.378091219;6140983.52800284;-56.218;-34.871;CONSULTORIO CAPURRO;
125980;CONS CAP POLONIO;1;MONTEVIDEO;1020;BELVEDERE;;DR. VICENTE BASAGOITY;4539;;;;;;;;;;;VICENTE BASAGOITY 4539 esquina GREGORIO CAMINO;;14-03-2026;2305 8164  2308 2144;;;;;;;570297.674183096;6142877.97505835;-56.231;-34.854;CONSULTORIO CLUB CAP POLONIO;
125981;CONS COVICENOVA;1;MONTEVIDEO;1020;LA PALOMA - TOMKINSON;;AVDA. CIBILS;4617;;;VERDUN;;;;;;;;CIBILS 4617 esquina VERDUN;;14-03-2026;23122060  23124693;;;;;;;566904.828202496;6141472.72741567;-56.268;-34.8669;CONSULTORIO COVICENOVA;
125982;CONS CRO CERRO RURAL OESTE;1;MONTEVIDEO;1020;CASABO - PAJAS BLANCAS;;;;;;;;;;;;;;SANGUINETTI esquina OHIGGINS;;14-03-2026;23153535;;;;;;;558922.769381438;6145635.8699383;-56.3556185018;-34.8298548905;CONSULTORIO CRO CERRO RURAL OESTE;
125983;CONS DELMIRA AGUSTINI;1;MONTEVIDEO;1020;BUCEO;;SAMUEL BLIXEN;;;;ALTO PERU;;;;;;;;SAMUEL BLIXEN esquina ALTO PERU;;14-03-2026;;;;;;;;579954.052135705;6138928.16784183;-56.125;-34.8889;CONSULTORIO DELMIRA AGUSTINI;
125984;POL EL TOBOGAN;1;MONTEVIDEO;1020;LA PALOMA - TOMKINSON;;;;;;;;;;;;;;LUIS TROCCOLI esquina PASAJE A;;14-03-2026;23132849;;;;;;;568550.891233579;6141571.45998766;-56.25;-34.8659;POLICLINICA EL TOBOGAN;
125985;CONS ESPARTACO;1;MONTEVIDEO;1020;PASO DE LA ARENA;;LOMAS DE ZAMORA;2996;;;CMNO. MANUEL M FLORES;;;;;;;;LOMAS DE ZAMORA 2996 esquina MANUEL M FLORES;;14-03-2026;23128633;;;;;;;562273.473314281;6145941.43419438;-56.319;-34.8269;CONSULTORIO ESPARTACO;
125986;CONS JARDINES DE LAS TORRES;1;MONTEVIDEO;1020;LA PALOMA - TOMKINSON;;LOS NOGALES;2342;;;;;;;;;;;LOS NOGALES 2342 esquina PASAJE LAS ALEGRIAS;;14-03-2026;23129258;;;;;;;566356.363082534;6143994.20336677;-56.2742;-34.8442;POLICLINICA JARDINES DE LAS TORRES;
125987;POL LA BOYADA;1;MONTEVIDEO;1020;LA PALOMA - TOMKINSON;;CMNO. LA BOYADA;1682;;;AVDA. DR. SANTIN CARLOS ROSSI;;;;;;;;LA BOYADA 1682 esquina SANTIN CARLOS ROSSI;;14-03-2026;23139074;;;;;;;568383.598854404;6142426.66469885;-56.2519;-34.8582;POLICLINICA LA BOYADA;
125988;POL LAS ACACIAS;1;MONTEVIDEO;1020;LAS ACACIAS;;IBERIA;3895;;;NIAGARA;;;;;;;;IBERIA 3895 esquina NIAGARA;;14-03-2026;22112378;;;;;;;577359.090318256;6144384.85604488;-56.1539;-34.8399;POLICLINICA LAS ACACIAS;
125989;POL LOS REYES;1;MONTEVIDEO;1020;CASAVALLE;;;;;;MATILDE PACHECO DE BATLLE Y ORDO�EZ;;;;;;;;PASAJE A esquina MATILDE PACHECO DE BATLLE Y ORDONEZ;;14-03-2026;222020093;;;;;;;577192.0900412;6146271.65172635;-56.1559;-34.8229;POLICLINICA LOS REYES;
125990;CONS MONSERRAT;1;MONTEVIDEO;1020;TRES OMBUES - VICTORIA;;ALASKA;748;;;GRAL. AGUSTIN MU�OZ;;;;;;;;ALASKA 748 esquina AGUSTIN MUNOZ;;14-03-2026;23087810;;;;;;;569290.50193293;6142674.9292197;-56.242;-34.8559;CONSULTORIO MONSERRAT;
125991;CONS PLEMU;1;MONTEVIDEO;1020;CASAVALLE;;;;;;AVDA. GUSTAVO A VOLPE;;;;;;;;26 esquina GUSTAVO A VOLPE;;14-03-2026;22161988;;;;;;;574976.331056388;6144848.26806704;-56.18;-34.8359;CONSULTORIO PLEMU;
125992;POL TOLEDO CHICO;1;MONTEVIDEO;1020;MANGA - TOLEDO CHICO;;AVDA. DE LAS INSTRUCCIONES;5461;;;CMNO. TOLEDO CHICO;;;;;;;;DE LAS INSTRUCCIONES 5461 esquina TOLEDO CHICO;;14-03-2026;25150607;;;;;;;581456.847360137;6153809.64337702;-56.11;-34.7546;CONSULTORIO TOLEDO CHICO;
125993;POL ULISES FAVARO;1;MONTEVIDEO;1020;BANADOS DE CARRASCO;;ULISES FAVARO;5601;;;OMBU;;;;;;;;ULISES FAVARO 5601 esquina OMBU;;14-03-2026;94422087;;;;;;;581100.963438064;6143576.17587126;-56.1129;-34.8469;CONSULTORIO ULISES FAVARO;
