id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán. Amlodipina. Hidroclorotiazida. Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (INFERIORES / SUPERIORES) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (INFERIORES / SUPERIORES) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL (C/CONTRASTE) FONASA;RX COLORECTAL (C/CONTRASTE). NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA
62;444;444;205;205;186;186;0;0;186;186;192;192;469;469;968;968;846;846;968;968;846;846;186;186;1138;1138;1067;1067;1138;1138;779;779;779;779;779;779;1138;1138;1138;1138
264;386;386;207;207;187;187;187;187;187;187;194;194;423;423;548;548;760;760;836;836;548;548;187;187;986;986;969;969;1138;1138;724;724;724;724;724;724;1138;1138;1138;1138
769;456;456;193;193;188;188;188;188;188;188;194;194;491;491;781;781;781;781;968;968;781;781;188;188;1096;1096;863;863;1138;1138;863;863;863;863;1096;1096;1138;1138;1138;1138
1062;257;375;205;205;0;188;0;0;0;188;0;193;0;556;687;687;769;769;968;968;0;0;0;188;1050;1050;1050;1050;1138;1138;726;726;170;726;726;726;1138;1138;1138;1138
1163;302;323;186;186;0;166;0;0;0;166;0;166;0;329;0;0;0;480;0;651;0;0;166;166;954;954;677;677;486;486;433;433;433;433;486;486;1138;1138;1138;1138
1210;439;439;207;207;187;187;187;187;187;187;194;194;566;566;340;340;641;641;752;752;825;825;0;0;1138;1138;795;795;1138;1138;691;691;691;691;1138;1138;1138;1138;1138;1138
2315;145;356;203;203;173;173;0;0;173;173;173;173;476;476;476;476;689;689;890;890;476;476;173;173;948;948;948;948;948;948;948;948;493;493;493;493;1138;1138;935;935
3567;426;426;205;205;0;189;0;0;0;189;0;189;0;577;0;765;0;814;0;968;0;793;0;189;170;1138;365;471;365;1138;170;772;170;772;170;772;365;1138;365;1138
4315;425;425;207;207;202;202;0;0;190;190;190;190;428;428;640;640;585;585;824;824;585;585;188;188;978;978;733;733;847;847;731;731;731;731;731;731;1138;1138;1138;1138
4810;202;360;190;190;0;187;0;0;0;177;0;177;0;259;0;464;318;635;418;836;0;259;0;187;422;673;389;607;581;992;389;607;382;595;560;949;574;978;574;978
5012;350;350;189;207;177;177;177;177;184;184;188;188;223;223;406;406;590;590;968;968;550;550;177;177;701;701;361;361;361;361;361;361;360;360;407;407;1138;1138;844;844
5163;300;300;191;191;186;186;0;0;186;186;186;186;525;525;526;526;706;706;968;968;893;893;186;186;840;840;641;641;1138;1138;641;641;641;641;1138;1138;1138;1138;1138;1138
5315;341;341;191;191;182;182;182;182;182;182;194;194;411;411;645;645;838;838;968;968;894;894;182;182;1138;1138;663;663;1138;1138;339;339;339;339;1064;1064;1138;1138;1138;1138
5517;332;332;201;201;187;187;187;187;187;187;194;194;311;311;533;533;643;643;968;968;551;551;185;185;1138;1138;621;621;1138;1138;416;416;416;416;621;621;1138;1138;1138;1138
5810;321;321;191;191;185;185;185;185;185;185;194;194;584;584;533;533;573;573;826;826;575;575;0;0;625;625;625;625;625;625;552;552;552;552;552;552;956;956;1138;1138
6012;334;334;206;206;184;184;184;184;184;184;191;191;426;426;550;550;670;670;968;968;282;282;184;184;1093;1093;790;790;790;790;790;790;388;388;486;486;1138;1138;1138;1138
6062;345;345;207;207;188;188;188;188;188;188;188;188;350;350;465;465;492;492;968;968;686;686;188;188;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523;523
6416;302;302;170;170;162;162;50;50;0;0;162;162;294;294;333;333;399;399;307;307;477;477;0;0;458;466;493;493;690;699;408;418;408;408;408;408;786;786;786;786
6517;295;295;197;197;184;184;184;184;184;184;184;184;232;232;413;413;456;456;560;560;368;368;184;184;565;565;353;353;353;353;391;391;353;353;353;353;956;956;786;786
6618;294;294;207;207;177;177;177;177;177;177;177;177;223;223;461;461;437;437;781;781;621;621;177;177;665;665;556;556;671;671;411;411;466;466;466;466;1138;1138;1076;1076
6769;321;321;183;183;185;185;63;63;185;185;185;185;285;285;329;329;509;509;560;560;608;608;185;185;467;467;391;391;456;456;395;395;395;395;395;395;956;956;909;909
6860;358;358;206;206;186;186;186;186;186;186;186;186;498;498;772;772;784;784;915;915;968;968;186;186;589;589;704;704;704;704;493;493;388;388;488;488;1138;1138;956;956
6985;347;347;182;182;191;191;191;191;191;191;191;191;389;389;587;587;587;587;778;778;801;801;0;0;871;871;635;635;995;995;635;635;635;635;485;485;1138;1138;871;871
7062;346;346;206;206;179;179;50;50;0;0;194;194;330;330;413;413;541;541;783;783;400;400;179;179;978;978;593;593;699;699;496;496;496;496;496;496;1138;1138;1138;1138
7214;337;337;197;197;180;180;180;180;180;180;180;180;485;485;284;284;483;483;549;549;597;597;180;180;910;910;666;666;1027;1027;790;790;790;790;1027;1027;1138;1138;1138;1138
7264;269;269;44;44;188;188;100;100;100;100;100;100;302;302;368;368;519;519;947;947;581;581;0;0;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365
7466;367;367;193;193;0;188;188;188;0;188;0;188;0;360;0;557;648;648;930;930;648;648;188;188;868;868;448;448;977;977;299;299;338;338;338;338;868;868;868;868
7553;292;292;190;190;0;175;0;175;0;175;0;175;0;948;0;466;0;519;0;940;573;573;0;175;796;796;448;1138;448;448;406;1138;406;1138;674;674;796;796;796;796
7618;321;321;206;206;185;185;50;50;97;97;192;192;326;326;533;533;643;643;836;836;794;794;185;185;758;758;509;509;917;918;483;483;483;483;533;533;1138;1138;1005;1005
7719;303;303;183;183;189;189;189;189;189;189;185;185;185;412;413;413;578;578;642;642;680;680;189;189;665;665;582;582;582;582;582;582;582;582;582;582;956;956;956;956
7810;191;311;191;191;192;192;0;0;188;188;188;188;294;294;452;452;609;609;919;919;786;786;192;192;508;508;386;386;386;386;386;386;170;170;386;386;912;912;912;912
