linea;oid;nombre;alias;cerrada;regiongeo;departamento;localidad;urbanarural;coddepart;codloc;codsecc;codseg;codzona;cod1;cod2;coordx;coordy;latlong;calle;numpuerta;esquina;telefono;codregion;regionasse;depadmin;uedepende;uedependenom;nivelatencion;categoria;codcatsnomed;pertenecea;pertenecearap;sgc;sgcenua;hcea;hceo;obstetrapartera;medfamycom;medgeneral;pediatria;ginecoobstetricia;odontolog;espadolesc;horespado;vacunatorio;puertaemer;puertaurge;geosalud;maternidadbc;maternidadac;camactiadulto;camacetped;camaciadulto;camaciped;camacb;camacm;ctisic;resehgeosalud;hceintgeosalud;block;siq;medfarmacia;meddispensa;webfarma;sga farmacia;emedicamen;muestraslab;laboratorio;imradiologia;imecografo;immamografo;imtomografo;imrnm;ridi;telemedicina;LAT;LONG;geometry
2;2.16.858.0.0.2.1.1.5980102024126002068;INSTITUTO DE ORTOPEDIA Y TRAUMATOLOGIA;INOT;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;24;126;2;102024126002068;1002;576134.51;6141167.762;-34.869,-56.167;DE HERRERA  DR. LUIS ALBERTO;3326;VARELA  JOSE PEDRO;24830487;2;SUR;REGION SUR;9;INSTITUTO DE ORTOPEDIA Y TRAUMATOLOGIA;SEGUNDO NIVEL;HOSPITAL;22232009;ASSE;NO;SI;SI;SI;NO;NO;NO;NO;NO;NO;NO;NO;NC;NO;SI;NO;SI;NO;NO;NO;NO;NO;NO;NO;SI;NO;SI;SI;SI;SI;SI;SI;SI;S-D;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI;-34.869;-56.167;POINT (-56.167 -34.869)
4;2.16.858.0.0.2.1.1.5980102099266603004;CENTRO DE SALUD LA CRUZ DE CARRASCO;C. S. LA CRUZ DE CARRASCO;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;99;266;603;102099266603004;1004;582528.82;6140836.25;-34.87148968,-56.09701354;JUAN AGAZZI;2735;DR. A. PEREIRA;25220127;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;CENTRO DE SALUD;264361005;ASSE;SI;SI;SI;SI;NO;SI;SI;SI;SI;SI;SI;SI;JUEVES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;SI;SI;NO;SI;SI;SI;NO;NO;SI;NO;NO;NO;NO;NO;-34.87148968;-56.09701354;POINT (-56.09701354 -34.87148968)
6;2.16.858.0.0.2.1.1.5980102002001011006;CENTRO DE SALUD CIUDAD VIEJA;C. S. CIUDAD VIEJA;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;2;1;11;102002001011006;1006;571993.03;6136898.3;-34.90779863,-56.21194121;25 DE MAYO;183;MACIEL;29170074;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;CENTRO DE SALUD;264361005;ASSE;SI;SI;SI;SI;NO;SI;SI;SI;SI;SI;SI;SI;JUEVES;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;SI;SI;NO;SI;SI;SI;NO;NO;SI;NO;NO;NO;NO;NO;-34.90779863;-56.21194121;POINT (-56.21194121 -34.90779863)
7;2.16.858.0.0.2.1.1.5980102017204602007;CENTRO DE SALUD DR. BADANO REPETTO;C. S. PIEDRAS BLANCAS;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;17;204;602;102017204602007;1007;578468.685;6146406.313;-34.821588161289824, -56.14195432818572;CAPITAN TULA;4145;DR. SEBASTIAN RODRIGUEZ;22224901-22222518;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;CENTRO DE SALUD;264361005;ASSE;SI;SI;SI;SI;NO;SI;SI;SI;SI;SI;SI;NO;NC;SI;NO;SI;SI;NO;NO;NO;NO;NO;NO;NO;NO;N-C;NO;NO;NO;NO;SI;SI;NO;SI;SI;SI;NO;NO;SI;NO;NO;NO;NO;NO;-34.8215881612898;-56.1419543281857;POINT (-56.14195432818572 -34.821588161289824)
8;2.16.858.0.0.2.1.1.5980102012206008008;CENTRO DE SALUD DR. E. CLAVEAUX;C. S. CLAVEAUX;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;12;206;8;102012206008008;1008;575785.29;6141118.26;-34.86947219,-56.17078259;PAMPILLO Y NOVAS;3161;CUFRE;22036770 - 22092722;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;CENTRO DE SALUD;264361005;ASSE;SI;SI;SI;SI;NO;NO;SI;SI;SI;SI;SI;SI;MARTES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;SI;SI;NO;SI;SI;SI;NO;SI;SI;NO;NO;NO;SI;SI;-34.86947219;-56.17078259;POINT (-56.17078259 -34.86947219)
9;2.16.858.0.0.2.1.1.5980102022008013009;CENTRO DE SALUD GIORDANO;C. S. GIORDANO;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;22;8;13;102022008013009;1009;575512.11;6142656.75;-34.85562067,-56.17394345;SAN MARTIN;3797;GARCIA DE ZUNIGA;22153270;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;CENTRO DE SALUD;264361005;ASSE;SI;SI;SI;SI;NO;SI;SI;SI;SI;SI;SI;SI;MIERCOLES;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;SI;SI;NO;SI;SI;SI;NO;NO;SI;NO;NO;NO;NO;NO;-34.85562067;-56.17394345;POINT (-56.17394345 -34.85562067)
10;2.16.858.0.0.2.1.1.5980102011138012010;CENTRO DE SALUD JARDINES DEL HIPODROMO;C. S. JARDINES DEL HIPODROMO;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;11;138;12;102011138012010;1010;579960.61;6144511.09;-34.8385605626839, -56.125461318841744;MALINAS;3843;LIBIA;25140686;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;CENTRO DE SALUD;264361005;ASSE;SI;SI;SI;SI;NO;SI;SI;SI;SI;SI;SI;SI;MARTES;SI;NO;SI;SI;NO;NO;NO;NO;NO;NO;NO;NO;N-C;NO;NO;NO;NO;SI;SI;NO;SI;SI;SI;NO;SI;SI;NO;NO;NO;NO;NO;-34.8385605626839;-56.1254613188417;POINT (-56.125461318841744 -34.8385605626839)
11;2.16.858.0.0.2.1.1.5980102011206604011;CENTRO DE SALUD MARONAS;C. S. MARONAS;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;11;206;604;102011206604011;1011;578632.978;6143911.724;-34.84406836275983, -56.1399241031169;JOSE M. GUERRA;3510;SHAW;25137941 - 25137369 - 25146967;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;CENTRO DE SALUD;264361005;NO PERTENECE A ASSE;SI;SI;SI;SI;NO;SI;SI;SI;SI;SI;SI;SI;JUEVES;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;SI;SI;NO;SI;SI;SI;NO;NO;SI;NO;NO;NO;NO;NO;-34.8440683627598;-56.1399241031169;POINT (-56.1399241031169 -34.84406836275983)
12;2.16.858.0.0.2.1.1.5980102017010027012;CENTRO DE SALUD MISURRACO;C. S. MISURRACO;NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;17;208;3;102017010027012;1012;577924.171;6145121.642;-34.8332134959044, -56.14778861682315;APARICIO SARAVIA;S/N;CURUPU;22161886 - 22165027;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;CENTRO DE SALUD;264361005;ASSE;SI;SI;SI;SI;NO;SI;SI;SI;SI;SI;SI;SI;MARTES Y JUEVES;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;SI;SI;NO;SI;SI;SI;NO;NO;SI;NO;NO;NO;NO;NO;-34.8332134959044;-56.1477886168232;POINT (-56.14778861682315 -34.8332134959044)
13;2.16.858.0.0.2.1.1.5980102017204403013;CENTRO DE SALUD PIEDRAS BLANCAS (ANEXO);C. S. PIEDRAS BLANCAS (ANEXO);NO;SUR;MONTEVIDEO;MONTEVIDEO;URBANA;1;20;17;204;403;102017204403013;1013;578708.99;6146675.17;-34.81914541,-56.13935212;JOSE BELLONI;4602;CLEMENTE RUGGIA;22275295;2;SUR;REGION SUR;2;RAP METROPOLITANA;PRIMER NIVEL;POLICLINICA;35971002;ASSE;SI;NO;SI;SI;NO;NO;SI;NO;NO;SI;NO;SI;JUEVES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N-C;N-C;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;-34.81914541;-56.13935212;POINT (-56.13935212 -34.81914541)
