WKT;name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon
"POINT (-56.2198138 -34.8316863)";JA120 Centro de Salud Sayago ASSE CHLA EP;"Días y horarios: Lun a Vie de 08:30 a 13:00<br>Dirección: Camino Ariel 	5019	Quicuyo y Garzón  ";;;;;-1;0;-1;;
"POINT (-56.1314678 -34.8574731)";"JA121 ASSE	CHLA EP	Centro de Salud Unión";"Días y horarios: : Lun a Vie de 8:30 A 13:00 hrs.<br>Dirección: 2815	8 de Octubre y Mateo L. Cortes";;;;;-1;0;-1;;
"POINT (-56.1272807 -34.8387412)";"JA122 ASSE	CHLA EP	JARDINES DEL HIPÓDROMO";"Días y horarios: Lun a Vie de 08:00 a 12:00<br>Dirección: Malinas 	3843	Lutecia y Albania";;;;;-1;0;-1;;
"POINT (-56.1559196 -34.8363772)";"JA124	Las Acacias 	ASSE	CHLA EP 	Centro de Salud Misurraco (SANTA RITA)";"Días y horarios: Lun, Mar, Jue y Vie. de 08:30 a 13:00 hrs.<br>Dirección: Aparicio Saravia 3250, azotea de lima ex batallon";;;;;-1;0;-1;;
"POINT (-56.2311763 -34.8442074)";"JE116	Nuevo Paris Policlínica IMM Aquiles Lanza ";"Días y horarios: Lun, Mi, Juev y Vie de 09:00 a 12:00<br>Dirección: Iquique	820	 Emancipación y Arica";;;;;-1;0;-1;;
"POINT (-56.1739385 -34.8556617)";"JB124	Cerrito	ASSE	CHLA EP	Centro de Salud Dr Antonio Giordano";"Días y horarios:  Lu, Ma, Jue y Vie de 08:30 a 12:30 Hrs. y de 13:00 a 13:30 Hrs.<br>Dirección: San Martin 	3797	García de Zúñiga";;;;;-1;0;-1;;
"POINT (-54.381079 -33.23182)";"SS111	CP CHLA-EP TREINTA Y TRES";Días y horarios: Lun a Vie de 08:00 a 12:00<br>Dirección: Andrés Areguatí 1362 y Zufriategui y Manuel Lavalleja;;;;;-1;0;-1;;
"POINT (-54.384696 -33.232543)";"SS113	IAC Treinta y Tres";Días y horarios: Lun a Jue de 15:00 a 18:00<br>Dirección: Simón del Pino 1365 y Zufriategui y Basilio Araújo;;;;;-1;0;-1;;
"POINT (-55.142376 -33.100602)";"SA111	CERRO CHATO - HOSPITAL";Días y horarios: Lun y Mie de 9:00 a 12:00 Hrs.<br>Dirección: Fernando Botana y Ruta 19 Manuel Oribe s/n;;;;;-1;0;-1;;
"POINT (-56.621518 -34.63498)";PD112 AMSJ - Libertad;Días y horarios: Jueves de 14:45 a 18 hrs.<br>Dirección: Artigas 1102 y Ruta 1 y Bernardo Berro;;;;;-1;0;-1;;
