id,Ticket de medicamentos - general. FONASA,Ticket de medicamentos - general. NO FONASA,"Ticket de medicamentos topeados- antihipertensivos (valsartán, amlodipina, hidroclorotiazida, enalapril). FONASA","Ticket de medicamentos topeados- antihipertensivos (valsartán, amlodipina, hidroclorotiazida, enalapril). NO FONASA",Consulta no urgente consultorio - medicina general. FONASA,Consulta no urgente consultorio - medicina general. NO FONASA,Consulta no urgente consultorio - pediatria. FONASA,Consulta no urgente consultorio - pediatria. NO FONASA,Consulta no urgente consultorio - gineco-obstetricia (control de embarazo). FONASA,Consulta no urgente consultorio - gineco-obstetricia (control de embarazo). NO FONASA,Consulta no urgente consultorio - ginecologia. FONASA,Consulta no urgente consultorio - ginecologia. NO FONASA,Consulta no urgente consultorio - otras especialidades. FONASA,Consulta no urgente consultorio - otras especialidades. NO FONASA,Consulta urgencia centralizada. FONASA,Consulta urgencia centralizada. NO FONASA,Consulta no urgencia domicilio. FONASA,Consulta no urgencia domicilio. NO FONASA,Consulta urgencia domicilio. FONASA,Consulta urgencia domicilio. NO FONASA,Consulta odontologica. FONASA,Consulta odontologica. NO FONASA,Consulta medico de referencia. FONASA,Consulta medico de referencia. NO FONASA,Endoscopía digestiva. Endoscopia esofagogastroduodenal. FONASA,Endoscopía digestiva. Endoscopia esofagogastroduodenal. NO FONASA,Ecografía simple. FONASA,Ecografía simple. NO FONASA,Ecodoppler miembros (inferiores / superiores) arterial / venoso. FONASA,Ecodoppler miembros (inferiores / superiores) arterial / venoso. NO FONASA,Rx abdomen / aparato urinario simple. FONASA,Rx abdomen / aparato urinario simple. NO FONASA,Rx torax. FONASA,Rx torax. NO FONASA,Rx colorectal. (c/contraste) FONASA,Rx colorectal. (c/contraste) NO FONASA,"Resonancia nuclear magnética, una región. FONASA","Resonancia nuclear magnética, una región. NO FONASA","Tomografía axial computarizada, una región. FONASA","Tomografía axial computarizada, una región. NO FONASA","Laboratorio, rutina básica. FONASA","Laboratorio, rutina básica. NO FONASA"
62,197.60,197.60,91.85,91.85,82.30,82.30,0.00,0.00,82.30,82.30,85.35,85.35,103.64,207.28,539.55,539.55,404.41,404.41,539.55,539.55,404.41,404.41,82.30,82.30,825.89,825.89,507.91,507.91,783.03,783.03,339.80,339.80,339.80,339.80,339.80,339.80,339.80,339.80,950.00,950.00,735.18,735.18
264,171.21,171.21,92.00,92.00,82.97,82.97,82.97,82.97,82.97,82.97,85.73,85.73,187.26,187.26,242.64,242.64,340.25,340.25,398.95,398.95,242.64,242.64,82.97,82.97,447.31,447.31,436.62,436.62,739.53,739.53,315.32,315.32,315.32,315.32,315.32,315.32,950.00,950.00,739.53,739.53,572.37,572.37
567,182.81,182.81,91.97,91.97,0.00,0.00,0.00,0.00,83.29,83.29,83.29,83.29,209.07,209.07,370.13,370.13,339.29,339.29,510.68,510.68,339.29,339.29,83.29,83.29,525.84,525.84,421.30,421.30,950.00,950.00,337.32,337.32,337.32,337.32,817.38,817.38,950.00,950.00,847.55,847.55,758.45,758.45
769,202.22,202.22,86.11,86.11,83.14,83.14,83.14,83.14,83.14,83.14,85.74,85.74,217.23,217.23,354.60,354.60,354.60,354.60,514.79,514.79,354.60,354.60,83.14,83.14,950.00,950.00,376.59,376.59,800.44,800.44,376.59,376.59,376.59,376.59,525.72,525.72,950.00,950.00,950.00,950.00,675.99,675.99
1062,166.38,166.38,91.37,91.37,83.31,83.31,83.31,83.31,83.31,83.31,85.35,85.35,245.90,245.90,304.08,304.08,346.66,346.66,481.69,481.69,0.00,0.00,83.31,83.31,493.63,493.63,495.30,495.30,950.00,950.00,315.90,315.90,315.90,315.90,315.90,315.90,950.00,950.00,950.00,950.00,385.83,631.67
1163,84.42,143.37,20.00,82.79,0.00,73.50,0.00,0.00,0.00,73.50,0.00,73.50,0.00,145.66,0.00,145.66,0.00,212.51,0.00,287.90,0.00,174.80,0.00,73.50,426.43,426.43,294.48,294.48,209.83,209.83,186.52,186.52,186.52,186.52,209.83,209.83,950.00,950.00,715.21,715.21,372.96,372.96
1210,194.97,194.97,92.14,92.14,82.86,82.86,82.86,82.86,82.86,82.86,85.71,85.71,250.68,250.68,115.87,115.87,283.55,283.55,336.71,336.71,390.81,390.81,0.00,0.00,622.48,622.48,316.06,316.06,622.48,622.48,300.55,300.55,300.55,300.55,622.48,622.48,950.00,950.00,950.00,950.00,1138.28,1138.28
2315,162.22,162.22,90.25,90.25,0.00,76.76,0.00,0.00,0.00,76.76,0.00,76.76,0.00,210.79,0.00,210.79,0.00,305.04,200.82,200.82,0.00,210.79,0.00,76.76,423.00,423.00,423.00,423.00,423.00,423.00,423.00,423.00,217.36,217.36,217.36,217.36,950.00,950.00,423.00,423.00,777.29,777.29
3567,189.06,189.06,91.41,91.41,0.00,83.53,0.00,0.00,0.00,83.53,0.00,83.53,0.00,255.28,0.00,342.22,0.00,376.47,0.00,529.18,0.00,363.90,0.00,83.53,70.00,847.06,70.00,203.35,70.00,734.04,70.00,336.60,70.00,336.60,70.00,336.60,70.00,950.00,70.00,603.32,140.00,406.73
4315,142.46,189.00,92.25,92.25,89.39,89.39,0.00,0.00,84.50,84.50,84.50,84.50,156.75,189.81,187.36,284.11,0.00,259.61,0.00,384.53,0.00,259.61,83.27,83.27,328.39,370.03,285.53,319.82,328.39,370.03,261.04,261.04,261.04,261.04,261.04,261.04,950.00,950.00,950.00,950.00,522.08,522.08
