id,Direccion,Departamento,localidad,nivel,Servicio de Urgencia,Alergista,Anestesiología,Cardiología,Cirugía,Cirugía Reparadora,Cirugía Vascular,Deportología,Dermatología,Endocrinolgía,Fisiatría,Gastroenterología,Geriatría,Ginecología,Hematología,Infectología,Medicina General,Medicina Interna,Medicina Intensiva,Nefrología,Neonatología,Neumología,Neurocirugía,Neurología,Neuropediatría,Odontología,Oncología,Otorrinolaringología,Pediatría,Psiquiatría,Psiquiatría Infantil,Reumatología,Traumatología,Urología
62,Ruta 8 Km 24,Canelones,Barros Blancos,Sede Secundaria,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,,NO,Si,NO,NO,NO,NO,NO,NO,NO,NO,No,NO,NO,no,no,NO,NO,NO,NO
62,Acevedo Diaz 1468,Montevideo,Montevideo,Ambulatorio,no,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,no,no
62,Ana Monterroso Lavalleja 2268,Montevideo,Montevideo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Avenida 8 De Octubre 2856,Montevideo,Montevideo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Avenida Rivera 2309,Montevideo,Montevideo,Ambulatorio,no,no,no,no,no,si,no,no,no,no,no,no,no,si,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
62,Avenida Rivera 2407,Montevideo,Montevideo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Bulevar Artigas 1436,Montevideo,Montevideo,Ambulatorio,no,no,no,no,no,no,si,no,no,no,no,no,si,no,no,no,si,si,no,no,no,no,si,no,no,no,no,no,no,no,no,no,no,no
62,Bulevar Artigas 1492,Montevideo,Montevideo,,,,si,no,Si,no,no,no,no,no,no,no,no,SI,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no
62,Bulevar Artigas 1515,Montevideo,Montevideo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Bulevar Artigas 1525,Montevideo,Montevideo,Ambulatorio,no,no,no,no,no,no,no,si,no,no,no,si,no,no,no,no,no,si,no,no,no,no,no,no,si,no,no,no,si,no,si,no,no,no
